iter	Passed	Remaining
0	14	28973
1	28	28191
2	42	28097
3	55	27607
4	69	27556
5	83	27601
6	95	27172
7	108	27074
8	122	27093
9	136	27161
10	150	27209
11	163	27063
12	177	27128
13	192	27263
14	205	27245
15	218	27077
16	231	27058
17	244	26934
18	257	26846
19	270	26742
20	282	26597
21	295	26555
22	307	26442
23	321	26435
24	334	26389
25	347	26349
26	359	26300
27	373	26275
28	388	26372
29	401	26334
30	414	26300
31	427	26316
32	441	26321
33	454	26302
34	468	26275
35	480	26235
36	493	26192
37	506	26176
38	519	26138
39	533	26161
40	547	26159
41	560	26119
42	573	26086
43	586	26071
44	601	26113
45	613	26055
46	628	26125
47	642	26108
48	655	26105
49	668	26062
50	681	26035
51	694	26013
52	706	25953
53	719	25924
54	731	25883
55	744	25846
56	752	25644
57	764	25610
58	778	25614
59	791	25599
60	804	25581
61	817	25554
62	831	25560
63	846	25594
64	859	25596
65	873	25587
66	886	25577
67	899	25552
68	912	25534
69	915	25249
70	928	25222
71	941	25212
72	954	25189
73	968	25210
74	981	25194
75	994	25183
76	1008	25179
77	1021	25163
78	1034	25161
79	1050	25219
80	1064	25209
81	1078	25218
82	1092	25226
83	1105	25222
84	1118	25196
85	1132	25201
86	1145	25179
87	1158	25165
88	1172	25170
89	1187	25200
90	1200	25188
91	1212	25154
92	1225	25130
93	1238	25115
94	1245	24975
95	1258	24957
96	1271	24938
97	1278	24819
98	1291	24808
99	1305	24797
100	1317	24765
101	1320	24576
102	1333	24551
103	1345	24524
104	1358	24510
105	1371	24497
106	1385	24507
107	1399	24512
108	1412	24498
109	1425	24491
110	1437	24469
111	1451	24464
112	1464	24453
113	1472	24361
114	1486	24358
115	1499	24358
116	1512	24350
117	1526	24351
118	1540	24348
119	1553	24342
120	1565	24317
121	1579	24308
122	1592	24294
123	1607	24319
124	1620	24311
125	1634	24304
126	1649	24321
127	1662	24309
128	1675	24298
129	1687	24281
130	1701	24277
131	1715	24283
132	1728	24262
133	1741	24252
134	1754	24242
135	1767	24226
136	1779	24203
137	1792	24189
138	1806	24184
139	1819	24172
140	1832	24160
141	1845	24151
142	1859	24144
143	1872	24131
144	1884	24110
145	1899	24120
146	1913	24116
147	1929	24145
148	1943	24138
149	1956	24129
150	1970	24126
151	1983	24113
152	1996	24097
153	2008	24074
154	2021	24064
155	2034	24050
156	2048	24042
157	2061	24037
158	2075	24026
159	2087	24011
160	2100	23997
161	2114	23986
162	2127	23979
163	2141	23970
164	2154	23964
165	2168	23955
166	2180	23938
167	2194	23929
168	2207	23911
169	2220	23897
170	2233	23894
171	2247	23889
172	2260	23869
173	2272	23849
174	2285	23838
175	2299	23826
176	2311	23811
177	2325	23800
178	2328	23684
179	2341	23671
180	2354	23657
181	2367	23644
182	2380	23634
183	2392	23613
184	2405	23596
185	2418	23588
186	2431	23575
187	2445	23570
188	2457	23551
189	2470	23537
190	2483	23522
191	2496	23512
192	2510	23506
193	2525	23512
194	2538	23498
195	2551	23481
196	2563	23459
197	2576	23449
198	2589	23433
199	2601	23412
200	2613	23389
201	2626	23378
202	2639	23368
203	2654	23367
204	2667	23360
205	2681	23348
206	2694	23336
207	2707	23323
208	2720	23310
209	2733	23298
210	2746	23283
211	2759	23272
212	2773	23267
213	2786	23257
214	2801	23262
215	2813	23241
216	2827	23230
217	2839	23214
218	2852	23199
219	2856	23110
220	2869	23098
221	2883	23091
222	2896	23078
223	2909	23068
224	2922	23059
225	2930	23006
226	2944	22997
227	2957	22983
228	2970	22971
229	2984	22964
230	2991	22912
231	3006	22910
232	3019	22896
233	3032	22882
234	3045	22874
235	3058	22857
236	3070	22843
237	3085	22839
238	3098	22829
239	3111	22818
240	3124	22803
241	3137	22794
242	3150	22780
243	3164	22772
244	3177	22758
245	3191	22756
246	3203	22737
247	3217	22727
248	3221	22657
249	3234	22640
250	3247	22627
251	3259	22610
252	3272	22599
253	3286	22593
254	3299	22582
255	3313	22570
256	3325	22554
257	3338	22542
258	3351	22531
259	3365	22520
260	3378	22507
261	3391	22497
262	3404	22488
263	3418	22480
264	3431	22466
265	3445	22460
266	3458	22446
267	3471	22434
268	3484	22421
269	3498	22415
270	3511	22405
271	3524	22390
272	3536	22372
273	3549	22361
274	3564	22358
275	3576	22341
276	3589	22325
277	3602	22312
278	3616	22308
279	3630	22301
280	3643	22286
281	3656	22278
282	3670	22268
283	3682	22250
284	3695	22240
285	3710	22237
286	3724	22227
287	3737	22215
288	3750	22206
289	3763	22193
290	3776	22180
291	3789	22168
292	3801	22149
293	3816	22144
294	3829	22134
295	3842	22120
296	3855	22109
297	3869	22098
298	3881	22083
299	3895	22076
300	3908	22062
301	3923	22058
302	3936	22047
303	3945	22010
304	3958	22001
305	3971	21988
306	3985	21977
307	3999	21971
308	4013	21962
309	4025	21947
310	4040	21941
311	4053	21928
312	4065	21914
313	4078	21900
314	4091	21887
315	4104	21871
316	4117	21859
317	4130	21849
318	4144	21840
319	4157	21829
320	4160	21763
321	4173	21746
322	4186	21735
323	4200	21726
324	4213	21714
325	4226	21704
326	4239	21692
327	4253	21682
328	4266	21672
329	4279	21659
330	4292	21644
