title;year;url;views;likes;fans;avg_rating;total_ratings;rating_0.5_count;rating_1.0_count;rating_1.5_count;rating_2.0_count;rating_2.5_count;rating_3.0_count;rating_3.5_count;rating_4.0_count;rating_4.5_count;rating_5.0_count;duration_mins;actor_1;actor_2;actor_3;actor_4;actor_5;studio_1;studio_2;country_1;country_2;country_3;primary_language;genre_1;genre_2;genre_3;theme_1;theme_2;director_1;director_2;director_3;producer_1;producer_2;producer_3;writer_1;rating_std_dev;rating_ratio;like_view_ratio
21 Grams;2003.0;https://letterboxd.com/film/21-grams/;182450;33577;690;3.8;110292.0;322;840;916;3821;5090;18430;25715;35514;10620;9024;124.0;Sean Penn;Naomi Watts;Benicio del Toro;Charlotte Gainsbourg;Danny Huston;This is that;Y Productions;USA;;;English;Drama;Crime;Thriller;Moving relationship stories;Humanity and the world around us;Alejandro González Iñárritu;;;Alejandro González Iñárritu;Robert Salerno;Guillermo Arriaga;;0.7811;0.6045;0.184
3 Faces;2018.0;https://letterboxd.com/film/3-faces/;15666;3299;12;3.6;10761.0;45;83;100;294;509;2163;3223;3134;681;529;100.0;Behnaz Jafari;Jafar Panahi;Marziyeh Rezaei;Maedeh Erteghaei;Narges Del Aram;Jafar Panahi Film Productions;;Iran;;;Persian;Drama;;;;;Jafar Panahi;;;;;;Jafar Panahi;0.7258;0.6869;0.2106
45 Years;2015.0;https://letterboxd.com/film/45-years/;56539;12948;158;3.9;40334.0;75;216;218;948;1487;5750;9315;13924;5167;3234;95.0;Charlotte Rampling;Tom Courtenay;Geraldine James;Dolly Wells;David Sibley;Film4 Productions;Creative England;UK;;;English;Romance;Drama;;Moving relationship stories;;Andrew Haigh;;;Richard Holmes;Chris Collins;Sam Lavender;;0.7284;0.7134;0.229
79 Springs;1969.0;https://letterboxd.com/film/79-springs/;2517;770;4;3.9;1197.0;5;6;12;28;50;133;214;399;139;211;25.0;Hồ Chí Minh;;;;;ICAIC;;Cuba;;;Spanish;Documentary;;;;;Santiago Álvarez;;;;;;Hồ Chí Minh;0.831;0.4756;0.3059
A Bigger Splash;2015.0;https://letterboxd.com/film/a-bigger-splash-2015/;106343;21027;335;3.5;75603.0;301;779;975;3998;5982;17428;20010;18559;4593;2978;125.0;Tilda Swinton;Matthias Schoenaerts;Ralph Fiennes;Dakota Johnson;Corrado Guzzanti;Frenesy Film;MiC;France;Italy;USA;English;Drama;Thriller;Romance;Humanity and the world around us;;Luca Guadagnino;;;Michael Costigan;Luca Guadagnino;Sonya Lunsford;David Kajganich;0.7806;0.7109;0.1977
A Boy Named Charlie Brown;1969.0;https://letterboxd.com/film/a-boy-named-charlie-brown/;20596;5983;165;3.9;10947.0;11;30;35;182;307;1591;1974;3501;1115;2201;86.0;Peter Robbins;Pamelyn Ferdin;Glenn Gilger;Andy Pforsich;Sally Dryer;United Feature Syndicate;Cinema Center Films;USA;;;English;Animation;Comedy;Family;;;Bill Melendez;;;Lee Mendelson;Bill Melendez;;;0.7729;0.5315;0.2905
A Bridge Too Far;1977.0;https://letterboxd.com/film/a-bridge-too-far/;44756;9832;295;3.7;30465.0;28;110;136;745;1357;5781;7518;9523;2580;2687;175.0;Dirk Bogarde;James Caan;Michael Caine;Sean Connery;Edward Fox;United Artists;Joseph E. Levine Productions;UK;USA;;English;History;Drama;War;War and historical adventure;Epic history and literature;Richard Attenborough;;;Joseph E. Levine;Richard P. Levine;John Palmer;;0.7252;0.6807;0.2197
A Brighter Summer Day;1991.0;https://letterboxd.com/film/a-brighter-summer-day/;103497;43903;4900;4.5;75024.0;149;264;174;774;1030;3521;5345;15633;15829;32305;237.0;Chang Chen;Lisa Yang;Chang Kuo-Chu;Elaine Jin Yan-Ling;Wang Chuan;Yang & His Gang Filmmakers;Brighter Summer Productions;Taiwan;;;Chinese;Crime;Drama;Romance;Humanity and the world around us;;Edward Yang;;;;;;Yen Hung-ya;0.7344;0.7249;0.4242
A Chinese Odyssey Part One: Pandora's Box;1995.0;https://letterboxd.com/film/a-chinese-odyssey-part-one-pandoras-box/;11936;2656;43;3.6;7888.0;21;50;69;210;390;1520;1881;2336;569;842;88.0;Stephen Chow;Richard Ng Man-Tat;Law Kar-Ying;Yammie Lam Kit-Ying;Karen Mok Man-Wai;Choi Sing Din Ying Gung Shut;Xi'an Film Studio;Hong Kong;;;Cantonese;Fantasy;Action;Romance;;;Jeffrey Lau Chun-Wai;;;;;;;0.7867;0.6609;0.2225
A Futile and Stupid Gesture;2018.0;https://letterboxd.com/film/a-futile-and-stupid-gesture/;50983;9348;75;3.2;34565.0;118;423;621;2893;4633;10651;7806;5266;1040;1114;101.0;Will Forte;Domhnall Gleeson;Martin Mull;Neil Casey;Jon Daly;Abominable Pictures;Principato-Young Entertainment;USA;;;English;Drama;Comedy;;Crude humor and satire;;David Wain;;;Peter Principato;Jonathan Stern;Ted Sarandos;John Aboud;0.7787;0.678;0.1834
