title,year,url,user_rating,user_like
Untold: The Shooting at Hawthorne Hill,2026,https://letterboxd.com/film/untold-the-shooting-at-hawthorne-hill/,2.5,0
Trust Me: The False Prophet,2026,https://letterboxd.com/film/trust-me-the-false-prophet-2026/,4.0,0
Untold: The Death & Life of Lamar Odom,2026,https://letterboxd.com/film/untold-the-death-life-of-lamar-odom/,3.0,0
The Predator of Seville,2026,https://letterboxd.com/film/the-predator-of-seville/,3.0,0
Hannah Montana 20th Anniversary Special,2026,https://letterboxd.com/film/hannah-montana-20th-anniversary-special/,5.0,1
The Drama,2026,https://letterboxd.com/film/the-drama/,5.0,1
Ready or Not 2: Here I Come,2026,https://letterboxd.com/film/ready-or-not-2-here-i-come/,4.5,1
Pretty Lethal,2026,https://letterboxd.com/film/pretty-lethal/,1.0,0
Louis Theroux: Inside the Manosphere,2026,https://letterboxd.com/film/louis-theroux-inside-the-manosphere/,3.5,0
Project Hail Mary,2026,https://letterboxd.com/film/project-hail-mary/,4.0,1
Reality Check: Inside America's Next Top Model,2026,https://letterboxd.com/film/reality-check-inside-americas-next-top-model/,3.0,0
The Investigation of Lucy Letby,2026,https://letterboxd.com/film/the-investigation-of-lucy-letby/,0.5,0
Wuthering Heights,2026,https://letterboxd.com/film/wuthering-heights-2026/,3.0,0
The Moment,2026,https://letterboxd.com/film/the-moment-2026/,5.0,1
Everybody to Kenmure Street,2026,https://letterboxd.com/film/everybody-to-kenmure-street/,5.0,1
Kidnapped: Elizabeth Smart,2026,https://letterboxd.com/film/kidnapped-elizabeth-smart/,2.5,0
28 Years Later: The Bone Temple,2026,https://letterboxd.com/film/28-years-later-the-bone-temple/,4.0,1
Evil Influencer: The Jodi Hildebrandt Story,2025,https://letterboxd.com/film/evil-influencer-the-jodi-hildebrandt-story/,3.5,0
Sean Combs: The Reckoning,2025,https://letterboxd.com/film/sean-combs-the-reckoning/,4.0,0
Zara Larsson - Up Close,2025,https://letterboxd.com/film/zara-larsson-up-close/,1.5,0
A Merry Little Ex-Mas,2025,https://letterboxd.com/film/a-merry-little-ex-mas/,2.0,0
Is This Thing On?,2025,https://letterboxd.com/film/is-this-thing-on-2025/,3.5,0
Marty Supreme,2025,https://letterboxd.com/film/marty-supreme/,5.0,1
Primate,2025,https://letterboxd.com/film/primate-2025/,2.0,0
HIM,2025,https://letterboxd.com/film/him-2025/,3.0,0
One Battle After Another,2025,https://letterboxd.com/film/one-battle-after-another/,4.5,1
The Long Walk,2025,https://letterboxd.com/film/the-long-walk-2025/,3.0,0
Eternity,2025,https://letterboxd.com/film/eternity-2025-1/,4.5,1
100 Nights of Hero,2025,https://letterboxd.com/film/100-nights-of-hero/,2.5,0
Rental Family,2025,https://letterboxd.com/film/rental-family-2025/,4.0,0
Roofman,2025,https://letterboxd.com/film/roofman/,5.0,1
Erupcja,2025,https://letterboxd.com/film/erupcja/,3.5,0
Dead Man's Wire,2025,https://letterboxd.com/film/dead-mans-wire/,3.0,0
The Conjuring: Last Rites,2025,https://letterboxd.com/film/the-conjuring-last-rites/,2.5,0
Frankenstein,2025,https://letterboxd.com/film/frankenstein-2025/,5.0,1
Hamnet,2025,https://letterboxd.com/film/hamnet/,4.5,1
No Other Choice,2025,https://letterboxd.com/film/no-other-choice-2025/,2.0,0
Unknown Number: The High School Catfish,2025,https://letterboxd.com/film/unknown-number-the-high-school-catfish/,3.0,0
Eenie Meanie,2025,https://letterboxd.com/film/eenie-meanie/,2.0,0
The Twisted Tale of Amanda Knox,2025,https://letterboxd.com/film/the-twisted-tale-of-amanda-knox/,4.0,0
Weapons,2025,https://letterboxd.com/film/weapons-2025/,3.0,0
undertone,2025,https://letterboxd.com/film/undertone-2025/,3.0,0
Amy Bradley Is Missing,2025,https://letterboxd.com/film/amy-bradley-is-missing/,3.5,0
I Know What You Did Last Summer,2025,https://letterboxd.com/film/i-know-what-you-did-last-summer-2025/,4.0,1
Trainwreck: The Cult of American Apparel,2025,https://letterboxd.com/film/trainwreck-the-cult-of-american-apparel/,2.0,0
Grenfell: Uncovered,2025,https://letterboxd.com/film/grenfell-uncovered/,5.0,0
28 Years Later,2025,https://letterboxd.com/film/28-years-later/,4.5,1
Jurassic World Rebirth,2025,https://letterboxd.com/film/jurassic-world-rebirth/,3.5,1
F1,2025,https://letterboxd.com/film/f1/,4.5,1
Trainwreck: The Astroworld Tragedy,2025,https://letterboxd.com/film/trainwreck-the-astroworld-tragedy/,3.0,0
Materialists,2025,https://letterboxd.com/film/materialists/,4.0,0
Titan: The OceanGate Submersible Disaster,2025,https://letterboxd.com/film/titan-the-oceangate-submersible-disaster/,3.5,0
Splitsville,2025,https://letterboxd.com/film/splitsville/,3.0,0
Pillion,2025,https://letterboxd.com/film/pillion-2025/,5.0,1
The Phoenician Scheme,2025,https://letterboxd.com/film/the-phoenician-scheme/,4.0,1
Dangerous Animals,2025,https://letterboxd.com/film/dangerous-animals/,2.5,0
Bring Her Back,2025,https://letterboxd.com/film/bring-her-back/,4.5,1
Final Destination Bloodlines,2025,https://letterboxd.com/film/final-destination-bloodlines/,4.0,1
Lady Gaga: Mayhem on the Beach,2025,https://letterboxd.com/film/lady-gaga-mayhem-on-the-beach/,5.0,1
Black Mirror: Bête Noire,2025,https://letterboxd.com/film/black-mirror-bete-noire/,3.0,0
Sinners,2025,https://letterboxd.com/film/sinners-2025/,4.5,1
Brighter Days Ahead,2025,https://letterboxd.com/film/brighter-days-ahead/,3.0,0
Adolescence,2025,https://letterboxd.com/film/adolescence-2025/,4.0,0
Warfare,2025,https://letterboxd.com/film/warfare/,4.5,1
American Sweatshop,2025,https://letterboxd.com/film/american-sweatshop/,3.5,0
Hallow Road,2025,https://letterboxd.com/film/hallow-road/,4.0,0
American Murder: Gabby Petito,2025,https://letterboxd.com/film/american-murder-gabby-petito-2025/,3.0,0
The Monkey,2025,https://letterboxd.com/film/the-monkey-2025/,2.0,0
Bridget Jones: Mad About the Boy,2025,https://letterboxd.com/film/bridget-jones-mad-about-the-boy/,2.0,0
Together,2025,https://letterboxd.com/film/together-2025/,5.0,1
The Perfect Neighbor,2025,https://letterboxd.com/film/the-perfect-neighbour/,4.0,0
Twinless,2025,https://letterboxd.com/film/twinless/,3.0,0
Companion,2025,https://letterboxd.com/film/companion-2025/,4.0,1
Gavin & Stacey: The Finale,2024,https://letterboxd.com/film/gavin-stacey-the-finale/,5.0,1
A Complete Unknown,2024,https://letterboxd.com/film/a-complete-unknown/,3.5,0
A Nonsense Christmas with Sabrina Carpenter,2024,https://letterboxd.com/film/a-nonsense-christmas-with-sabrina-carpenter/,4.0,0
Carry-On,2024,https://letterboxd.com/film/carry-on-2024/,4.0,1
Our Little Secret,2024,https://letterboxd.com/film/our-little-secret/,3.5,0
Nosferatu,2024,https://letterboxd.com/film/nosferatu-2024/,3.5,0
Paddington in Peru,2024,https://letterboxd.com/film/paddington-in-peru/,3.0,0
