title,year,url,user_rating,user_like
Hoppers,2026,https://letterboxd.com/film/hoppers/,3.5,1
Send Help,2026,https://letterboxd.com/film/send-help/,4.0,1
Marty Supreme,2025,https://letterboxd.com/film/marty-supreme/,4.5,1
Go Ye Afar,2025,https://letterboxd.com/film/go-ye-afar/,4.5,1
One Battle After Another,2025,https://letterboxd.com/film/one-battle-after-another/,4.0,1
Wake Up Dead Man,2025,https://letterboxd.com/film/wake-up-dead-man/,3.5,1
Man on the Run,2025,https://letterboxd.com/film/man-on-the-run-2025/,5.0,1
Hamnet,2025,https://letterboxd.com/film/hamnet/,4.5,1
Bugonia,2025,https://letterboxd.com/film/bugonia/,3.5,0
Weapons,2025,https://letterboxd.com/film/weapons-2025/,3.5,1
The Fantastic 4: First Steps,2025,https://letterboxd.com/film/the-fantastic-4-first-steps/,5.0,1
Z-O-M-B-I-E-S 4: Dawn of the Vampires,2025,https://letterboxd.com/film/z-o-m-b-i-e-s-4-dawn-of-the-vampires/,4.5,1
Superman,2025,https://letterboxd.com/film/superman-2025/,4.0,1
28 Years Later,2025,https://letterboxd.com/film/28-years-later/,4.0,1
Jurassic World Rebirth,2025,https://letterboxd.com/film/jurassic-world-rebirth/,4.0,1
Materialists,2025,https://letterboxd.com/film/materialists/,3.5,0
The Mastermind,2025,https://letterboxd.com/film/the-mastermind-2025/,4.5,1
Fear Street: Prom Queen,2025,https://letterboxd.com/film/fear-street-prom-queen/,1.5,0
My Father's Shadow,2025,https://letterboxd.com/film/my-fathers-shadow-2025/,5.0,1
Die My Love,2025,https://letterboxd.com/film/die-my-love/,4.0,1
Lilo & Stitch,2025,https://letterboxd.com/film/lilo-stitch-2025/,2.0,0
Mission: Impossible – The Final Reckoning,2025,https://letterboxd.com/film/mission-impossible-the-final-reckoning/,4.5,1
Thunderbolts*,2025,https://letterboxd.com/film/thunderbolts/,3.5,1
Sinners,2025,https://letterboxd.com/film/sinners-2025/,4.0,1
Nirvanna the Band the Show the Movie,2025,https://letterboxd.com/film/nirvanna-the-band-the-show-the-movie/,5.0,1
Slanted,2025,https://letterboxd.com/film/slanted/,4.0,1
Blue Moon,2025,https://letterboxd.com/film/blue-moon-2025/,3.5,1
Lesbian Space Princess,2025,https://letterboxd.com/film/lesbian-space-princess/,4.0,1
Mickey 17,2025,https://letterboxd.com/film/mickey-17/,4.5,1
The Monkey,2025,https://letterboxd.com/film/the-monkey-2025/,4.0,1
Kiss of the Spider Woman,2025,https://letterboxd.com/film/kiss-of-the-spider-woman-2025/,4.5,1
Together,2025,https://letterboxd.com/film/together-2025/,4.0,1
If I Had Legs I'd Kick You,2025,https://letterboxd.com/film/if-i-had-legs-id-kick-you/,4.5,1
"It's Never Over, Jeff Buckley",2025,https://letterboxd.com/film/its-never-over-jeff-buckley/,5.0,1
The Ugly Stepsister,2025,https://letterboxd.com/film/the-ugly-stepsister/,4.5,1
Pee-wee as Himself,2025,https://letterboxd.com/film/pee-wee-as-himself-1/,5.0,1
The Golden Spurtle,2025,https://letterboxd.com/film/the-golden-spurtle/,5.0,1
Beatles '64,2024,https://letterboxd.com/film/beatles-64/,4.5,1
Nosferatu,2024,https://letterboxd.com/film/nosferatu-2024/,4.0,1
Juror #2,2024,https://letterboxd.com/film/juror-2/,3.0,0
Wallace & Gromit: Vengeance Most Fowl,2024,https://letterboxd.com/film/wallace-gromit-vengeance-most-fowl/,4.0,1
Wicked,2024,https://letterboxd.com/film/wicked-2024/,2.5,0
Edward Scissorhands: Matthew Bourne’s Dance Version,2024,https://letterboxd.com/film/edward-scissorhands-matthew-bournes-dance/,2.5,0
Friendship,2024,https://letterboxd.com/film/friendship-2024/,4.0,1
Nightbitch,2024,https://letterboxd.com/film/nightbitch/,2.5,0
The Life of Chuck,2024,https://letterboxd.com/film/the-life-of-chuck/,4.5,1
Mr. K,2024,https://letterboxd.com/film/mr-k-2024/,3.5,1
Queer,2024,https://letterboxd.com/film/queer-2024/,5.0,1
The Brutalist,2024,https://letterboxd.com/film/the-brutalist/,2.0,0
Conclave,2024,https://letterboxd.com/film/conclave/,4.0,1
Better Man,2024,https://letterboxd.com/film/better-man-2024/,4.5,1
Beetlejuice Beetlejuice,2024,https://letterboxd.com/film/beetlejuice-beetlejuice/,3.0,1
Deadpool & Wolverine,2024,https://letterboxd.com/film/deadpool-wolverine/,1.5,0
Trap,2024,https://letterboxd.com/film/trap-2024/,4.5,1
Descendants: The Rise of Red,2024,https://letterboxd.com/film/descendants-the-rise-of-red/,4.0,1
Twisters,2024,https://letterboxd.com/film/twisters/,4.0,1
Longlegs,2024,https://letterboxd.com/film/longlegs/,4.0,1
Memoir of a Snail,2024,https://letterboxd.com/film/memoir-of-a-snail/,4.5,1
Anora,2024,https://letterboxd.com/film/anora/,3.5,0
The Beach Boys,2024,https://letterboxd.com/film/the-beach-boys/,2.5,1
The Substance,2024,https://letterboxd.com/film/the-substance/,5.0,1
The Surfer,2024,https://letterboxd.com/film/the-surfer-2024/,2.0,0
Unfrosted,2024,https://letterboxd.com/film/unfrosted/,1.0,0
National Theatre Live: Nye,2024,https://letterboxd.com/film/national-theatre-live-nye/,4.5,1
Challengers,2024,https://letterboxd.com/film/challengers/,4.5,1
The Fall Guy,2024,https://letterboxd.com/film/the-fall-guy-2024/,4.5,1
Lisa Frankenstein,2024,https://letterboxd.com/film/lisa-frankenstein/,3.5,1
Argylle,2024,https://letterboxd.com/film/argylle/,2.5,0
Love Lies Bleeding,2024,https://letterboxd.com/film/love-lies-bleeding-2024/,4.5,1
Scott Pilgrim Takes Off,2023,https://letterboxd.com/film/scott-pilgrim-takes-off-2023/,3.0,1
The Curse,2023,https://letterboxd.com/film/the-curse-2023/,5.0,1
Quiz Lady,2023,https://letterboxd.com/film/quiz-lady/,4.0,1
Woman of the Hour,2023,https://letterboxd.com/film/woman-of-the-hour/,3.5,1
Hit Man,2023,https://letterboxd.com/film/hit-man-2023/,3.5,1
The Killer,2023,https://letterboxd.com/film/the-killer-2023/,4.0,1
Poor Things,2023,https://letterboxd.com/film/poor-things-2023/,4.0,1
Saltburn,2023,https://letterboxd.com/film/saltburn/,2.5,0
The Boy and the Heron,2023,https://letterboxd.com/film/the-boy-and-the-heron/,3.5,1
Barbie,2023,https://letterboxd.com/film/barbie/,5.0,1
Mission: Impossible – Dead Reckoning,2023,https://letterboxd.com/film/mission-impossible-dead-reckoning/,4.5,1
They Cloned Tyrone,2023,https://letterboxd.com/film/they-cloned-tyrone/,4.0,1
Nimona,2023,https://letterboxd.com/film/nimona-2023/,4.0,1
Sirocco and the Kingdom of Winds,2023,https://letterboxd.com/film/sirocco-and-the-kingdom-of-winds/,4.5,1
Waitress: The Musical,2023,https://letterboxd.com/film/waitress-the-musical/,5.0,1
Spider-Man: Across the Spider-Verse,2023,https://letterboxd.com/film/spider-man-across-the-spider-verse/,5.0,1
Elemental,2023,https://letterboxd.com/film/elemental-2023/,4.0,1
May December,2023,https://letterboxd.com/film/may-december/,5.0,1
Killers of the Flower Moon,2023,https://letterboxd.com/film/killers-of-the-flower-moon/,5.0,1
The Zone of Interest,2023,https://letterboxd.com/film/the-zone-of-interest/,5.0,0
