title,year,url,user_rating,user_like
Ready or Not 2: Here I Come,2026,https://letterboxd.com/film/ready-or-not-2-here-i-come/,4.5,1
Send Help,2026,https://letterboxd.com/film/send-help/,5.0,1
28 Years Later: The Bone Temple,2026,https://letterboxd.com/film/28-years-later-the-bone-temple/,5.0,1
The Housemaid,2025,https://letterboxd.com/film/the-housemaid-2025/,1.0,0
Primate,2025,https://letterboxd.com/film/primate-2025/,3.5,1
The Long Walk,2025,https://letterboxd.com/film/the-long-walk-2025/,4.0,1
Eternity,2025,https://letterboxd.com/film/eternity-2025-1/,4.0,0
Bugonia,2025,https://letterboxd.com/film/bugonia/,5.0,1
Weapons,2025,https://letterboxd.com/film/weapons-2025/,5.0,1
28 Years Later,2025,https://letterboxd.com/film/28-years-later/,3.5,1
Bring Her Back,2025,https://letterboxd.com/film/bring-her-back/,4.5,1
Together,2025,https://letterboxd.com/film/together-2025/,4.0,1
If I Had Legs I'd Kick You,2025,https://letterboxd.com/film/if-i-had-legs-id-kick-you/,5.0,1
The Ugly Stepsister,2025,https://letterboxd.com/film/the-ugly-stepsister/,4.5,1
Companion,2025,https://letterboxd.com/film/companion-2025/,5.0,1
Nosferatu,2024,https://letterboxd.com/film/nosferatu-2024/,5.0,1
1978,2024,https://letterboxd.com/film/1978/,1.0,0
The Perfect Couple,2024,https://letterboxd.com/film/the-perfect-couple-2024/,2.0,0
It Ends with Us,2024,https://letterboxd.com/film/it-ends-with-us/,1.0,0
Memoir of a Snail,2024,https://letterboxd.com/film/memoir-of-a-snail/,5.0,1
Cuckoo,2024,https://letterboxd.com/film/cuckoo-2024/,1.5,0
Alemania,2023,https://letterboxd.com/film/alemania-2023/,5.0,1
When Evil Lurks,2023,https://letterboxd.com/film/when-evil-lurks/,5.0,0
Poor Things,2023,https://letterboxd.com/film/poor-things-2023/,5.0,1
The Holdovers,2023,https://letterboxd.com/film/the-holdovers/,5.0,1
Oppenheimer,2023,https://letterboxd.com/film/oppenheimer-2023/,4.5,0
Barbie,2023,https://letterboxd.com/film/barbie/,5.0,1
Killers of the Flower Moon,2023,https://letterboxd.com/film/killers-of-the-flower-moon/,5.0,1
Blondi,2023,https://letterboxd.com/film/blondi/,5.0,1
To Catch a Killer,2023,https://letterboxd.com/film/to-catch-a-killer-2023/,5.0,1
Puss in Boots: The Last Wish,2022,https://letterboxd.com/film/puss-in-boots-the-last-wish/,5.0,1
Sanctuary,2022,https://letterboxd.com/film/sanctuary-2022/,5.0,1
The Banshees of Inisherin,2022,https://letterboxd.com/film/the-banshees-of-inisherin/,5.0,1
