title,year,url,user_rating,user_like
Apex,2026,https://letterboxd.com/film/apex-2026/,2.0,0
Roommates,2026,https://letterboxd.com/film/roommates-2026/,3.0,1
Michael,2026,https://letterboxd.com/film/michael-2026/,1.5,0
Thrash,2026,https://letterboxd.com/film/thrash-2026/,1.0,0
Mother Mary,2026,https://letterboxd.com/film/mother-mary-2026/,4.0,1
"You, Me & Tuscany",2026,https://letterboxd.com/film/you-me-tuscany/,3.0,1
Lee Cronin's The Mummy,2026,https://letterboxd.com/film/lee-cronins-the-mummy/,3.5,1
Outcome,2026,https://letterboxd.com/film/outcome/,1.0,0
Faces of Death,2026,https://letterboxd.com/film/faces-of-death-2026/,4.5,1
The Yeti,2026,https://letterboxd.com/film/the-yeti/,1.5,0
The Super Mario Galaxy Movie,2026,https://letterboxd.com/film/the-super-mario-galaxy-movie/,2.5,0
Something Very Bad Is Going to Happen,2026,https://letterboxd.com/film/something-very-bad-is-going-to-happen/,4.0,1
They Will Kill You,2026,https://letterboxd.com/film/they-will-kill-you/,4.0,1
Hannah Montana 20th Anniversary Special,2026,https://letterboxd.com/film/hannah-montana-20th-anniversary-special/,4.0,1
Do Not Enter,2026,https://letterboxd.com/film/do-not-enter-2026/,0.5,0
The Drama,2026,https://letterboxd.com/film/the-drama/,4.5,1
Forbidden Fruits,2026,https://letterboxd.com/film/forbidden-fruits-2026/,5.0,1
American Dollhouse,2026,https://letterboxd.com/film/american-dollhouse/,2.5,1
Chili Finger,2026,https://letterboxd.com/film/chili-finger/,4.0,1
Mike & Nick & Nick & Alice,2026,https://letterboxd.com/film/mike-nick-nick-alice/,2.5,0
Sender,2026,https://letterboxd.com/film/sender-2026/,1.0,0
Hokum,2026,https://letterboxd.com/film/hokum/,4.5,1
Over Your Dead Body,2026,https://letterboxd.com/film/over-your-dead-body-2026/,4.0,1
Never After Dark,2026,https://letterboxd.com/film/never-after-dark/,3.5,1
Drag,2026,https://letterboxd.com/film/drag-2026/,3.0,1
Pizza Movie,2026,https://letterboxd.com/film/pizza-movie-2026/,3.0,1
Family Movie,2026,https://letterboxd.com/film/family-movie/,2.5,0
Pretty Lethal,2026,https://letterboxd.com/film/pretty-lethal/,3.0,1
Ready or Not 2: Here I Come,2026,https://letterboxd.com/film/ready-or-not-2-here-i-come/,5.0,1
Wishful Thinking,2026,https://letterboxd.com/film/wishful-thinking-2026/,4.0,1
Fifteen,2026,https://letterboxd.com/film/fifteen-2026/,1.5,0
Seekers of Infinite Love,2026,https://letterboxd.com/film/seekers-of-infinite-love/,4.0,1
Monitor,2026,https://letterboxd.com/film/monitor-2026/,4.0,1
I Love Boosters,2026,https://letterboxd.com/film/i-love-boosters/,4.0,1
Say Less,2026,https://letterboxd.com/film/say-less/,4.0,1
Death Cycle,2026,https://letterboxd.com/film/death-cycle/,1.0,0
Project Hail Mary,2026,https://letterboxd.com/film/project-hail-mary/,5.0,1
Reminders of Him,2026,https://letterboxd.com/film/reminders-of-him/,1.5,0
Peaky Blinders: The Immortal Man,2026,https://letterboxd.com/film/peaky-blinders-the-immortal-man/,4.5,1
Power Ballad,2026,https://letterboxd.com/film/power-ballad/,4.0,1
Chris Fleming: Live at The Palace,2026,https://letterboxd.com/film/chris-fleming-live-at-the-palace/,4.0,1
The Bride!,2026,https://letterboxd.com/film/the-bride-2026/,3.5,1
Scream 7,2026,https://letterboxd.com/film/scream-7/,0.5,0
Hoppers,2026,https://letterboxd.com/film/hoppers/,4.0,1
The Dreadful,2026,https://letterboxd.com/film/the-dreadful/,1.0,0
Psycho Killer,2026,https://letterboxd.com/film/psycho-killer-2026/,2.5,0
The Bluff,2026,https://letterboxd.com/film/the-bluff-2026/,2.0,0
How to Make a Killing,2026,https://letterboxd.com/film/how-to-make-a-killing-2026/,4.0,1
The Mortuary Assistant,2026,https://letterboxd.com/film/the-mortuary-assistant/,0.5,0
GOAT,2026,https://letterboxd.com/film/goat-2026/,3.0,1
Twisted,2026,https://letterboxd.com/film/twisted-2026/,2.0,0
The Strangers: Chapter 3,2026,https://letterboxd.com/film/the-strangers-chapter-3/,0.5,0
Gale: Yellow Brick Road,2026,https://letterboxd.com/film/gale-yellow-brick-road/,0.5,0
The Muppet Show,2026,https://letterboxd.com/film/the-muppet-show/,4.0,1
Resident Evil Requiem: Evil Has Always Had a Name,2026,https://letterboxd.com/film/resident-evil-requiem-evil-has-always-had/,3.0,1
Iron Lung,2026,https://letterboxd.com/film/iron-lung/,3.0,1
Crime 101,2026,https://letterboxd.com/film/crime-101/,4.0,1
Wuthering Heights,2026,https://letterboxd.com/film/wuthering-heights-2026/,2.5,0
Shelter,2026,https://letterboxd.com/film/shelter-2026/,2.0,0
The Wrecking Crew,2026,https://letterboxd.com/film/the-wrecking-crew-2026/,2.5,0
See You When I See You,2026,https://letterboxd.com/film/see-you-when-i-see-you/,3.0,1
In the Blink of an Eye,2026,https://letterboxd.com/film/in-the-blink-of-an-eye-2026/,1.0,0
Chasing Summer,2026,https://letterboxd.com/film/chasing-summer/,3.5,1
Run Amok,2026,https://letterboxd.com/film/run-amok-2026/,0.5,0
The Musical,2026,https://letterboxd.com/film/the-musical-2026/,2.5,1
Union County,2026,https://letterboxd.com/film/union-county-2026/,4.0,1
Rock Springs,2026,https://letterboxd.com/film/rock-springs-2026/,3.0,1
Bedford Park,2026,https://letterboxd.com/film/bedford-park/,3.5,1
Zi,2026,https://letterboxd.com/film/zi-2026/,2.0,0
Leviticus,2026,https://letterboxd.com/film/leviticus-2026/,5.0,1
The Moment,2026,https://letterboxd.com/film/the-moment-2026/,3.0,1
Extra Geography,2026,https://letterboxd.com/film/extra-geography/,3.0,1
Josephine,2026,https://letterboxd.com/film/josephine-2026/,4.5,1
Cold Storage,2026,https://letterboxd.com/film/cold-storage-2026/,3.0,1
Buddy,2026,https://letterboxd.com/film/buddy-2026/,5.0,1
Carousel,2026,https://letterboxd.com/film/carousel-2026/,2.0,0
Send Help,2026,https://letterboxd.com/film/send-help/,4.5,1
Return to Silent Hill,2026,https://letterboxd.com/film/return-to-silent-hill/,1.0,0
Mercy,2026,https://letterboxd.com/film/mercy-2026/,0.5,0
How to Lose a Popularity Contest,2026,https://letterboxd.com/film/how-to-lose-a-popularity-contest/,0.5,0
Killer Whale,2026,https://letterboxd.com/film/killer-whale/,0.5,0
The Rip,2026,https://letterboxd.com/film/the-rip-2026/,3.0,1
28 Years Later: The Bone Temple,2026,https://letterboxd.com/film/28-years-later-the-bone-temple/,5.0,1
The House on Haunted Grounds,2026,https://letterboxd.com/film/the-house-on-haunted-grounds/,1.0,0
Sleepwalker,2026,https://letterboxd.com/film/sleepwalker-2026/,1.0,0
Greenland 2: Migration,2026,https://letterboxd.com/film/greenland-2-migration/,1.0,0
People We Meet on Vacation,2026,https://letterboxd.com/film/people-we-meet-on-vacation/,4.0,1
Anaconda,2025,https://letterboxd.com/film/anaconda-2025/,1.0,0
Ella McCay,2025,https://letterboxd.com/film/ella-mccay/,1.5,0
Horror in the High Desert 4: Majesty,2025,https://letterboxd.com/film/horror-in-the-high-desert-4-majesty/,3.5,1
Five Nights at Freddy's 2,2025,https://letterboxd.com/film/five-nights-at-freddys-2/,1.0,0
The Housemaid,2025,https://letterboxd.com/film/the-housemaid-2025/,3.5,1
Oh. What. Fun.,2025,https://letterboxd.com/film/oh-what-fun/,2.5,0
Avatar: Fire and Ash,2025,https://letterboxd.com/film/avatar-fire-and-ash/,4.5,1
Troll 2,2025,https://letterboxd.com/film/troll-2-2025/,1.5,0
Jingle Bell Heist,2025,https://letterboxd.com/film/jingle-bell-heist/,1.5,0
Trap House,2025,https://letterboxd.com/film/trap-house-2025/,1.5,0
Zootopia 2,2025,https://letterboxd.com/film/zootopia-2/,4.0,1
Keeper,2025,https://letterboxd.com/film/keeper-2025/,4.5,1
Don't Trip,2025,https://letterboxd.com/film/dont-trip/,1.0,0
Stone Cold Fox,2025,https://letterboxd.com/film/stone-cold-fox/,3.0,1
Wicked: For Good,2025,https://letterboxd.com/film/wicked-for-good/,4.5,1
The Running Man,2025,https://letterboxd.com/film/the-running-man-2025/,4.0,1
Now You See Me: Now You Don't,2025,https://letterboxd.com/film/now-you-see-me-now-you-dont-2025/,3.0,1
This Place is a Sh*thole,2025,https://letterboxd.com/film/this-place-is-a-shthole/,3.5,1
Predator: Badlands,2025,https://letterboxd.com/film/predator-badlands/,5.0,1
Song Sung Blue,2025,https://letterboxd.com/film/song-sung-blue-2025/,2.0,0
This Is Not a Test,2025,https://letterboxd.com/film/this-is-not-a-test-2025/,2.0,0
Blood Barn,2025,https://letterboxd.com/film/blood-barn/,1.0,0
R.L. Stine's Pumpkinhead,2025,https://letterboxd.com/film/rl-stines-pumpkinhead/,2.0,0
The Hand That Rocks the Cradle,2025,https://letterboxd.com/film/the-hand-that-rocks-the-cradle-2025/,3.0,1
Regretting You,2025,https://letterboxd.com/film/regretting-you/,2.0,0
Harvest Brood,2025,https://letterboxd.com/film/harvest-brood/,3.5,1
Is This Thing On?,2025,https://letterboxd.com/film/is-this-thing-on-2025/,3.5,1
Affection,2025,https://letterboxd.com/film/affection-2025/,1.0,0
Maintenance Required,2025,https://letterboxd.com/film/maintenance-required/,1.0,0
Marty Supreme,2025,https://letterboxd.com/film/marty-supreme/,5.0,1
TRON: Ares,2025,https://letterboxd.com/film/tron-ares/,1.5,0
Diabolic,2025,https://letterboxd.com/film/diabolic/,1.5,0
Match,2025,https://letterboxd.com/film/match-2025/,3.0,1
Anemone,2025,https://letterboxd.com/film/anemone-2025/,2.5,0
Whistle,2025,https://letterboxd.com/film/whistle-2025-1/,3.0,1
"Good Luck, Have Fun, Don't Die",2025,https://letterboxd.com/film/good-luck-have-fun-dont-die/,3.5,1
Penance,2025,https://letterboxd.com/film/penance-2025-2/,0.5,0
Crazy Old Lady,2025,https://letterboxd.com/film/crazy-old-lady/,2.0,0
Dolly,2025,https://letterboxd.com/film/dolly-2025/,3.5,1
Sisu: Road to Revenge,2025,https://letterboxd.com/film/sisu-road-to-revenge/,4.0,1
"Silent Night, Deadly Night",2025,https://letterboxd.com/film/silent-night-deadly-night-2025/,4.0,1
Deathgasm 2: Goremageddon,2025,https://letterboxd.com/film/deathgasm-2-goremageddon/,3.5,1
Coyotes,2025,https://letterboxd.com/film/coyotes-2025/,2.5,1
Black Phone 2,2025,https://letterboxd.com/film/black-phone-2/,4.0,1
Disforia,2025,https://letterboxd.com/film/disforia-2025/,2.0,0
Cramps! A Period Piece,2025,https://letterboxd.com/film/cramps-a-period-piece/,3.5,1
Night Patrol,2025,https://letterboxd.com/film/night-patrol-2025/,1.5,0
Bad Haircut,2025,https://letterboxd.com/film/bad-haircut/,2.5,1
The Curse,2025,https://letterboxd.com/film/the-curse-2025-1/,2.0,0
V/H/S/Halloween,2025,https://letterboxd.com/film/v-h-s-halloween/,4.0,1
Caleb Hearon: Model Comedian,2025,https://letterboxd.com/film/caleb-hearon-model-comedian/,4.0,1
Meat Kills,2025,https://letterboxd.com/film/meat-kills/,3.5,1
Primate,2025,https://letterboxd.com/film/primate-2025/,4.0,1
HIM,2025,https://letterboxd.com/film/him-2025/,2.5,0
The Strangers: Chapter 2,2025,https://letterboxd.com/film/the-strangers-chapter-2/,0.5,0
A Big Bold Beautiful Journey,2025,https://letterboxd.com/film/a-big-bold-beautiful-journey/,2.5,0
The Girlfriend,2025,https://letterboxd.com/film/the-girlfriend-2025/,3.0,1
Dust Bunny,2025,https://letterboxd.com/film/dust-bunny/,3.0,1
Swiped,2025,https://letterboxd.com/film/swiped-2025/,3.0,1
Normal,2025,https://letterboxd.com/film/normal-2025/,3.0,1
One Battle After Another,2025,https://letterboxd.com/film/one-battle-after-another/,5.0,1
The Long Walk,2025,https://letterboxd.com/film/the-long-walk-2025/,5.0,1
The Christophers,2025,https://letterboxd.com/film/the-christophers/,3.0,1
I Swear,2025,https://letterboxd.com/film/i-swear/,4.5,1
Eternity,2025,https://letterboxd.com/film/eternity-2025-1/,4.5,1
Hedda,2025,https://letterboxd.com/film/hedda-2025/,4.0,1
100 Nights of Hero,2025,https://letterboxd.com/film/100-nights-of-hero/,3.0,1
Wake Up Dead Man,2025,https://letterboxd.com/film/wake-up-dead-man/,5.0,1
Rental Family,2025,https://letterboxd.com/film/rental-family-2025/,4.5,1
Good Fortune,2025,https://letterboxd.com/film/good-fortune-2025/,3.5,1
Roofman,2025,https://letterboxd.com/film/roofman/,4.5,1
The Man in My Basement,2025,https://letterboxd.com/film/the-man-in-my-basement/,2.0,0
Obsession,2025,https://letterboxd.com/film/obsession-2025-2/,5.0,1
Heel,2025,https://letterboxd.com/film/the-good-boy-2025/,3.5,1
Mārama,2025,https://letterboxd.com/film/marama/,3.5,1
Christy,2025,https://letterboxd.com/film/christy-2025-1/,3.0,1
Steve,2025,https://letterboxd.com/film/steve-2025/,3.5,1
The Lost Bus,2025,https://letterboxd.com/film/the-lost-bus/,3.0,1
Mile End Kicks,2025,https://letterboxd.com/film/mile-end-kicks/,3.5,1
John Candy: I Like Me,2025,https://letterboxd.com/film/john-candy-i-like-me/,4.0,1
Dead Man's Wire,2025,https://letterboxd.com/film/dead-mans-wire/,4.0,1
A House of Dynamite,2025,https://letterboxd.com/film/a-house-of-dynamite/,1.5,0
The Conjuring: Last Rites,2025,https://letterboxd.com/film/the-conjuring-last-rites/,3.5,1
The Testament of Ann Lee,2025,https://letterboxd.com/film/the-testament-of-ann-lee/,4.5,1
The Smashing Machine,2025,https://letterboxd.com/film/the-smashing-machine-2025/,3.5,1
Father Mother Sister Brother,2025,https://letterboxd.com/film/father-mother-sister-brother/,2.5,0
Frankenstein,2025,https://letterboxd.com/film/frankenstein-2025/,5.0,1
The Holy Boy,2025,https://letterboxd.com/film/the-holy-boy/,3.0,1
Hamnet,2025,https://letterboxd.com/film/hamnet/,5.0,1
No Other Choice,2025,https://letterboxd.com/film/no-other-choice-2025/,5.0,1
Ballad of a Small Player,2025,https://letterboxd.com/film/ballad-of-a-small-player/,2.0,0
Springsteen: Deliver Me from Nowhere,2025,https://letterboxd.com/film/springsteen-deliver-me-from-nowhere/,4.5,1
After the Hunt,2025,https://letterboxd.com/film/after-the-hunt-2025/,2.5,0
Jay Kelly,2025,https://letterboxd.com/film/jay-kelly/,3.5,1
Bugonia,2025,https://letterboxd.com/film/bugonia/,5.0,1
The Mannequin,2025,https://letterboxd.com/film/the-mannequin-2025/,1.5,0
Super Happy Fun Clown,2025,https://letterboxd.com/film/super-happy-fun-clown/,1.5,1
Appofeniacs,2025,https://letterboxd.com/film/appofeniacs/,4.0,1
The Thursday Murder Club,2025,https://letterboxd.com/film/the-thursday-murder-club/,2.5,0
Hell House LLC: Lineage,2025,https://letterboxd.com/film/hell-house-llc-lineage/,1.5,0
1000 Women in Horror,2025,https://letterboxd.com/film/1000-women-in-horror/,3.0,1
The Roses,2025,https://letterboxd.com/film/the-roses-2025/,4.0,1
Eenie Meanie,2025,https://letterboxd.com/film/eenie-meanie/,4.0,1
The Map That Leads to You,2025,https://letterboxd.com/film/the-map-that-leads-to-you/,3.0,1
Corked,2025,https://letterboxd.com/film/corked-2025/,3.0,1
Beast of War,2025,https://letterboxd.com/film/beast-of-war/,3.0,1
Deathstalker,2025,https://letterboxd.com/film/deathstalker-2025/,3.0,1
Night Always Comes,2025,https://letterboxd.com/film/night-always-comes/,2.5,0
Sweet Revenge,2025,https://letterboxd.com/film/sweet-revenge-2025/,1.0,0
Nobody 2,2025,https://letterboxd.com/film/nobody-2/,4.0,1
Bodycam,2025,https://letterboxd.com/film/bodycam-2025/,1.0,0
Caught Stealing,2025,https://letterboxd.com/film/caught-stealing/,4.5,1
Night of the Reaper,2025,https://letterboxd.com/film/night-of-the-reaper-2025/,1.0,0
Vicious,2025,https://letterboxd.com/film/vicious-2025/,2.0,0
Freakier Friday,2025,https://letterboxd.com/film/freakier-friday/,2.5,0
Frankenbabes from Beyond the Grave!,2025,https://letterboxd.com/film/frankenbabes-from-beyond-the-grave/,4.0,1
She Rides Shotgun,2025,https://letterboxd.com/film/she-rides-shotgun/,3.0,1
Red Sonja,2025,https://letterboxd.com/film/red-sonja-2025/,2.5,0
Weapons,2025,https://letterboxd.com/film/weapons-2025/,5.0,1
My Oxford Year,2025,https://letterboxd.com/film/my-oxford-year/,1.0,0
Dracula,2025,https://letterboxd.com/film/dracula-2025/,3.0,1
War of the Worlds,2025,https://letterboxd.com/film/war-of-the-worlds-2025/,0.5,0
Buffet Infinity,2025,https://letterboxd.com/film/buffet-infinity/,4.0,1
undertone,2025,https://letterboxd.com/film/undertone-2025/,4.5,1
Influencers,2025,https://letterboxd.com/film/influencers-2025/,5.0,1
House on Eden,2025,https://letterboxd.com/film/house-on-eden/,0.5,0
Mother of Flies,2025,https://letterboxd.com/film/mother-of-flies/,2.0,0
The Bad Guys 2,2025,https://letterboxd.com/film/the-bad-guys-2/,3.5,1
The Naked Gun,2025,https://letterboxd.com/film/the-naked-gun/,4.0,1
Happy Gilmore 2,2025,https://letterboxd.com/film/happy-gilmore-2/,1.0,0
The Fantastic 4: First Steps,2025,https://letterboxd.com/film/the-fantastic-4-first-steps/,4.5,1
Find Your Friends,2025,https://letterboxd.com/film/find-your-friends/,2.0,0
I Know What You Did Last Summer,2025,https://letterboxd.com/film/i-know-what-you-did-last-summer-2025/,4.0,1
Other,2025,https://letterboxd.com/film/other-2025/,1.0,0
Brick,2025,https://letterboxd.com/film/brick-2025/,1.0,0
The Old Guard 2,2025,https://letterboxd.com/film/the-old-guard-2/,1.0,0
How to Start a Cult in 5-Easy Steps,2025,https://letterboxd.com/film/how-to-start-a-cult-in-5-easy-steps/,2.0,0
M3GAN 2.0,2025,https://letterboxd.com/film/m3gan-20/,3.5,1
Heads of State,2025,https://letterboxd.com/film/heads-of-state/,2.0,0
Found Footage: The Making of the Patterson Project,2025,https://letterboxd.com/film/found-footage-the-making-of-the-patterson/,3.5,1
KPop Demon Hunters,2025,https://letterboxd.com/film/kpop-demon-hunters/,4.5,1
Superman,2025,https://letterboxd.com/film/superman-2025/,5.0,1
28 Years Later,2025,https://letterboxd.com/film/28-years-later/,5.0,1
Jurassic World Rebirth,2025,https://letterboxd.com/film/jurassic-world-rebirth/,3.5,1
F1,2025,https://letterboxd.com/film/f1/,4.5,1
Elio,2025,https://letterboxd.com/film/elio/,3.5,1
Everything's Going to Be Great,2025,https://letterboxd.com/film/everythings-going-to-be-great/,2.5,0
Man Finds Tape,2025,https://letterboxd.com/film/man-finds-tape/,3.0,1
Pike River,2025,https://letterboxd.com/film/pike-river-2025/,3.0,1
In Cold Light,2025,https://letterboxd.com/film/in-cold-light/,2.5,0
Queens of the Dead,2025,https://letterboxd.com/film/queens-of-the-dead/,4.0,1
Materialists,2025,https://letterboxd.com/film/materialists/,4.0,1
How to Train Your Dragon,2025,https://letterboxd.com/film/how-to-train-your-dragon-2025/,3.5,1
Predator: Killer of Killers,2025,https://letterboxd.com/film/predator-killer-of-killers/,4.0,1
Deep Cover,2025,https://letterboxd.com/film/deep-cover-2025/,3.0,1
Echo Valley,2025,https://letterboxd.com/film/echo-valley/,2.5,0
The Quiet Ones,2025,https://letterboxd.com/film/the-quiet-ones-2025/,1.0,0
The Mastermind,2025,https://letterboxd.com/film/the-mastermind-2025/,2.5,0
Honey Don't!,2025,https://letterboxd.com/film/honey-dont/,2.5,0
Resurrection,2025,https://letterboxd.com/film/resurrection-2025/,4.0,1
Ballerina,2025,https://letterboxd.com/film/ballerina-2025/,4.0,1
Mountainhead,2025,https://letterboxd.com/film/mountainhead/,1.5,0
Sirens,2025,https://letterboxd.com/film/sirens-2025/,3.5,1
Fear Street: Prom Queen,2025,https://letterboxd.com/film/fear-street-prom-queen/,2.5,0
The History of Sound,2025,https://letterboxd.com/film/the-history-of-sound/,2.5,0
Sentimental Value,2025,https://letterboxd.com/film/sentimental-value-2025/,5.0,1
It Was Just an Accident,2025,https://letterboxd.com/film/it-was-just-an-accident/,4.5,1
Eleanor the Great,2025,https://letterboxd.com/film/eleanor-the-great/,3.0,1
Alpha,2025,https://letterboxd.com/film/alpha-2025/,3.0,0
Fountain of Youth,2025,https://letterboxd.com/film/fountain-of-youth-2025/,1.0,0
Splitsville,2025,https://letterboxd.com/film/splitsville/,4.0,1
Highest 2 Lowest,2025,https://letterboxd.com/film/highest-2-lowest/,4.0,1
Exit 8,2025,https://letterboxd.com/film/exit-8/,3.0,1
Pillion,2025,https://letterboxd.com/film/pillion-2025/,4.0,1
The Secret Agent,2025,https://letterboxd.com/film/the-secret-agent-2025/,4.0,1
The Phoenician Scheme,2025,https://letterboxd.com/film/the-phoenician-scheme/,4.0,1
Urchin,2025,https://letterboxd.com/film/urchin-2025/,4.0,1
Nouvelle Vague,2025,https://letterboxd.com/film/nouvelle-vague-2025/,3.5,1
Die My Love,2025,https://letterboxd.com/film/die-my-love/,4.5,1
Lilo & Stitch,2025,https://letterboxd.com/film/lilo-stitch-2025/,2.5,1
Dangerous Animals,2025,https://letterboxd.com/film/dangerous-animals/,4.0,1
The Plague,2025,https://letterboxd.com/film/the-plague-2025/,3.5,1
The Chronology of Water,2025,https://letterboxd.com/film/the-chronology-of-water/,3.5,1
Arco,2025,https://letterboxd.com/film/arco/,3.5,1
Eddington,2025,https://letterboxd.com/film/eddington/,1.5,0
Sirāt,2025,https://letterboxd.com/film/sirat-2025/,3.0,1
A Breed Apart,2025,https://letterboxd.com/film/a-breed-apart-2025/,0.5,0
Bring Her Back,2025,https://letterboxd.com/film/bring-her-back/,5.0,1
Sound of Falling,2025,https://letterboxd.com/film/sound-of-falling/,4.0,1
Hurry Up Tomorrow,2025,https://letterboxd.com/film/hurry-up-tomorrow/,1.0,0
Final Destination Bloodlines,2025,https://letterboxd.com/film/final-destination-bloodlines/,4.5,1
Wick Is Pain,2025,https://letterboxd.com/film/wick-is-pain/,3.5,1
Karate Kid: Legends,2025,https://letterboxd.com/film/karate-kid-legends/,2.5,0
Mission: Impossible – The Final Reckoning,2025,https://letterboxd.com/film/mission-impossible-the-final-reckoning/,4.0,1
Nonnas,2025,https://letterboxd.com/film/nonnas/,3.0,1
Rosario,2025,https://letterboxd.com/film/rosario-2025/,1.0,0
Project MKHEXE,2025,https://letterboxd.com/film/project-mkhexe/,1.0,0
The Other,2025,https://letterboxd.com/film/the-other-2025/,1.5,0
Havoc,2025,https://letterboxd.com/film/havoc-2025/,3.5,1
Neighborhood Watch,2025,https://letterboxd.com/film/neighborhood-watch-2025/,2.5,1
Until Dawn,2025,https://letterboxd.com/film/until-dawn-2025/,3.5,1
Thunderbolts*,2025,https://letterboxd.com/film/thunderbolts/,4.5,1
The Ritual,2025,https://letterboxd.com/film/the-ritual-2025/,1.0,0
Pools,2025,https://letterboxd.com/film/pools-2025/,3.5,1
Push,2025,https://letterboxd.com/film/push-2025/,1.0,0
Marshmallow,2025,https://letterboxd.com/film/marshmallow-2025/,3.5,1
Black Mirror: USS Callister – Into Infinity,2025,https://letterboxd.com/film/black-mirror-uss-callister-into-infinity/,3.5,1
Black Mirror: Plaything,2025,https://letterboxd.com/film/black-mirror-plaything/,2.5,1
Black Mirror: Hotel Reverie,2025,https://letterboxd.com/film/black-mirror-hotel-reverie/,2.5,1
Black Mirror: Eulogy,2025,https://letterboxd.com/film/black-mirror-eulogy/,3.5,1
Black Mirror: Bête Noire,2025,https://letterboxd.com/film/black-mirror-bete-noire/,3.5,1
Black Mirror: Common People,2025,https://letterboxd.com/film/black-mirror-common-people/,3.5,1
G20,2025,https://letterboxd.com/film/g20/,1.0,0
Abraham's Boys: A Dracula Story,2025,https://letterboxd.com/film/abrahams-boys-a-dracula-story/,1.5,0
825 Forest Road,2025,https://letterboxd.com/film/825-forest-road/,0.5,0
Sinners,2025,https://letterboxd.com/film/sinners-2025/,5.0,1
The Amateur,2025,https://letterboxd.com/film/the-amateur-2025/,2.5,1
A Minecraft Movie,2025,https://letterboxd.com/film/a-minecraft-movie/,0.5,0
Brighter Days Ahead,2025,https://letterboxd.com/film/brighter-days-ahead/,3.5,1
The Woman in the Yard,2025,https://letterboxd.com/film/the-woman-in-the-yard/,1.0,0
The Life List,2025,https://letterboxd.com/film/the-life-list/,2.5,1
A Working Man,2025,https://letterboxd.com/film/a-working-man/,2.0,0
Zombie Repellent,2025,https://letterboxd.com/film/zombie-repellent/,0.5,0
Revelations,2025,https://letterboxd.com/film/revelations-2025-1/,2.5,0
Locked,2025,https://letterboxd.com/film/locked-2025/,3.5,1
Snow White,2025,https://letterboxd.com/film/snow-white-2025/,2.0,0
The Actor,2025,https://letterboxd.com/film/the-actor-2025/,2.0,0
Summer of 69,2025,https://letterboxd.com/film/summer-of-69-2025/,3.5,1
Adolescence,2025,https://letterboxd.com/film/adolescence-2025/,4.5,1
Idiotka,2025,https://letterboxd.com/film/idiotka-2025/,3.0,1
Control Freak,2025,https://letterboxd.com/film/control-freak/,0.5,0
Warfare,2025,https://letterboxd.com/film/warfare/,4.0,1
The Parenting,2025,https://letterboxd.com/film/the-parenting/,2.5,0
Borderline,2025,https://letterboxd.com/film/borderline-2025/,3.5,1
Novocaine,2025,https://letterboxd.com/film/novocaine-2025/,4.0,1
Ash,2025,https://letterboxd.com/film/ash-2025/,2.5,1
Clown in a Cornfield,2025,https://letterboxd.com/film/clown-in-a-cornfield/,4.5,1
Holland,2025,https://letterboxd.com/film/holland-2025/,2.0,1
Black Bag,2025,https://letterboxd.com/film/black-bag-2025/,4.5,1
Nirvanna the Band the Show the Movie,2025,https://letterboxd.com/film/nirvanna-the-band-the-show-the-movie/,5.0,1
The Surrender,2025,https://letterboxd.com/film/the-surrender-2025/,3.5,1
Drop,2025,https://letterboxd.com/film/drop-2025/,3.5,1
She's the He,2025,https://letterboxd.com/film/shes-the-he/,4.0,1
Slanted,2025,https://letterboxd.com/film/slanted/,3.5,1
Fucktoys,2025,https://letterboxd.com/film/fucktoys/,4.5,1
The Dutchman,2025,https://letterboxd.com/film/the-dutchman/,1.5,0
O'Dessa,2025,https://letterboxd.com/film/odessa-2025/,1.0,0
The Baltimorons,2025,https://letterboxd.com/film/the-baltimorons/,3.5,1
American Sweatshop,2025,https://letterboxd.com/film/american-sweatshop/,2.5,0
Good Boy,2025,https://letterboxd.com/film/good-boy-2025/,3.5,1
The Accountant²,2025,https://letterboxd.com/film/the-accountant-2025/,3.5,1
Death of a Unicorn,2025,https://letterboxd.com/film/death-of-a-unicorn/,3.5,1
Descendent,2025,https://letterboxd.com/film/descendent-2025/,2.5,1
LifeHack,2025,https://letterboxd.com/film/lifehack/,4.0,1
Redux Redux,2025,https://letterboxd.com/film/redux-redux/,4.0,1
The Astronaut,2025,https://letterboxd.com/film/the-astronaut-2025/,1.5,0
It Ends,2025,https://letterboxd.com/film/it-ends/,4.0,1
One More Shot,2025,https://letterboxd.com/film/one-more-shot-2025/,4.0,1
The Fetus,2025,https://letterboxd.com/film/the-fetus/,0.5,0
Another Simple Favor,2025,https://letterboxd.com/film/another-simple-favor/,2.5,1
