title,year,url,user_rating,user_like
Lorne,2026,https://letterboxd.com/film/lorne-2026/,2.5,0
Mother Mary,2026,https://letterboxd.com/film/mother-mary-2026/,4.0,0
Lee Cronin's The Mummy,2026,https://letterboxd.com/film/lee-cronins-the-mummy/,2.0,0
Outcome,2026,https://letterboxd.com/film/outcome/,1.5,0
Faces of Death,2026,https://letterboxd.com/film/faces-of-death-2026/,3.5,0
The Super Mario Galaxy Movie,2026,https://letterboxd.com/film/the-super-mario-galaxy-movie/,1.5,0
The Drama,2026,https://letterboxd.com/film/the-drama/,3.5,0
Pizza Movie,2026,https://letterboxd.com/film/pizza-movie-2026/,2.0,0
Project Hail Mary,2026,https://letterboxd.com/film/project-hail-mary/,3.0,0
Hoppers,2026,https://letterboxd.com/film/hoppers/,3.5,0
Chronovisor,2026,https://letterboxd.com/film/chronovisor/,3.5,0
Time and Water,2026,https://letterboxd.com/film/time-and-water-2026/,3.5,0
In the Blink of an Eye,2026,https://letterboxd.com/film/in-the-blink-of-an-eye-2026/,1.5,0
Rock Springs,2026,https://letterboxd.com/film/rock-springs-2026/,2.5,0
The Musical,2026,https://letterboxd.com/film/the-musical-2026/,2.5,0
Frank & Louis,2026,https://letterboxd.com/film/frank-louis/,3.0,0
Bedford Park,2026,https://letterboxd.com/film/bedford-park/,3.5,0
The Friend's House is Here,2026,https://letterboxd.com/film/the-friends-house-is-here/,3.5,0
Zi,2026,https://letterboxd.com/film/zi-2026/,3.0,0
The Moment,2026,https://letterboxd.com/film/the-moment-2026/,3.5,0
American Doctor,2026,https://letterboxd.com/film/american-doctor/,4.0,0
Hot Water,2026,https://letterboxd.com/film/hot-water-2026/,2.0,0
Josephine,2026,https://letterboxd.com/film/josephine-2026/,4.0,0
One in a Million,2026,https://letterboxd.com/film/one-in-a-million-2026/,3.5,0
Closure,2026,https://letterboxd.com/film/closure-2026/,3.5,0
Idiots,2026,https://letterboxd.com/film/idiots-2026/,2.5,0
I Want Your Sex,2026,https://letterboxd.com/film/i-want-your-sex/,3.0,0
Filipiñana,2026,https://letterboxd.com/film/filipinana-2026/,3.5,0
The Oldest Person in the World,2026,https://letterboxd.com/film/the-oldest-person-in-the-world/,3.0,0
"Ha-Chan, Shake Your Booty!",2026,https://letterboxd.com/film/ha-chan-shake-your-booty/,3.5,0
The Lake,2026,https://letterboxd.com/film/the-lake-2026/,3.0,0
The History of Concrete,2026,https://letterboxd.com/film/the-history-of-concrete/,4.0,0
Hanging by a Wire,2026,https://letterboxd.com/film/hanging-by-a-wire/,2.5,0
Carousel,2026,https://letterboxd.com/film/carousel-2026/,2.5,0
Send Help,2026,https://letterboxd.com/film/send-help/,3.0,0
The Rip,2026,https://letterboxd.com/film/the-rip-2026/,3.0,0
28 Years Later: The Bone Temple,2026,https://letterboxd.com/film/28-years-later-the-bone-temple/,4.0,0
Greenland 2: Migration,2026,https://letterboxd.com/film/greenland-2-migration/,2.0,0
Anaconda,2025,https://letterboxd.com/film/anaconda-2025/,2.0,0
Ella McCay,2025,https://letterboxd.com/film/ella-mccay/,2.5,0
Avatar: Fire and Ash,2025,https://letterboxd.com/film/avatar-fire-and-ash/,3.0,0
Zootopia 2,2025,https://letterboxd.com/film/zootopia-2/,2.0,0
The Carpenter's Son,2025,https://letterboxd.com/film/the-carpenters-son/,1.5,0
Thoughts & Prayers,2025,https://letterboxd.com/film/thoughts-prayers-2025/,3.0,0
Goodbye June,2025,https://letterboxd.com/film/goodbye-june/,2.5,0
The Family Plan 2,2025,https://letterboxd.com/film/the-family-plan-2/,1.0,0
Being Eddie,2025,https://letterboxd.com/film/being-eddie/,2.5,0
Fire and Water: Making the Avatar Films,2025,https://letterboxd.com/film/fire-and-water-making-the-avatar-films/,2.0,0
In Your Dreams,2025,https://letterboxd.com/film/in-your-dreams-2025/,2.0,0
The Running Man,2025,https://letterboxd.com/film/the-running-man-2025/,3.0,0
Violent Ends,2025,https://letterboxd.com/film/violent-ends/,2.5,0
Predator: Badlands,2025,https://letterboxd.com/film/predator-badlands/,3.5,0
Song Sung Blue,2025,https://letterboxd.com/film/song-sung-blue-2025/,2.0,0
The Hand That Rocks the Cradle,2025,https://letterboxd.com/film/the-hand-that-rocks-the-cradle-2025/,2.0,0
Anniversary,2025,https://letterboxd.com/film/anniversary-2025/,2.0,0
Is This Thing On?,2025,https://letterboxd.com/film/is-this-thing-on-2025/,3.0,0
Marty Supreme,2025,https://letterboxd.com/film/marty-supreme/,5.0,0
TRON: Ares,2025,https://letterboxd.com/film/tron-ares/,2.5,0
Stiller & Meara: Nothing Is Lost,2025,https://letterboxd.com/film/stiller-meara-nothing-is-lost/,3.0,0
Play Dirty,2025,https://letterboxd.com/film/play-dirty-2025-1/,3.0,0
Desert Warrior,2025,https://letterboxd.com/film/desert-warrior-2025/,2.0,0
Gavagai,2025,https://letterboxd.com/film/gavagai-2025/,3.0,0
V/H/S/Halloween,2025,https://letterboxd.com/film/v-h-s-halloween/,2.5,0
HIM,2025,https://letterboxd.com/film/him-2025/,1.5,0
Fuck My Son!,2025,https://letterboxd.com/film/fuck-my-son/,2.0,0
The Long Walk,2025,https://letterboxd.com/film/the-long-walk-2025/,3.0,0
One Battle After Another,2025,https://letterboxd.com/film/one-battle-after-another/,5.0,0
The Christophers,2025,https://letterboxd.com/film/the-christophers/,3.0,0
Eternity,2025,https://letterboxd.com/film/eternity-2025-1/,2.5,0
Bad Apples,2025,https://letterboxd.com/film/bad-apples-2025/,3.5,0
Winter of the Crow,2025,https://letterboxd.com/film/winter-of-the-crow/,3.0,0
Roofman,2025,https://letterboxd.com/film/roofman/,3.5,0
Obsession,2025,https://letterboxd.com/film/obsession-2025-2/,3.0,0
Sacrifice,2025,https://letterboxd.com/film/sacrifice-2025/,3.0,0
Rental Family,2025,https://letterboxd.com/film/rental-family-2025/,3.0,0
Wake Up Dead Man,2025,https://letterboxd.com/film/wake-up-dead-man/,3.0,0
Good News,2025,https://letterboxd.com/film/good-news-2025/,2.5,0
Erupcja,2025,https://letterboxd.com/film/erupcja/,3.0,0
A House of Dynamite,2025,https://letterboxd.com/film/a-house-of-dynamite/,2.0,0
The Smashing Machine,2025,https://letterboxd.com/film/the-smashing-machine-2025/,3.5,0
The Testament of Ann Lee,2025,https://letterboxd.com/film/the-testament-of-ann-lee/,4.5,0
Father Mother Sister Brother,2025,https://letterboxd.com/film/father-mother-sister-brother/,3.0,0
The Wizard of the Kremlin,2025,https://letterboxd.com/film/the-wizard-of-the-kremlin/,3.0,0
Frankenstein,2025,https://letterboxd.com/film/frankenstein-2025/,2.0,0
After the Hunt,2025,https://letterboxd.com/film/after-the-hunt-2025/,3.0,0
H Is for Hawk,2025,https://letterboxd.com/film/h-is-for-hawk/,2.0,0
Ballad of a Small Player,2025,https://letterboxd.com/film/ballad-of-a-small-player/,2.0,0
Hamnet,2025,https://letterboxd.com/film/hamnet/,4.0,0
Springsteen: Deliver Me from Nowhere,2025,https://letterboxd.com/film/springsteen-deliver-me-from-nowhere/,2.5,0
No Other Choice,2025,https://letterboxd.com/film/no-other-choice-2025/,4.0,0
Cover-Up,2025,https://letterboxd.com/film/cover-up-2025/,4.0,0
Bugonia,2025,https://letterboxd.com/film/bugonia/,3.0,0
Jay Kelly,2025,https://letterboxd.com/film/jay-kelly/,3.0,0
Megadoc,2025,https://letterboxd.com/film/megadoc/,3.0,0
La Grazia,2025,https://letterboxd.com/film/la-grazia/,2.0,0
Dracula,2025,https://letterboxd.com/film/dracula-2025-1/,3.5,0
Dead of Winter,2025,https://letterboxd.com/film/dead-of-winter-2025/,3.0,0
Weapons,2025,https://letterboxd.com/film/weapons-2025/,4.0,0
She Rides Shotgun,2025,https://letterboxd.com/film/she-rides-shotgun/,3.0,0
The Bad Guys 2,2025,https://letterboxd.com/film/the-bad-guys-2/,3.0,0
The Naked Gun,2025,https://letterboxd.com/film/the-naked-gun/,4.0,0
Happy Gilmore 2,2025,https://letterboxd.com/film/happy-gilmore-2/,2.5,0
The Fantastic 4: First Steps,2025,https://letterboxd.com/film/the-fantastic-4-first-steps/,2.0,0
The Old Guard 2,2025,https://letterboxd.com/film/the-old-guard-2/,2.0,0
KPop Demon Hunters,2025,https://letterboxd.com/film/kpop-demon-hunters/,3.5,0
Superman,2025,https://letterboxd.com/film/superman-2025/,2.5,0
28 Years Later,2025,https://letterboxd.com/film/28-years-later/,3.5,0
Jurassic World Rebirth,2025,https://letterboxd.com/film/jurassic-world-rebirth/,1.5,0
F1,2025,https://letterboxd.com/film/f1/,2.5,0
Elio,2025,https://letterboxd.com/film/elio/,2.5,0
Sovereign,2025,https://letterboxd.com/film/sovereign-2025/,2.5,0
Materialists,2025,https://letterboxd.com/film/materialists/,3.0,0
Titan: The OceanGate Submersible Disaster,2025,https://letterboxd.com/film/titan-the-oceangate-submersible-disaster/,2.0,0
Predator: Killer of Killers,2025,https://letterboxd.com/film/predator-killer-of-killers/,3.5,0
Echo Valley,2025,https://letterboxd.com/film/echo-valley/,2.5,0
The Mastermind,2025,https://letterboxd.com/film/the-mastermind-2025/,4.0,0
Young Mothers,2025,https://letterboxd.com/film/young-mothers/,3.0,0
Resurrection,2025,https://letterboxd.com/film/resurrection-2025/,4.0,0
Ballerina,2025,https://letterboxd.com/film/ballerina-2025/,3.0,0
Woman and Child,2025,https://letterboxd.com/film/woman-and-child/,3.0,0
Yes,2025,https://letterboxd.com/film/yes-2025/,4.0,0
Sentimental Value,2025,https://letterboxd.com/film/sentimental-value-2025/,4.5,0
Romería,2025,https://letterboxd.com/film/romeria/,3.0,0
The History of Sound,2025,https://letterboxd.com/film/the-history-of-sound/,3.0,0
Little Amélie or the Character of Rain,2025,https://letterboxd.com/film/little-amelie-or-the-character-of-rain/,3.0,0
It Was Just an Accident,2025,https://letterboxd.com/film/it-was-just-an-accident/,4.0,0
Eleanor the Great,2025,https://letterboxd.com/film/eleanor-the-great/,2.0,0
Fountain of Youth,2025,https://letterboxd.com/film/fountain-of-youth-2025/,2.0,0
Splitsville,2025,https://letterboxd.com/film/splitsville/,3.5,0
Alpha,2025,https://letterboxd.com/film/alpha-2025/,1.5,0
Highest 2 Lowest,2025,https://letterboxd.com/film/highest-2-lowest/,3.5,0
Pillion,2025,https://letterboxd.com/film/pillion-2025/,3.5,0
The Phoenician Scheme,2025,https://letterboxd.com/film/the-phoenician-scheme/,3.0,0
The Secret Agent,2025,https://letterboxd.com/film/the-secret-agent-2025/,4.0,0
My Father's Shadow,2025,https://letterboxd.com/film/my-fathers-shadow-2025/,3.5,0
