title,year,url,user_rating,user_like
Mother Mary,2026,https://letterboxd.com/film/mother-mary-2026/,4.0,0
The Super Mario Galaxy Movie,2026,https://letterboxd.com/film/the-super-mario-galaxy-movie/,1.5,0
The Drama,2026,https://letterboxd.com/film/the-drama/,3.5,0
Mike & Nick & Nick & Alice,2026,https://letterboxd.com/film/mike-nick-nick-alice/,3.0,0
Hokum,2026,https://letterboxd.com/film/hokum/,3.0,0
Over Your Dead Body,2026,https://letterboxd.com/film/over-your-dead-body-2026/,2.5,0
I Love Boosters,2026,https://letterboxd.com/film/i-love-boosters/,3.0,0
Project Hail Mary,2026,https://letterboxd.com/film/project-hail-mary/,3.5,0
The Bride!,2026,https://letterboxd.com/film/the-bride-2026/,1.0,0
Hoppers,2026,https://letterboxd.com/film/hoppers/,3.5,0
How to Make a Killing,2026,https://letterboxd.com/film/how-to-make-a-killing-2026/,2.5,0
GOAT,2026,https://letterboxd.com/film/goat-2026/,3.0,0
Iron Lung,2026,https://letterboxd.com/film/iron-lung/,2.5,0
Wuthering Heights,2026,https://letterboxd.com/film/wuthering-heights-2026/,4.0,0
Return to Silent Hill,2026,https://letterboxd.com/film/return-to-silent-hill/,2.5,0
Send Help,2026,https://letterboxd.com/film/send-help/,3.5,0
The Rip,2026,https://letterboxd.com/film/the-rip-2026/,2.5,0
28 Years Later: The Bone Temple,2026,https://letterboxd.com/film/28-years-later-the-bone-temple/,4.5,0
Ella McCay,2025,https://letterboxd.com/film/ella-mccay/,3.5,0
Avatar: Fire and Ash,2025,https://letterboxd.com/film/avatar-fire-and-ash/,4.0,0
Zootopia 2,2025,https://letterboxd.com/film/zootopia-2/,3.0,0
Keeper,2025,https://letterboxd.com/film/keeper-2025/,2.5,0
Death by Lightning,2025,https://letterboxd.com/film/death-by-lightning/,5.0,0
Wicked: For Good,2025,https://letterboxd.com/film/wicked-for-good/,1.0,0
The Running Man,2025,https://letterboxd.com/film/the-running-man-2025/,2.5,0
The Little Puffy Fart Revue,2025,https://letterboxd.com/film/the-little-puffy-fart-revue/,3.0,0
Predator: Badlands,2025,https://letterboxd.com/film/predator-badlands/,3.0,0
The Naughty Seat,2025,https://letterboxd.com/film/the-naughty-seat/,3.5,0
Is This Thing On?,2025,https://letterboxd.com/film/is-this-thing-on-2025/,3.0,0
Marty Supreme,2025,https://letterboxd.com/film/marty-supreme/,4.5,0
TRON: Ares,2025,https://letterboxd.com/film/tron-ares/,3.0,0
Stiller & Meara: Nothing Is Lost,2025,https://letterboxd.com/film/stiller-meara-nothing-is-lost/,3.0,0
Anemone,2025,https://letterboxd.com/film/anemone-2025/,2.0,0
"Good Luck, Have Fun, Don't Die",2025,https://letterboxd.com/film/good-luck-have-fun-dont-die/,3.0,0
Primate,2025,https://letterboxd.com/film/primate-2025/,2.0,0
The Napa Boys,2025,https://letterboxd.com/film/the-napa-boys/,4.0,0
The Long Walk,2025,https://letterboxd.com/film/the-long-walk-2025/,3.0,0
One Battle After Another,2025,https://letterboxd.com/film/one-battle-after-another/,5.0,0
The Christophers,2025,https://letterboxd.com/film/the-christophers/,3.5,0
Eternity,2025,https://letterboxd.com/film/eternity-2025-1/,2.0,0
Nuremberg,2025,https://letterboxd.com/film/nuremberg-2025/,2.5,0
Hedda,2025,https://letterboxd.com/film/hedda-2025/,4.0,0
Wake Up Dead Man,2025,https://letterboxd.com/film/wake-up-dead-man/,4.0,0
Roofman,2025,https://letterboxd.com/film/roofman/,3.5,0
Rental Family,2025,https://letterboxd.com/film/rental-family-2025/,2.5,0
The Choral,2025,https://letterboxd.com/film/the-choral/,2.5,0
The Lost Bus,2025,https://letterboxd.com/film/the-lost-bus/,3.0,0
The Conjuring: Last Rites,2025,https://letterboxd.com/film/the-conjuring-last-rites/,1.5,0
A House of Dynamite,2025,https://letterboxd.com/film/a-house-of-dynamite/,2.0,0
The Testament of Ann Lee,2025,https://letterboxd.com/film/the-testament-of-ann-lee/,3.5,0
The Smashing Machine,2025,https://letterboxd.com/film/the-smashing-machine-2025/,4.0,0
Father Mother Sister Brother,2025,https://letterboxd.com/film/father-mother-sister-brother/,3.5,0
Frankenstein,2025,https://letterboxd.com/film/frankenstein-2025/,2.5,0
Hamnet,2025,https://letterboxd.com/film/hamnet/,2.5,0
Springsteen: Deliver Me from Nowhere,2025,https://letterboxd.com/film/springsteen-deliver-me-from-nowhere/,2.0,0
No Other Choice,2025,https://letterboxd.com/film/no-other-choice-2025/,4.0,0
After the Hunt,2025,https://letterboxd.com/film/after-the-hunt-2025/,2.0,0
Jay Kelly,2025,https://letterboxd.com/film/jay-kelly/,4.0,0
Bugonia,2025,https://letterboxd.com/film/bugonia/,3.0,0
Caught Stealing,2025,https://letterboxd.com/film/caught-stealing/,2.5,0
Weapons,2025,https://letterboxd.com/film/weapons-2025/,5.0,0
undertone,2025,https://letterboxd.com/film/undertone-2025/,2.5,0
The Naked Gun,2025,https://letterboxd.com/film/the-naked-gun/,3.5,0
Happy Gilmore 2,2025,https://letterboxd.com/film/happy-gilmore-2/,2.0,0
The Fantastic 4: First Steps,2025,https://letterboxd.com/film/the-fantastic-4-first-steps/,3.0,0
I Know What You Did Last Summer,2025,https://letterboxd.com/film/i-know-what-you-did-last-summer-2025/,1.0,0
KPop Demon Hunters,2025,https://letterboxd.com/film/kpop-demon-hunters/,3.0,0
Superman,2025,https://letterboxd.com/film/superman-2025/,4.5,0
28 Years Later,2025,https://letterboxd.com/film/28-years-later/,4.5,0
Jurassic World Rebirth,2025,https://letterboxd.com/film/jurassic-world-rebirth/,1.0,0
F1,2025,https://letterboxd.com/film/f1/,3.5,0
Fixed,2025,https://letterboxd.com/film/fixed-2025/,2.0,0
Elio,2025,https://letterboxd.com/film/elio/,2.5,0
A Pain in the Butt,2025,https://letterboxd.com/film/a-pain-in-the-butt/,3.0,0
Materialists,2025,https://letterboxd.com/film/materialists/,2.5,0
How to Train Your Dragon,2025,https://letterboxd.com/film/how-to-train-your-dragon-2025/,2.0,0
Titan: The OceanGate Submersible Disaster,2025,https://letterboxd.com/film/titan-the-oceangate-submersible-disaster/,3.0,0
End Meeting,2025,https://letterboxd.com/film/end-meeting/,5.0,0
Implosion: The Titanic Sub Disaster,2025,https://letterboxd.com/film/implosion-the-titanic-sub-disaster/,3.0,0
The Mastermind,2025,https://letterboxd.com/film/the-mastermind-2025/,4.0,0
