title,year,url,user_rating,user_like
Pizza Movie,2026,https://letterboxd.com/film/pizza-movie-2026/,4.5,1
Project Hail Mary,2026,https://letterboxd.com/film/project-hail-mary/,4.5,1
Hoppers,2026,https://letterboxd.com/film/hoppers/,4.5,1
Cause & Effect,2026,https://letterboxd.com/film/cause-effect/,3.0,1
Send Help,2026,https://letterboxd.com/film/send-help/,4.5,1
28 Years Later: The Bone Temple,2026,https://letterboxd.com/film/28-years-later-the-bone-temple/,4.5,1
Demi Adejuyigbe: Is Going to Do One (1) Backflip,2025,https://letterboxd.com/film/demi-adejuyigbe-is-going-to-do-one-1-backflip/,3.0,0
Now You See Me: Now You Don't,2025,https://letterboxd.com/film/now-you-see-me-now-you-dont-2025/,5.0,1
Marty Supreme,2025,https://letterboxd.com/film/marty-supreme/,5.0,1
One Battle After Another,2025,https://letterboxd.com/film/one-battle-after-another/,5.0,1
EPiC: Elvis Presley in Concert,2025,https://letterboxd.com/film/epic-elvis-presley-in-concert/,4.5,1
Wake Up Dead Man,2025,https://letterboxd.com/film/wake-up-dead-man/,5.0,1
Rental Family,2025,https://letterboxd.com/film/rental-family-2025/,5.0,1
No Other Choice,2025,https://letterboxd.com/film/no-other-choice-2025/,5.0,1
Hamnet,2025,https://letterboxd.com/film/hamnet/,4.5,1
Weapons,2025,https://letterboxd.com/film/weapons-2025/,5.0,1
The Naked Gun,2025,https://letterboxd.com/film/the-naked-gun/,4.5,1
28 Years Later,2025,https://letterboxd.com/film/28-years-later/,4.5,1
Splitsville,2025,https://letterboxd.com/film/splitsville/,5.0,1
The Phoenician Scheme,2025,https://letterboxd.com/film/the-phoenician-scheme/,4.5,1
Final Destination Bloodlines,2025,https://letterboxd.com/film/final-destination-bloodlines/,4.5,1
Sinners,2025,https://letterboxd.com/film/sinners-2025/,4.5,1
Nirvanna the Band the Show the Movie,2025,https://letterboxd.com/film/nirvanna-the-band-the-show-the-movie/,5.0,1
Black Bag,2025,https://letterboxd.com/film/black-bag-2025/,5.0,1
Fucktoys,2025,https://letterboxd.com/film/fucktoys/,4.5,1
Wolfs,2024,https://letterboxd.com/film/wolfs/,4.5,1
Better Man,2024,https://letterboxd.com/film/better-man-2024/,4.5,1
Nickel Boys,2024,https://letterboxd.com/film/nickel-boys/,4.5,1
