title,year,url,user_rating,user_like
Stranger Things 5: The Finale,2025,https://letterboxd.com/film/stranger-things-5-the-finale/,3.5,1
Amsterdamned II,2025,https://letterboxd.com/film/amsterdamned-ii/,3.0,0
One Battle After Another,2025,https://letterboxd.com/film/one-battle-after-another/,4.5,1
Caught Stealing,2025,https://letterboxd.com/film/caught-stealing/,4.0,1
Weapons,2025,https://letterboxd.com/film/weapons-2025/,4.5,1
The Fantastic 4: First Steps,2025,https://letterboxd.com/film/the-fantastic-4-first-steps/,4.0,1
Superman,2025,https://letterboxd.com/film/superman-2025/,4.0,1
28 Years Later,2025,https://letterboxd.com/film/28-years-later/,4.0,1
Predator: Killer of Killers,2025,https://letterboxd.com/film/predator-killer-of-killers/,4.0,1
Bring Her Back,2025,https://letterboxd.com/film/bring-her-back/,3.5,0
Mission: Impossible – The Final Reckoning,2025,https://letterboxd.com/film/mission-impossible-the-final-reckoning/,3.0,0
Thunderbolts*,2025,https://letterboxd.com/film/thunderbolts/,4.0,1
Sinners,2025,https://letterboxd.com/film/sinners-2025/,4.0,1
Adolescence,2025,https://letterboxd.com/film/adolescence-2025/,5.0,1
The Monkey,2025,https://letterboxd.com/film/the-monkey-2025/,3.5,1
Captain America: Brave New World,2025,https://letterboxd.com/film/captain-america-brave-new-world/,1.5,0
Elevation,2024,https://letterboxd.com/film/elevation/,1.0,0
Smile 2,2024,https://letterboxd.com/film/smile-2-2024/,3.5,1
The Brutalist,2024,https://letterboxd.com/film/the-brutalist/,4.0,1
Rebel Ridge,2024,https://letterboxd.com/film/rebel-ridge/,4.0,1
Alien: Romulus,2024,https://letterboxd.com/film/alien-romulus/,4.0,1
Deadpool & Wolverine,2024,https://letterboxd.com/film/deadpool-wolverine/,4.0,1
Trap,2024,https://letterboxd.com/film/trap-2024/,1.0,0
Twisters,2024,https://letterboxd.com/film/twisters/,3.5,1
Longlegs,2024,https://letterboxd.com/film/longlegs/,3.0,0
The First Omen,2024,https://letterboxd.com/film/the-first-omen/,3.5,1
Civil War,2024,https://letterboxd.com/film/civil-war-2024/,3.5,0
Ghostbusters: Frozen Empire,2024,https://letterboxd.com/film/ghostbusters-frozen-empire/,2.0,0
The Fall Guy,2024,https://letterboxd.com/film/the-fall-guy-2024/,4.0,1
Road House,2024,https://letterboxd.com/film/road-house-2024/,3.0,0
Dune: Part Two,2024,https://letterboxd.com/film/dune-part-two/,4.0,1
It's What's Inside,2024,https://letterboxd.com/film/its-whats-inside/,4.0,1
