title,year,url,user_rating,user_like
"13 novembre, nos vies en éclats",2025,https://letterboxd.com/film/13-novembre-nos-vies-en-eclats/,3.0,0
Marty Supreme,2025,https://letterboxd.com/film/marty-supreme/,3.0,0
"HEC, admis sans les codes",2025,https://letterboxd.com/film/hec-admis-sans-les-codes/,2.5,0
28 Years Later,2025,https://letterboxd.com/film/28-years-later/,0.5,0
Warfare,2025,https://letterboxd.com/film/warfare/,4.0,0
Sarkozy-Gaddafi: The Scandal of All Scandals,2025,https://letterboxd.com/film/sarkozy-gaddafi-the-scandal-of-all-scandals/,2.5,0
White Power: Inside Europe's Far-Right Movement,2024,https://letterboxd.com/film/white-power-inside-europes-far-right-movement/,2.5,0
Paris 2024 Olympic Opening Ceremony,2024,https://letterboxd.com/film/paris-2024-olympic-opening-ceremony/,2.5,0
Hunting Down Paedophiles,2024,https://letterboxd.com/film/hunting-down-paedophiles/,2.5,0
Black Dog,2024,https://letterboxd.com/film/black-dog-2024/,3.0,0
Holy Cow,2024,https://letterboxd.com/film/holy-cow-2024/,3.0,0
The Second Act,2024,https://letterboxd.com/film/the-second-act/,3.0,0
Gekaufte Politik? Europa in der Korruptionskrise,2024,https://letterboxd.com/film/gekaufte-politik-europa-in-der-korruptionskrise/,2.5,0
Civil War,2024,https://letterboxd.com/film/civil-war-2024/,2.0,0
Consent,2023,https://letterboxd.com/film/consent-2023-1/,1.5,0
Poor Things,2023,https://letterboxd.com/film/poor-things-2023/,2.0,0
Yannick,2023,https://letterboxd.com/film/yannick-2023/,4.0,1
Oppenheimer,2023,https://letterboxd.com/film/oppenheimer-2023/,2.5,0
Barbie,2023,https://letterboxd.com/film/barbie/,3.0,0
Second Tour,2023,https://letterboxd.com/film/second-tour-2023/,3.5,0
Asteroid City,2023,https://letterboxd.com/film/asteroid-city/,3.0,0
Anatomy of a Fall,2023,https://letterboxd.com/film/anatomy-of-a-fall/,4.0,0
The Zone of Interest,2023,https://letterboxd.com/film/the-zone-of-interest/,2.0,0
The Goldman Case,2023,https://letterboxd.com/film/the-goldman-case/,1.0,0
Cocaine Bear,2023,https://letterboxd.com/film/cocaine-bear/,1.0,0
Junkyard Dog,2023,https://letterboxd.com/film/junkyard-dog-2023/,3.5,0
Babylon,2022,https://letterboxd.com/film/babylon-2022/,3.0,0
Avatar: The Way of Water,2022,https://letterboxd.com/film/avatar-the-way-of-water/,2.5,0
Hundreds of Beavers,2022,https://letterboxd.com/film/hundreds-of-beavers/,4.0,1
DAHMER - Monster: The Jeffrey Dahmer Story,2022,https://letterboxd.com/film/dahmer-monster-the-jeffrey-dahmer-story/,2.0,0
Tax Me If You Can,2022,https://letterboxd.com/film/tax-me-if-you-can/,3.5,0
The Fabelmans,2022,https://letterboxd.com/film/the-fabelmans/,2.0,0
Untold: The Race of the Century,2022,https://letterboxd.com/film/untold-the-race-of-the-century/,4.0,1
Athena,2022,https://letterboxd.com/film/athena-2022-1/,2.0,0
Nope,2022,https://letterboxd.com/film/nope/,3.0,0
November,2022,https://letterboxd.com/film/november-2022/,3.0,0
Triangle of Sadness,2022,https://letterboxd.com/film/triangle-of-sadness/,3.0,0
Top Gun: Maverick,2022,https://letterboxd.com/film/top-gun-maverick/,3.5,0
Incredible But True,2022,https://letterboxd.com/film/incredible-but-true/,2.5,0
Licorice Pizza,2021,https://letterboxd.com/film/licorice-pizza/,2.0,0
Belfast,2021,https://letterboxd.com/film/belfast/,1.0,0
Vortex,2021,https://letterboxd.com/film/vortex-2021/,4.0,0
Titane,2021,https://letterboxd.com/film/titane/,3.0,0
The Velvet Underground,2021,https://letterboxd.com/film/the-velvet-underground-2021/,2.5,0
Luca,2021,https://letterboxd.com/film/luca-2021/,2.0,0
Cruella,2021,https://letterboxd.com/film/cruella/,1.0,0
Wrath of Man,2021,https://letterboxd.com/film/wrath-of-man/,3.0,0
Soul,2020,https://letterboxd.com/film/soul-2020/,2.0,0
Nomadland,2020,https://letterboxd.com/film/nomadland/,3.0,0
The Monopoly of Violence,2020,https://letterboxd.com/film/the-monopoly-of-violence/,3.5,0
Tenet,2020,https://letterboxd.com/film/tenet/,2.0,0
There Will Be No More Night,2020,https://letterboxd.com/film/there-will-be-no-more-night/,4.0,0
"Colette, Mon Amour",2020,https://letterboxd.com/film/colette-mon-amour/,4.0,1
Josep,2020,https://letterboxd.com/film/josep/,2.5,0
Teddy,2020,https://letterboxd.com/film/teddy-2020-1/,3.5,0
The Social Dilemma,2020,https://letterboxd.com/film/the-social-dilemma/,4.0,0
Star Wars: The Rise of Skywalker,2019,https://letterboxd.com/film/star-wars-the-rise-of-skywalker/,2.0,0
1917,2019,https://letterboxd.com/film/1917/,3.5,0
Martin Margiela: In His Own Words,2019,https://letterboxd.com/film/martin-margiela-in-his-own-words/,5.0,1
Frozen II,2019,https://letterboxd.com/film/frozen-2/,2.0,0
Jojo Rabbit,2019,https://letterboxd.com/film/jojo-rabbit/,4.0,0
The Platform,2019,https://letterboxd.com/film/the-platform/,1.0,0
It Chapter Two,2019,https://letterboxd.com/film/it-chapter-two/,1.0,0
Toy Story 4,2019,https://letterboxd.com/film/toy-story-4/,2.0,0
Parasite,2019,https://letterboxd.com/film/parasite-2019/,4.0,0
Once Upon a Time... in Hollywood,2019,https://letterboxd.com/film/once-upon-a-time-in-hollywood/,2.5,0
Lux Æterna,2019,https://letterboxd.com/film/lux-aeterna-2019/,2.0,0
Deerskin,2019,https://letterboxd.com/film/deerskin/,3.5,0
Les Misérables,2019,https://letterboxd.com/film/les-miserables-2019/,2.0,0
Avarya,2019,https://letterboxd.com/film/avarya/,2.0,0
The Report,2019,https://letterboxd.com/film/the-report-2019/,3.0,0
The Wolf's Call,2019,https://letterboxd.com/film/the-wolfs-call/,3.0,0
The Mule,2018,https://letterboxd.com/film/the-mule-2018/,2.0,0
mid90s,2018,https://letterboxd.com/film/mid90s/,3.0,0
Free Solo,2018,https://letterboxd.com/film/free-solo/,4.0,0
First Man,2018,https://letterboxd.com/film/first-man/,3.0,0
Les bonnes conditions,2018,https://letterboxd.com/film/les-bonnes-conditions/,4.5,1
At War,2018,https://letterboxd.com/film/at-war/,4.0,0
Deadpool 2,2018,https://letterboxd.com/film/deadpool-2/,0.5,0
Climax,2018,https://letterboxd.com/film/climax-2018/,4.0,1
Leto,2018,https://letterboxd.com/film/leto/,3.0,0
Avengers: Infinity War,2018,https://letterboxd.com/film/avengers-infinity-war/,2.0,0
Ready Player One,2018,https://letterboxd.com/film/ready-player-one/,3.0,0
Black Panther,2018,https://letterboxd.com/film/black-panther/,2.0,0
Star Wars: The Last Jedi,2017,https://letterboxd.com/film/star-wars-the-last-jedi/,2.0,0
Jumanji: Welcome to the Jungle,2017,https://letterboxd.com/film/jumanji-welcome-to-the-jungle/,1.0,0
Coco,2017,https://letterboxd.com/film/coco-2017/,2.0,0
Thor: Ragnarok,2017,https://letterboxd.com/film/thor-ragnarok/,1.0,0
It,2017,https://letterboxd.com/film/it-2017/,1.0,0
"Three Billboards Outside Ebbing, Missouri",2017,https://letterboxd.com/film/three-billboards-outside-ebbing-missouri/,3.0,0
Dunkirk,2017,https://letterboxd.com/film/dunkirk-2017/,3.5,0
Tour de Pharmacy,2017,https://letterboxd.com/film/tour-de-pharmacy/,1.0,0
Spider-Man: Homecoming,2017,https://letterboxd.com/film/spider-man-homecoming/,1.5,0
Despicable Me 3,2017,https://letterboxd.com/film/despicable-me-3/,2.0,0
The Wizard of Lies,2017,https://letterboxd.com/film/the-wizard-of-lies/,3.0,0
"history of the entire world, i guess",2017,https://letterboxd.com/film/history-of-the-entire-world-i-guess/,2.0,0
AlphaGo,2017,https://letterboxd.com/film/alphago/,4.0,0
Corporate,2017,https://letterboxd.com/film/corporate-2017/,1.5,0
The Boss Baby,2017,https://letterboxd.com/film/the-boss-baby/,2.0,0
Baby Driver,2017,https://letterboxd.com/film/baby-driver/,2.5,0
