title,year,url,user_rating,user_like
Vladimir,2026,https://letterboxd.com/film/vladimir-2026/,3.5,1
DTF St. Louis,2026,https://letterboxd.com/film/dtf-st-louis/,4.0,1
HIS & HERS,2026,https://letterboxd.com/film/his-hers-2026/,2.5,1
People We Meet on Vacation,2026,https://letterboxd.com/film/people-we-meet-on-vacation/,3.0,1
Stranger Things 5: The Finale,2025,https://letterboxd.com/film/stranger-things-5-the-finale/,2.0,0
The Housemaid,2025,https://letterboxd.com/film/the-housemaid-2025/,2.0,0
Oh. What. Fun.,2025,https://letterboxd.com/film/oh-what-fun/,2.0,0
The Beast in Me,2025,https://letterboxd.com/film/the-beast-in-me/,3.0,1
Marty Supreme,2025,https://letterboxd.com/film/marty-supreme/,4.0,1
One Battle After Another,2025,https://letterboxd.com/film/one-battle-after-another/,2.5,0
Wake Up Dead Man,2025,https://letterboxd.com/film/wake-up-dead-man/,3.5,1
Frankenstein,2025,https://letterboxd.com/film/frankenstein-2025/,2.5,1
Hamnet,2025,https://letterboxd.com/film/hamnet/,4.0,1
Bugonia,2025,https://letterboxd.com/film/bugonia/,3.0,1
The Thursday Murder Club,2025,https://letterboxd.com/film/the-thursday-murder-club/,2.0,0
Nobody 2,2025,https://letterboxd.com/film/nobody-2/,3.0,1
Weapons,2025,https://letterboxd.com/film/weapons-2025/,3.0,1
Superman,2025,https://letterboxd.com/film/superman-2025/,3.5,1
Materialists,2025,https://letterboxd.com/film/materialists/,3.0,1
Deep Cover,2025,https://letterboxd.com/film/deep-cover-2025/,2.5,1
Sentimental Value,2025,https://letterboxd.com/film/sentimental-value-2025/,3.5,1
The Secret Agent,2025,https://letterboxd.com/film/the-secret-agent-2025/,3.5,1
Sinners,2025,https://letterboxd.com/film/sinners-2025/,4.0,1
Novocaine,2025,https://letterboxd.com/film/novocaine-2025/,2.5,1
Another Simple Favor,2025,https://letterboxd.com/film/another-simple-favor/,1.0,0
Mickey 17,2025,https://letterboxd.com/film/mickey-17/,3.5,1
