title,year,url,user_rating,user_like
The Housemaid,2025,https://letterboxd.com/film/the-housemaid-2025/,1.0,0
Marty Supreme,2025,https://letterboxd.com/film/marty-supreme/,4.0,1
One Battle After Another,2025,https://letterboxd.com/film/one-battle-after-another/,5.0,1
Heel,2025,https://letterboxd.com/film/the-good-boy-2025/,2.0,0
Caught Stealing,2025,https://letterboxd.com/film/caught-stealing/,2.0,0
Weapons,2025,https://letterboxd.com/film/weapons-2025/,2.0,0
28 Years Later,2025,https://letterboxd.com/film/28-years-later/,3.0,1
F1,2025,https://letterboxd.com/film/f1/,1.0,0
Pillion,2025,https://letterboxd.com/film/pillion-2025/,2.0,0
The Phoenician Scheme,2025,https://letterboxd.com/film/the-phoenician-scheme/,3.0,1
Eddington,2025,https://letterboxd.com/film/eddington/,2.0,0
Final Destination Bloodlines,2025,https://letterboxd.com/film/final-destination-bloodlines/,4.0,1
Thunderbolts*,2025,https://letterboxd.com/film/thunderbolts/,2.0,0
Sinners,2025,https://letterboxd.com/film/sinners-2025/,4.0,1
Locked,2025,https://letterboxd.com/film/locked-2025/,1.0,0
Adolescence,2025,https://letterboxd.com/film/adolescence-2025/,3.0,0
Companion,2025,https://letterboxd.com/film/companion-2025/,2.0,0
Kraven the Hunter,2024,https://letterboxd.com/film/kraven-the-hunter/,1.0,0
Nosferatu,2024,https://letterboxd.com/film/nosferatu-2024/,3.0,0
Juror #2,2024,https://letterboxd.com/film/juror-2/,2.0,0
Gladiator II,2024,https://letterboxd.com/film/gladiator-ii/,2.0,0
Friendship,2024,https://letterboxd.com/film/friendship-2024/,3.0,1
Queer,2024,https://letterboxd.com/film/queer-2024/,4.0,1
Conclave,2024,https://letterboxd.com/film/conclave/,3.0,1
The Crow,2024,https://letterboxd.com/film/the-crow-2024/,1.0,0
Longlegs,2024,https://letterboxd.com/film/longlegs/,4.0,0
Kinds of Kindness,2024,https://letterboxd.com/film/kinds-of-kindness/,2.0,0
Megalopolis,2024,https://letterboxd.com/film/megalopolis-2024/,1.0,0
Furiosa: A Mad Max Saga,2024,https://letterboxd.com/film/furiosa-a-mad-max-saga/,3.0,1
Challengers,2024,https://letterboxd.com/film/challengers/,3.0,0
Dune: Part Two,2024,https://letterboxd.com/film/dune-part-two/,4.0,1
Thelma,2024,https://letterboxd.com/film/thelma-2024/,4.0,1
Just Like a Christmas Movie,2023,https://letterboxd.com/film/just-like-a-christmas-movie/,1.0,0
Silent Night,2023,https://letterboxd.com/film/silent-night-2023-1/,1.0,0
Trunk - Locked In,2023,https://letterboxd.com/film/trunk-locked-in/,1.0,0
The Iron Claw,2023,https://letterboxd.com/film/the-iron-claw-2023/,4.0,1
The Dead Don't Hurt,2023,https://letterboxd.com/film/the-dead-dont-hurt/,1.0,0
All of Us Strangers,2023,https://letterboxd.com/film/all-of-us-strangers/,4.0,1
Ferrari,2023,https://letterboxd.com/film/ferrari-2023/,2.0,0
The Holdovers,2023,https://letterboxd.com/film/the-holdovers/,3.0,0
Fingernails,2023,https://letterboxd.com/film/fingernails/,2.0,0
The Bikeriders,2023,https://letterboxd.com/film/the-bikeriders/,3.0,0
Saltburn,2023,https://letterboxd.com/film/saltburn/,2.0,0
The Baby,2023,https://letterboxd.com/film/the-baby-2023/,1.0,0
The Passenger,2023,https://letterboxd.com/film/the-passenger-2023/,3.0,0
Oppenheimer,2023,https://letterboxd.com/film/oppenheimer-2023/,4.0,1
Barbie,2023,https://letterboxd.com/film/barbie/,3.0,0
Insidious: The Red Door,2023,https://letterboxd.com/film/insidious-the-red-door/,2.0,0
Fallen Leaves,2023,https://letterboxd.com/film/fallen-leaves-2023/,4.0,1
Asteroid City,2023,https://letterboxd.com/film/asteroid-city/,4.0,1
Anatomy of a Fall,2023,https://letterboxd.com/film/anatomy-of-a-fall/,5.0,1
Killers of the Flower Moon,2023,https://letterboxd.com/film/killers-of-the-flower-moon/,4.0,1
The Zone of Interest,2023,https://letterboxd.com/film/the-zone-of-interest/,4.0,0
Fast X,2023,https://letterboxd.com/film/fast-x/,1.0,0
"Mother, May I?",2023,https://letterboxd.com/film/mother-may-i/,3.0,0
Dog Gone,2023,https://letterboxd.com/film/dog-gone-2023/,2.0,0
Talk to Me,2022,https://letterboxd.com/film/talk-to-me-2022/,3.0,0
My Massive Cock,2022,https://letterboxd.com/film/my-massive-cock/,1.0,0
My Policeman,2022,https://letterboxd.com/film/my-policeman/,2.0,0
Butcher's Crossing,2022,https://letterboxd.com/film/butchers-crossing/,3.0,0
The Banshees of Inisherin,2022,https://letterboxd.com/film/the-banshees-of-inisherin/,4.0,1
The Whale,2022,https://letterboxd.com/film/the-whale-2022/,2.0,0
Pearl,2022,https://letterboxd.com/film/pearl-2022/,3.0,0
Bones and All,2022,https://letterboxd.com/film/bones-and-all/,2.0,0
TÁR,2022,https://letterboxd.com/film/tar-2022/,4.0,1
White Noise,2022,https://letterboxd.com/film/white-noise-2022/,2.0,0
Barbarian,2022,https://letterboxd.com/film/barbarian-2022/,3.0,0
Fall,2022,https://letterboxd.com/film/fall-2022/,2.0,0
Prey,2022,https://letterboxd.com/film/prey-2022/,1.0,0
Bullet Train,2022,https://letterboxd.com/film/bullet-train/,3.0,0
Nope,2022,https://letterboxd.com/film/nope/,3.0,1
Crimes of the Future,2022,https://letterboxd.com/film/crimes-of-the-future-2022/,2.0,0
The Eight Mountains,2022,https://letterboxd.com/film/the-eight-mountains/,4.0,1
Downton Abbey: A New Era,2022,https://letterboxd.com/film/downton-abbey-a-new-era/,2.0,0
Freedom's Path,2022,https://letterboxd.com/film/freedoms-path/,2.0,0
The Northman,2022,https://letterboxd.com/film/the-northman/,3.0,0
X,2022,https://letterboxd.com/film/x-2022/,3.0,0
Everything Everywhere All at Once,2022,https://letterboxd.com/film/everything-everywhere-all-at-once/,3.0,1
Deadstream,2022,https://letterboxd.com/film/deadstream/,3.0,1
The Batman,2022,https://letterboxd.com/film/the-batman/,3.0,0
The House,2022,https://letterboxd.com/film/the-house-2022-1/,2.0,0
Scream,2022,https://letterboxd.com/film/scream-2022/,2.0,0
The King's Man,2021,https://letterboxd.com/film/the-kings-man/,1.0,0
Licorice Pizza,2021,https://letterboxd.com/film/licorice-pizza/,5.0,1
No Time to Die,2021,https://letterboxd.com/film/no-time-to-die-2021/,2.0,0
I Want to Talk About Duras,2021,https://letterboxd.com/film/i-want-to-talk-about-duras/,3.0,0
Benediction,2021,https://letterboxd.com/film/benediction/,2.0,0
