title,year,url,user_rating,user_like
Faces of Death,2026,https://letterboxd.com/film/faces-of-death-2026/,4.0,1
The Super Mario Galaxy Movie,2026,https://letterboxd.com/film/the-super-mario-galaxy-movie/,1.0,0
The Drama,2026,https://letterboxd.com/film/the-drama/,3.5,1
Project Hail Mary,2026,https://letterboxd.com/film/project-hail-mary/,2.0,0
Peaky Blinders: The Immortal Man,2026,https://letterboxd.com/film/peaky-blinders-the-immortal-man/,1.5,0
Wuthering Heights,2026,https://letterboxd.com/film/wuthering-heights-2026/,3.0,1
Gail Daughtry and the Celebrity Sex Pass,2026,https://letterboxd.com/film/gail-daughtry-and-the-celebrity-sex-pass/,4.0,1
The Moment,2026,https://letterboxd.com/film/the-moment-2026/,2.5,0
Josephine,2026,https://letterboxd.com/film/josephine-2026/,2.0,0
The History of Concrete,2026,https://letterboxd.com/film/the-history-of-concrete/,4.0,1
Avatar: Fire and Ash,2025,https://letterboxd.com/film/avatar-fire-and-ash/,4.5,1
Wicked: For Good,2025,https://letterboxd.com/film/wicked-for-good/,2.0,0
The Running Man,2025,https://letterboxd.com/film/the-running-man-2025/,2.5,0
Song Sung Blue,2025,https://letterboxd.com/film/song-sung-blue-2025/,3.0,1
Regretting You,2025,https://letterboxd.com/film/regretting-you/,3.5,1
Is This Thing On?,2025,https://letterboxd.com/film/is-this-thing-on-2025/,3.0,1
Marty Supreme,2025,https://letterboxd.com/film/marty-supreme/,3.5,1
Anemone,2025,https://letterboxd.com/film/anemone-2025/,2.5,0
One Battle After Another,2025,https://letterboxd.com/film/one-battle-after-another/,4.0,1
The Long Walk,2025,https://letterboxd.com/film/the-long-walk-2025/,3.0,0
EPiC: Elvis Presley in Concert,2025,https://letterboxd.com/film/epic-elvis-presley-in-concert/,4.0,1
Wake Up Dead Man,2025,https://letterboxd.com/film/wake-up-dead-man/,3.0,1
Maddie's Secret,2025,https://letterboxd.com/film/maddies-secret/,4.0,1
A House of Dynamite,2025,https://letterboxd.com/film/a-house-of-dynamite/,2.5,1
The Testament of Ann Lee,2025,https://letterboxd.com/film/the-testament-of-ann-lee/,4.5,1
Hamnet,2025,https://letterboxd.com/film/hamnet/,2.0,0
No Other Choice,2025,https://letterboxd.com/film/no-other-choice-2025/,2.5,0
Cover-Up,2025,https://letterboxd.com/film/cover-up-2025/,3.0,1
After the Hunt,2025,https://letterboxd.com/film/after-the-hunt-2025/,2.0,1
Jay Kelly,2025,https://letterboxd.com/film/jay-kelly/,1.5,0
Bugonia,2025,https://letterboxd.com/film/bugonia/,3.5,1
Dry Leaf,2025,https://letterboxd.com/film/dry-leaf/,3.5,1
Blue Heron,2025,https://letterboxd.com/film/blue-heron/,4.5,1
With Hasan in Gaza,2025,https://letterboxd.com/film/with-hasan-in-gaza/,4.0,1
Caught Stealing,2025,https://letterboxd.com/film/caught-stealing/,2.5,0
War of the Worlds,2025,https://letterboxd.com/film/war-of-the-worlds-2025/,1.0,0
The Naked Gun,2025,https://letterboxd.com/film/the-naked-gun/,4.5,1
The Fantastic 4: First Steps,2025,https://letterboxd.com/film/the-fantastic-4-first-steps/,2.5,0
Revelations of Divine Love,2025,https://letterboxd.com/film/revelations-of-divine-love/,5.0,1
KPop Demon Hunters,2025,https://letterboxd.com/film/kpop-demon-hunters/,2.5,0
Superman,2025,https://letterboxd.com/film/superman-2025/,2.5,0
28 Years Later,2025,https://letterboxd.com/film/28-years-later/,4.0,1
Jurassic World Rebirth,2025,https://letterboxd.com/film/jurassic-world-rebirth/,1.5,0
F1,2025,https://letterboxd.com/film/f1/,3.5,1
"Our Hero, Balthazar",2025,https://letterboxd.com/film/our-hero-balthazar/,3.5,1
Materialists,2025,https://letterboxd.com/film/materialists/,1.5,0
The Mastermind,2025,https://letterboxd.com/film/the-mastermind-2025/,3.0,0
Resurrection,2025,https://letterboxd.com/film/resurrection-2025/,3.5,1
Sentimental Value,2025,https://letterboxd.com/film/sentimental-value-2025/,3.0,0
The History of Sound,2025,https://letterboxd.com/film/the-history-of-sound/,2.0,0
It Was Just an Accident,2025,https://letterboxd.com/film/it-was-just-an-accident/,4.0,1
Splitsville,2025,https://letterboxd.com/film/splitsville/,4.5,1
Highest 2 Lowest,2025,https://letterboxd.com/film/highest-2-lowest/,3.0,0
Exit 8,2025,https://letterboxd.com/film/exit-8/,3.0,1
Pillion,2025,https://letterboxd.com/film/pillion-2025/,3.5,1
The Secret Agent,2025,https://letterboxd.com/film/the-secret-agent-2025/,4.5,1
Magellan,2025,https://letterboxd.com/film/magellan-2025/,5.0,1
The Phoenician Scheme,2025,https://letterboxd.com/film/the-phoenician-scheme/,4.0,1
Miroirs No. 3,2025,https://letterboxd.com/film/miroirs-no-3/,4.5,1
Die My Love,2025,https://letterboxd.com/film/die-my-love/,3.0,0
Lilo & Stitch,2025,https://letterboxd.com/film/lilo-stitch-2025/,2.0,1
Eddington,2025,https://letterboxd.com/film/eddington/,4.0,1
Put Your Soul on Your Hand and Walk,2025,https://letterboxd.com/film/put-your-soul-on-your-hand-and-walk/,3.5,1
Sirāt,2025,https://letterboxd.com/film/sirat-2025/,1.0,0
Hurry Up Tomorrow,2025,https://letterboxd.com/film/hurry-up-tomorrow/,1.5,0
Mission: Impossible – The Final Reckoning,2025,https://letterboxd.com/film/mission-impossible-the-final-reckoning/,3.0,0
Sinners,2025,https://letterboxd.com/film/sinners-2025/,3.0,0
Snow White,2025,https://letterboxd.com/film/snow-white-2025/,1.5,1
Warfare,2025,https://letterboxd.com/film/warfare/,4.0,1
Nirvanna the Band the Show the Movie,2025,https://letterboxd.com/film/nirvanna-the-band-the-show-the-movie/,4.5,1
Drop,2025,https://letterboxd.com/film/drop-2025/,2.0,0
Black Bag,2025,https://letterboxd.com/film/black-bag-2025/,4.0,1
Tornado,2025,https://letterboxd.com/film/tornado-2025/,1.5,0
Blue Moon,2025,https://letterboxd.com/film/blue-moon-2025/,4.0,1
Mickey 17,2025,https://letterboxd.com/film/mickey-17/,2.0,0
Captain America: Brave New World,2025,https://letterboxd.com/film/captain-america-brave-new-world/,0.5,0
Bridget Jones: Mad About the Boy,2025,https://letterboxd.com/film/bridget-jones-mad-about-the-boy/,4.0,1
Kinda Pregnant,2025,https://letterboxd.com/film/kinda-pregnant/,1.0,0
Lurker,2025,https://letterboxd.com/film/lurker-2025/,3.5,1
"Sorry, Baby",2025,https://letterboxd.com/film/sorry-baby-2025/,3.0,0
Peter Hujar's Day,2025,https://letterboxd.com/film/peter-hujars-day/,5.0,1
The Wedding Banquet,2025,https://letterboxd.com/film/the-wedding-banquet-2025/,2.0,0
OBEX,2025,https://letterboxd.com/film/obex/,3.5,1
Predators,2025,https://letterboxd.com/film/predators-2025/,4.0,1
If I Had Legs I'd Kick You,2025,https://letterboxd.com/film/if-i-had-legs-id-kick-you/,4.5,1
Twinless,2025,https://letterboxd.com/film/twinless/,3.0,1
Flight Risk,2025,https://letterboxd.com/film/flight-risk-2025/,1.0,0
A Complete Unknown,2024,https://letterboxd.com/film/a-complete-unknown/,3.5,1
Carry-On,2024,https://letterboxd.com/film/carry-on-2024/,2.0,0
Hot Frosty,2024,https://letterboxd.com/film/hot-frosty/,2.0,0
Nosferatu,2024,https://letterboxd.com/film/nosferatu-2024/,3.0,0
Paddington in Peru,2024,https://letterboxd.com/film/paddington-in-peru/,3.5,1
Juror #2,2024,https://letterboxd.com/film/juror-2/,4.0,1
Gladiator II,2024,https://letterboxd.com/film/gladiator-ii/,2.5,0
Wicked,2024,https://letterboxd.com/film/wicked-2024/,3.0,1
Lonely Planet,2024,https://letterboxd.com/film/lonely-planet-2024/,1.0,0
Suburban Fury,2024,https://letterboxd.com/film/suburban-fury/,1.5,0
"Little, Big, and Far",2024,https://letterboxd.com/film/little-big-and-far/,2.0,0
Friendship,2024,https://letterboxd.com/film/friendship-2024/,4.0,1
The Wild Robot,2024,https://letterboxd.com/film/the-wild-robot/,3.0,0
Heretic,2024,https://letterboxd.com/film/heretic-2024/,2.5,0
Eden,2024,https://letterboxd.com/film/eden-2024/,3.0,0
The Life of Chuck,2024,https://letterboxd.com/film/the-life-of-chuck/,1.5,0
Jane Austen Wrecked My Life,2024,https://letterboxd.com/film/jane-austen-wrecked-my-life/,3.5,1
We Live in Time,2024,https://letterboxd.com/film/we-live-in-time/,1.5,0
Hard Truths,2024,https://letterboxd.com/film/hard-truths-2024/,5.0,1
April,2024,https://letterboxd.com/film/april-2024-1/,4.0,1
Pavements,2024,https://letterboxd.com/film/pavements/,3.0,0
Speak No Evil,2024,https://letterboxd.com/film/speak-no-evil-2024/,3.0,1
Queer,2024,https://letterboxd.com/film/queer-2024/,2.0,0
Harvest,2024,https://letterboxd.com/film/harvest-2024/,4.5,1
Happyend,2024,https://letterboxd.com/film/happyend/,3.5,1
The Room Next Door,2024,https://letterboxd.com/film/the-room-next-door-2024/,4.5,1
The Brutalist,2024,https://letterboxd.com/film/the-brutalist/,3.0,1
I'm Still Here,2024,https://letterboxd.com/film/im-still-here-2024/,3.0,1
The Order,2024,https://letterboxd.com/film/the-order-2024/,3.0,0
Saturday Night,2024,https://letterboxd.com/film/saturday-night-2024/,2.0,0
Cloud,2024,https://letterboxd.com/film/cloud-2024/,4.0,0
Babygirl,2024,https://letterboxd.com/film/babygirl-2024/,3.5,1
Conclave,2024,https://letterboxd.com/film/conclave/,3.5,1
Nickel Boys,2024,https://letterboxd.com/film/nickel-boys/,4.5,1
Rebel Ridge,2024,https://letterboxd.com/film/rebel-ridge/,3.5,0
Alien: Romulus,2024,https://letterboxd.com/film/alien-romulus/,3.0,0
Relay,2024,https://letterboxd.com/film/relay-2024/,3.0,1
It Ends with Us,2024,https://letterboxd.com/film/it-ends-with-us/,3.0,1
Trap,2024,https://letterboxd.com/film/trap-2024/,4.0,1
Twisters,2024,https://letterboxd.com/film/twisters/,3.0,0
A Family Affair,2024,https://letterboxd.com/film/a-family-affair-2024-1/,1.5,0
The Day the Earth Blew Up: A Looney Tunes Movie,2024,https://letterboxd.com/film/the-day-the-earth-blew-up-a-looney-tunes-movie/,2.5,0
Memoir of a Snail,2024,https://letterboxd.com/film/memoir-of-a-snail/,2.0,0
"Ovid, New York",2024,https://letterboxd.com/film/ovid-new-york/,4.0,1
Boys Go to Jupiter,2024,https://letterboxd.com/film/boys-go-to-jupiter/,4.0,1
The Seed of the Sacred Fig,2024,https://letterboxd.com/film/the-seed-of-the-sacred-fig/,2.0,0
Grand Tour,2024,https://letterboxd.com/film/grand-tour-2024/,3.5,1
Anora,2024,https://letterboxd.com/film/anora/,4.0,1
Misericordia,2024,https://letterboxd.com/film/misericordia-2024/,4.0,1
The Apprentice,2024,https://letterboxd.com/film/the-apprentice-2024/,2.5,1
The Shrouds,2024,https://letterboxd.com/film/the-shrouds/,4.0,1
Eephus,2024,https://letterboxd.com/film/eephus/,2.5,0
The Substance,2024,https://letterboxd.com/film/the-substance/,2.0,1
Caught by the Tides,2024,https://letterboxd.com/film/caught-by-the-tides/,5.0,1
Rumours,2024,https://letterboxd.com/film/rumours-2024/,3.5,1
"Oh, Canada",2024,https://letterboxd.com/film/oh-canada/,2.0,0
Megalopolis,2024,https://letterboxd.com/film/megalopolis-2024/,3.0,1
Furiosa: A Mad Max Saga,2024,https://letterboxd.com/film/furiosa-a-mad-max-saga/,4.0,1
Kingdom of the Planet of the Apes,2024,https://letterboxd.com/film/kingdom-of-the-planet-of-the-apes/,2.0,0
Rap World,2024,https://letterboxd.com/film/rap-world/,5.0,1
Abigail,2024,https://letterboxd.com/film/abigail-2024/,1.5,0
Challengers,2024,https://letterboxd.com/film/challengers/,4.5,1
The Idea of You,2024,https://letterboxd.com/film/the-idea-of-you-2024/,2.0,0
Civil War,2024,https://letterboxd.com/film/civil-war-2024/,3.5,1
The Fall Guy,2024,https://letterboxd.com/film/the-fall-guy-2024/,2.0,0
Immaculate,2024,https://letterboxd.com/film/immaculate-2024/,3.0,1
Grand Theft Hamlet,2024,https://letterboxd.com/film/grand-theft-hamlet/,2.0,1
Y2K,2024,https://letterboxd.com/film/y2k-2024/,2.0,0
Matt and Mara,2024,https://letterboxd.com/film/matt-and-mara/,4.5,1
Dahomey,2024,https://letterboxd.com/film/dahomey/,3.0,0
No Other Land,2024,https://letterboxd.com/film/no-other-land/,3.0,1
Dune: Part Two,2024,https://letterboxd.com/film/dune-part-two/,2.5,0
Look into My Eyes,2024,https://letterboxd.com/film/look-into-my-eyes/,3.0,1
A Different Man,2024,https://letterboxd.com/film/a-different-man/,4.0,1
A Real Pain,2024,https://letterboxd.com/film/a-real-pain/,2.0,0
Love Lies Bleeding,2024,https://letterboxd.com/film/love-lies-bleeding-2024/,3.0,0
The Outrun,2024,https://letterboxd.com/film/the-outrun/,2.0,0
Between the Temples,2024,https://letterboxd.com/film/between-the-temples/,4.5,1
Stress Positions,2024,https://letterboxd.com/film/stress-positions/,2.0,0
I Saw the TV Glow,2024,https://letterboxd.com/film/i-saw-the-tv-glow/,3.0,0
"491, VA",2024,https://letterboxd.com/film/491-va/,4.0,1
The Beekeeper,2024,https://letterboxd.com/film/the-beekeeper-2024/,2.0,1
Anyone But You,2023,https://letterboxd.com/film/anyone-but-you/,2.0,1
Napoleon,2023,https://letterboxd.com/film/napoleon-2023/,2.0,0
Merchant Ivory,2023,https://letterboxd.com/film/merchant-ivory/,2.0,1
The Iron Claw,2023,https://letterboxd.com/film/the-iron-claw-2023/,4.0,1
The Hunger Games: The Ballad of Songbirds & Snakes,2023,https://letterboxd.com/film/the-hunger-games-the-ballad-of-songbirds-snakes/,3.0,1
Godzilla Minus One,2023,https://letterboxd.com/film/godzilla-minus-one/,3.0,0
Taylor Swift: The Eras Tour,2023,https://letterboxd.com/film/taylor-swift-the-eras-tour/,2.0,1
The Rat Catcher,2023,https://letterboxd.com/film/the-rat-catcher-2023/,3.0,0
Dog Movie,2023,https://letterboxd.com/film/dog-movie-2023/,4.0,1
Widow Clicquot,2023,https://letterboxd.com/film/widow-clicquot/,2.0,0
Dream Scenario,2023,https://letterboxd.com/film/dream-scenario/,2.0,0
American Fiction,2023,https://letterboxd.com/film/american-fiction/,2.0,0
My Big Fat Greek Wedding 3,2023,https://letterboxd.com/film/my-big-fat-greek-wedding-3/,2.5,1
Hit Man,2023,https://letterboxd.com/film/hit-man-2023/,3.0,1
Evil Does Not Exist,2023,https://letterboxd.com/film/evil-does-not-exist/,3.5,1
The Beast,2023,https://letterboxd.com/film/the-beast-2023-1/,3.0,0
The Killer,2023,https://letterboxd.com/film/the-killer-2023/,2.0,0
"Menus-Plaisirs, les Troisgros",2023,https://letterboxd.com/film/menus-plaisirs-les-troisgros/,4.0,1
Maestro,2023,https://letterboxd.com/film/maestro-2023/,4.5,1
Poor Things,2023,https://letterboxd.com/film/poor-things-2023/,2.0,0
The Wonderful Story of Henry Sugar,2023,https://letterboxd.com/film/the-wonderful-story-of-henry-sugar/,4.0,1
NYAD,2023,https://letterboxd.com/film/nyad/,1.5,0
All of Us Strangers,2023,https://letterboxd.com/film/all-of-us-strangers/,2.0,0
Janet Planet,2023,https://letterboxd.com/film/janet-planet/,4.5,1
The Holdovers,2023,https://letterboxd.com/film/the-holdovers/,3.0,1
Saltburn,2023,https://letterboxd.com/film/saltburn/,2.0,0
Ferrari,2023,https://letterboxd.com/film/ferrari-2023/,4.5,1
The Equalizer 3,2023,https://letterboxd.com/film/the-equalizer-3/,3.0,1
Heart of Stone,2023,https://letterboxd.com/film/heart-of-stone-2023/,2.0,0
Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,https://letterboxd.com/film/teenage-mutant-ninja-turtles-mutant-mayhem/,3.5,0
"Red, White & Royal Blue",2023,https://letterboxd.com/film/red-white-royal-blue/,1.5,1
The Boy and the Heron,2023,https://letterboxd.com/film/the-boy-and-the-heron/,4.0,1
Oppenheimer,2023,https://letterboxd.com/film/oppenheimer-2023/,3.0,1
Barbie,2023,https://letterboxd.com/film/barbie/,3.5,1
Red Rooms,2023,https://letterboxd.com/film/red-rooms/,4.5,1
Mission: Impossible – Dead Reckoning,2023,https://letterboxd.com/film/mission-impossible-dead-reckoning/,2.5,0
