title,year,url,user_rating,user_like
Roommates,2026,https://letterboxd.com/film/roommates-2026/,1.5,0
Lee Cronin's The Mummy,2026,https://letterboxd.com/film/lee-cronins-the-mummy/,3.0,0
The Super Mario Galaxy Movie,2026,https://letterboxd.com/film/the-super-mario-galaxy-movie/,2.0,0
They Will Kill You,2026,https://letterboxd.com/film/they-will-kill-you/,3.0,0
The Drama,2026,https://letterboxd.com/film/the-drama/,4.0,0
Forbidden Fruits,2026,https://letterboxd.com/film/forbidden-fruits-2026/,3.5,0
DreamQuil,2026,https://letterboxd.com/film/dreamquil/,2.0,0
Over Your Dead Body,2026,https://letterboxd.com/film/over-your-dead-body-2026/,3.5,0
Pizza Movie,2026,https://letterboxd.com/film/pizza-movie-2026/,2.5,0
Pretty Lethal,2026,https://letterboxd.com/film/pretty-lethal/,2.0,0
Ready or Not 2: Here I Come,2026,https://letterboxd.com/film/ready-or-not-2-here-i-come/,3.0,1
Wishful Thinking,2026,https://letterboxd.com/film/wishful-thinking-2026/,4.0,0
Kill Me,2026,https://letterboxd.com/film/kill-me-2026/,4.0,0
Project Hail Mary,2026,https://letterboxd.com/film/project-hail-mary/,4.5,1
Power Ballad,2026,https://letterboxd.com/film/power-ballad/,3.5,1
The Bride!,2026,https://letterboxd.com/film/the-bride-2026/,2.5,0
Scream 7,2026,https://letterboxd.com/film/scream-7/,1.0,0
How to Make a Killing,2026,https://letterboxd.com/film/how-to-make-a-killing-2026/,3.0,0
Wuthering Heights,2026,https://letterboxd.com/film/wuthering-heights-2026/,1.5,0
Leviticus,2026,https://letterboxd.com/film/leviticus-2026/,2.5,0
The Moment,2026,https://letterboxd.com/film/the-moment-2026/,2.5,0
Send Help,2026,https://letterboxd.com/film/send-help/,3.5,0
The Rip,2026,https://letterboxd.com/film/the-rip-2026/,3.0,0
28 Years Later: The Bone Temple,2026,https://letterboxd.com/film/28-years-later-the-bone-temple/,4.0,0
Five Nights at Freddy's 2,2025,https://letterboxd.com/film/five-nights-at-freddys-2/,1.0,0
Avatar: Fire and Ash,2025,https://letterboxd.com/film/avatar-fire-and-ash/,2.5,0
Zootopia 2,2025,https://letterboxd.com/film/zootopia-2/,3.0,0
Wicked: For Good,2025,https://letterboxd.com/film/wicked-for-good/,3.0,0
The Running Man,2025,https://letterboxd.com/film/the-running-man-2025/,3.0,0
Predator: Badlands,2025,https://letterboxd.com/film/predator-badlands/,3.0,0
