title,year,url,user_rating,user_like
Nosferatu,2024,https://letterboxd.com/film/nosferatu-2024/,4.0,0
Anora,2024,https://letterboxd.com/film/anora/,4.0,1
The Substance,2024,https://letterboxd.com/film/the-substance/,4.0,1
Challengers,2024,https://letterboxd.com/film/challengers/,4.0,0
The Curse,2023,https://letterboxd.com/film/the-curse-2023/,3.5,0
Wedding for Money,2023,https://letterboxd.com/film/wedding-for-money/,3.5,1
Priscilla,2023,https://letterboxd.com/film/priscilla/,4.0,1
The Beast,2023,https://letterboxd.com/film/the-beast-2023-1/,3.0,0
All of Us Strangers,2023,https://letterboxd.com/film/all-of-us-strangers/,4.5,1
Poor Things,2023,https://letterboxd.com/film/poor-things-2023/,4.5,1
The Holdovers,2023,https://letterboxd.com/film/the-holdovers/,4.5,1
Saltburn,2023,https://letterboxd.com/film/saltburn/,4.0,1
Barbie,2023,https://letterboxd.com/film/barbie/,5.0,1
Perfect Days,2023,https://letterboxd.com/film/perfect-days-2023/,4.5,1
Fallen Leaves,2023,https://letterboxd.com/film/fallen-leaves-2023/,4.5,1
Anatomy of a Fall,2023,https://letterboxd.com/film/anatomy-of-a-fall/,4.0,1
May December,2023,https://letterboxd.com/film/may-december/,4.0,1
The Zone of Interest,2023,https://letterboxd.com/film/the-zone-of-interest/,4.0,0
boygenius: the film,2023,https://letterboxd.com/film/boygenius-the-film/,5.0,1
Bottoms,2023,https://letterboxd.com/film/bottoms/,3.0,0
Daisy Jones & the Six,2023,https://letterboxd.com/film/daisy-jones-the-six/,5.0,1
Infinity Pool,2023,https://letterboxd.com/film/infinity-pool/,2.5,0
Past Lives,2023,https://letterboxd.com/film/past-lives/,3.0,0
Neil Young: Harvest Time,2022,https://letterboxd.com/film/neil-young-harvest-time/,4.5,1
Cunk on Earth,2022,https://letterboxd.com/film/cunk-on-earth/,4.5,0
The Menu,2022,https://letterboxd.com/film/the-menu-2022/,2.0,0
I Like Movies,2022,https://letterboxd.com/film/i-like-movies/,4.0,1
