title,year,url,user_rating,user_like
Twenty One Pilots: More Than We Ever Imagined,2026,https://letterboxd.com/film/twenty-one-pilots-more-than-we-ever-imagined/,5.0,1
Return to Silent Hill,2026,https://letterboxd.com/film/return-to-silent-hill/,0.5,1
Five Nights at Freddy's 2,2025,https://letterboxd.com/film/five-nights-at-freddys-2/,2.0,0
The Housemaid,2025,https://letterboxd.com/film/the-housemaid-2025/,3.0,1
Avatar: Fire and Ash,2025,https://letterboxd.com/film/avatar-fire-and-ash/,3.0,0
Marty Supreme,2025,https://letterboxd.com/film/marty-supreme/,4.5,1
"Good Luck, Have Fun, Don't Die",2025,https://letterboxd.com/film/good-luck-have-fun-dont-die/,3.5,1
Caleb Hearon: Model Comedian,2025,https://letterboxd.com/film/caleb-hearon-model-comedian/,3.0,1
Chainsaw Man – The Movie: Reze Arc,2025,https://letterboxd.com/film/chainsaw-man-the-movie-reze-arc/,4.5,1
The Long Walk,2025,https://letterboxd.com/film/the-long-walk-2025/,3.5,1
One Battle After Another,2025,https://letterboxd.com/film/one-battle-after-another/,5.0,1
Eternity,2025,https://letterboxd.com/film/eternity-2025-1/,3.0,1
Frankenstein,2025,https://letterboxd.com/film/frankenstein-2025/,4.0,1
No Other Choice,2025,https://letterboxd.com/film/no-other-choice-2025/,4.0,1
Bugonia,2025,https://letterboxd.com/film/bugonia/,4.0,1
The Roses,2025,https://letterboxd.com/film/the-roses-2025/,3.5,1
Caught Stealing,2025,https://letterboxd.com/film/caught-stealing/,3.5,1
Weapons,2025,https://letterboxd.com/film/weapons-2025/,4.0,1
War of the Worlds,2025,https://letterboxd.com/film/war-of-the-worlds-2025/,0.5,0
The Naked Gun,2025,https://letterboxd.com/film/the-naked-gun/,4.0,1
The Fantastic 4: First Steps,2025,https://letterboxd.com/film/the-fantastic-4-first-steps/,4.0,1
M3GAN 2.0,2025,https://letterboxd.com/film/m3gan-20/,3.0,1
Superman,2025,https://letterboxd.com/film/superman-2025/,3.5,1
F1,2025,https://letterboxd.com/film/f1/,1.5,0
Materialists,2025,https://letterboxd.com/film/materialists/,3.5,1
Pillion,2025,https://letterboxd.com/film/pillion-2025/,3.5,1
Die My Love,2025,https://letterboxd.com/film/die-my-love/,3.5,1
Eddington,2025,https://letterboxd.com/film/eddington/,1.5,0
Bring Her Back,2025,https://letterboxd.com/film/bring-her-back/,3.0,0
Final Destination Bloodlines,2025,https://letterboxd.com/film/final-destination-bloodlines/,4.5,1
Sinners,2025,https://letterboxd.com/film/sinners-2025/,5.0,1
The Amateur,2025,https://letterboxd.com/film/the-amateur-2025/,3.0,1
Adolescence,2025,https://letterboxd.com/film/adolescence-2025/,4.0,1
Borderline,2025,https://letterboxd.com/film/borderline-2025/,1.0,0
Holland,2025,https://letterboxd.com/film/holland-2025/,2.0,0
Death of a Unicorn,2025,https://letterboxd.com/film/death-of-a-unicorn/,2.0,0
Mickey 17,2025,https://letterboxd.com/film/mickey-17/,3.5,1
"Sorry, Baby",2025,https://letterboxd.com/film/sorry-baby-2025/,5.0,1
"Oh, Hi!",2025,https://letterboxd.com/film/oh-hi/,3.5,1
Together,2025,https://letterboxd.com/film/together-2025/,4.0,1
Companion,2025,https://letterboxd.com/film/companion-2025/,3.0,1
Sonic the Hedgehog 3,2024,https://letterboxd.com/film/sonic-the-hedgehog-3/,4.0,1
Nosferatu,2024,https://letterboxd.com/film/nosferatu-2024/,4.0,1
Juror #2,2024,https://letterboxd.com/film/juror-2/,4.0,1
Smile 2,2024,https://letterboxd.com/film/smile-2-2024/,1.0,0
Terrifier 3,2024,https://letterboxd.com/film/terrifier-3/,1.0,0
Friendship,2024,https://letterboxd.com/film/friendship-2024/,3.0,1
Heretic,2024,https://letterboxd.com/film/heretic-2024/,4.0,1
The Life of Chuck,2024,https://letterboxd.com/film/the-life-of-chuck/,5.0,1
We Live in Time,2024,https://letterboxd.com/film/we-live-in-time/,3.0,1
Joker: Folie à Deux,2024,https://letterboxd.com/film/joker-folie-a-deux/,1.0,0
Queer,2024,https://letterboxd.com/film/queer-2024/,4.0,1
The Brutalist,2024,https://letterboxd.com/film/the-brutalist/,4.0,1
Babygirl,2024,https://letterboxd.com/film/babygirl-2024/,4.0,1
Beetlejuice Beetlejuice,2024,https://letterboxd.com/film/beetlejuice-beetlejuice/,3.0,1
The Crow,2024,https://letterboxd.com/film/the-crow-2024/,1.0,0
Blink Twice,2024,https://letterboxd.com/film/blink-twice/,1.0,0
It Ends with Us,2024,https://letterboxd.com/film/it-ends-with-us/,1.5,0
Deadpool & Wolverine,2024,https://letterboxd.com/film/deadpool-wolverine/,3.5,1
Trap,2024,https://letterboxd.com/film/trap-2024/,3.5,1
Twisters,2024,https://letterboxd.com/film/twisters/,4.5,1
Longlegs,2024,https://letterboxd.com/film/longlegs/,3.5,1
MaXXXine,2024,https://letterboxd.com/film/maxxxine/,3.0,0
Look Back,2024,https://letterboxd.com/film/look-back-2024/,4.5,1
Anora,2024,https://letterboxd.com/film/anora/,4.0,1
The Apprentice,2024,https://letterboxd.com/film/the-apprentice-2024/,4.0,1
The Substance,2024,https://letterboxd.com/film/the-substance/,5.0,1
Emilia Pérez,2024,https://letterboxd.com/film/emilia-perez/,1.0,0
Kinds of Kindness,2024,https://letterboxd.com/film/kinds-of-kindness/,2.5,0
Megalopolis,2024,https://letterboxd.com/film/megalopolis-2024/,1.0,0
Furiosa: A Mad Max Saga,2024,https://letterboxd.com/film/furiosa-a-mad-max-saga/,1.5,0
Baby Reindeer,2024,https://letterboxd.com/film/baby-reindeer/,2.0,0
Rap World,2024,https://letterboxd.com/film/rap-world/,5.0,1
Challengers,2024,https://letterboxd.com/film/challengers/,5.0,1
Civil War,2024,https://letterboxd.com/film/civil-war-2024/,4.0,1
Grand Theft Hamlet,2024,https://letterboxd.com/film/grand-theft-hamlet/,4.5,1
Drive-Away Dolls,2024,https://letterboxd.com/film/drive-away-dolls/,4.5,1
This Is Me…Now,2024,https://letterboxd.com/film/this-is-menow/,0.5,1
Madame Web,2024,https://letterboxd.com/film/madame-web/,5.0,1
Dune: Part Two,2024,https://letterboxd.com/film/dune-part-two/,5.0,1
Grounded II: Making The Last of Us Part II,2024,https://letterboxd.com/film/grounded-ii-making-the-last-of-us-part-ii/,5.0,1
A Different Man,2024,https://letterboxd.com/film/a-different-man/,4.0,1
Love Lies Bleeding,2024,https://letterboxd.com/film/love-lies-bleeding-2024/,5.0,1
Thelma,2024,https://letterboxd.com/film/thelma-2024/,4.5,1
Anyone But You,2023,https://letterboxd.com/film/anyone-but-you/,3.0,1
The Iron Claw,2023,https://letterboxd.com/film/the-iron-claw-2023/,5.0,1
The Hunger Games: The Ballad of Songbirds & Snakes,2023,https://letterboxd.com/film/the-hunger-games-the-ballad-of-songbirds-snakes/,3.0,1
Attack on Titan The Final Chapters: Special 2,2023,https://letterboxd.com/film/attack-on-titan-the-final-chapters-special-2/,5.0,1
Godzilla Minus One,2023,https://letterboxd.com/film/godzilla-minus-one/,5.0,1
Five Nights at Freddy's,2023,https://letterboxd.com/film/five-nights-at-freddys/,5.0,1
Saw X,2023,https://letterboxd.com/film/saw-x/,4.5,1
The Mask,2023,https://letterboxd.com/film/the-mask-2023/,4.5,1
Dream Scenario,2023,https://letterboxd.com/film/dream-scenario/,2.0,0
Hit Man,2023,https://letterboxd.com/film/hit-man-2023/,4.5,1
Priscilla,2023,https://letterboxd.com/film/priscilla/,4.5,1
The Killer,2023,https://letterboxd.com/film/the-killer-2023/,2.5,0
Maestro,2023,https://letterboxd.com/film/maestro-2023/,2.5,0
Daddio,2023,https://letterboxd.com/film/daddio-2023/,3.0,0
Poor Things,2023,https://letterboxd.com/film/poor-things-2023/,5.0,1
The Holdovers,2023,https://letterboxd.com/film/the-holdovers/,5.0,1
Saltburn,2023,https://letterboxd.com/film/saltburn/,4.5,1
Slotherhouse,2023,https://letterboxd.com/film/slotherhouse/,2.0,1
Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,https://letterboxd.com/film/teenage-mutant-ninja-turtles-mutant-mayhem/,4.5,1
The Boy and the Heron,2023,https://letterboxd.com/film/the-boy-and-the-heron/,4.5,1
Oppenheimer,2023,https://letterboxd.com/film/oppenheimer-2023/,4.5,1
Barbie,2023,https://letterboxd.com/film/barbie/,5.0,1
Mission: Impossible – Dead Reckoning,2023,https://letterboxd.com/film/mission-impossible-dead-reckoning/,5.0,1
Black Mirror: Mazey Day,2023,https://letterboxd.com/film/black-mirror-mazey-day/,3.5,1
Black Mirror: Loch Henry,2023,https://letterboxd.com/film/black-mirror-loch-henry/,3.5,1
Black Mirror: Joan Is Awful,2023,https://letterboxd.com/film/black-mirror-joan-is-awful/,2.5,0
No Hard Feelings,2023,https://letterboxd.com/film/no-hard-feelings-2023/,3.0,1
Spider-Man: Across the Spider-Verse,2023,https://letterboxd.com/film/spider-man-across-the-spider-verse/,4.5,1
Elemental,2023,https://letterboxd.com/film/elemental-2023/,2.0,0
Asteroid City,2023,https://letterboxd.com/film/asteroid-city/,5.0,1
SmartLess: On the Road,2023,https://letterboxd.com/film/smartless-on-the-road/,4.0,1
May December,2023,https://letterboxd.com/film/may-december/,4.5,1
Killers of the Flower Moon,2023,https://letterboxd.com/film/killers-of-the-flower-moon/,5.0,1
Monster,2023,https://letterboxd.com/film/monster-2023/,5.0,1
John Mulaney: Baby J,2023,https://letterboxd.com/film/john-mulaney-baby-j/,4.5,1
Guardians of the Galaxy Vol. 3,2023,https://letterboxd.com/film/guardians-of-the-galaxy-vol-3/,4.0,1
Ghosted,2023,https://letterboxd.com/film/ghosted-2023/,0.5,0
Beau Is Afraid,2023,https://letterboxd.com/film/beau-is-afraid/,2.0,0
BEEF,2023,https://letterboxd.com/film/beef-2023/,4.5,1
The Super Mario Bros. Movie,2023,https://letterboxd.com/film/the-super-mario-bros-movie/,4.0,1
"Are You There God? It's Me, Margaret.",2023,https://letterboxd.com/film/are-you-there-god-its-me-margaret/,4.0,1
Evil Dead Rise,2023,https://letterboxd.com/film/evil-dead-rise/,3.0,1
Bottoms,2023,https://letterboxd.com/film/bottoms/,5.0,1
Late Night with the Devil,2023,https://letterboxd.com/film/late-night-with-the-devil/,3.5,1
John Wick: Chapter 4,2023,https://letterboxd.com/film/john-wick-chapter-4/,4.5,1
Scream VI,2023,https://letterboxd.com/film/scream-vi/,1.0,0
Attack on Titan The Final Chapters: Special 1,2023,https://letterboxd.com/film/attack-on-titan-the-final-chapters-special-1-2023/,5.0,1
BlackBerry,2023,https://letterboxd.com/film/blackberry-2023/,4.0,1
Dick Tracy Special: Tracy Zooms In,2023,https://letterboxd.com/film/dick-tracy-special-tracy-zooms-in/,5.0,1
Magic Mike's Last Dance,2023,https://letterboxd.com/film/magic-mikes-last-dance/,5.0,1
Blue Giant,2023,https://letterboxd.com/film/blue-giant/,4.5,1
Ant-Man and the Wasp: Quantumania,2023,https://letterboxd.com/film/ant-man-and-the-wasp-quantumania/,1.5,0
Knock at the Cabin,2023,https://letterboxd.com/film/knock-at-the-cabin/,3.5,1
Scrapper,2023,https://letterboxd.com/film/scrapper-2023/,3.5,1
You Hurt My Feelings,2023,https://letterboxd.com/film/you-hurt-my-feelings-2023/,4.5,1
Cat Person,2023,https://letterboxd.com/film/cat-person/,1.0,0
Infinity Pool,2023,https://letterboxd.com/film/infinity-pool/,3.5,1
Missing,2023,https://letterboxd.com/film/missing-2023/,3.0,1
There's Something Wrong with the Children,2023,https://letterboxd.com/film/theres-something-wrong-with-the-children/,2.5,0
This Place Rules,2022,https://letterboxd.com/film/this-place-rules/,4.0,1
Babylon,2022,https://letterboxd.com/film/babylon-2022/,5.0,1
M3GAN,2022,https://letterboxd.com/film/m3gan/,3.5,1
Avatar: The Way of Water,2022,https://letterboxd.com/film/avatar-the-way-of-water/,4.5,1
Puss in Boots: The Last Wish,2022,https://letterboxd.com/film/puss-in-boots-the-last-wish/,3.5,1
Talk to Me,2022,https://letterboxd.com/film/talk-to-me-2022/,2.0,0
Black Panther: Wakanda Forever,2022,https://letterboxd.com/film/black-panther-wakanda-forever/,2.5,0
A Tree of Life: The Pittsburgh Synagogue Shooting,2022,https://letterboxd.com/film/a-tree-of-life-the-pittsburgh-synagogue-shooting/,4.0,1
Guillermo del Toro's Pinocchio,2022,https://letterboxd.com/film/guillermo-del-toros-pinocchio/,4.5,1
Halloween Ends,2022,https://letterboxd.com/film/halloween-ends/,3.5,1
Hundreds of Beavers,2022,https://letterboxd.com/film/hundreds-of-beavers/,4.0,1
Entergalactic,2022,https://letterboxd.com/film/entergalactic/,4.5,1
Hellraiser,2022,https://letterboxd.com/film/hellraiser-2022/,2.0,0
Smile,2022,https://letterboxd.com/film/smile-2022/,3.5,1
DAHMER - Monster: The Jeffrey Dahmer Story,2022,https://letterboxd.com/film/dahmer-monster-the-jeffrey-dahmer-story/,2.5,0
Amsterdam,2022,https://letterboxd.com/film/amsterdam-2022/,1.5,0
Sanctuary,2022,https://letterboxd.com/film/sanctuary-2022/,4.0,1
Sick,2022,https://letterboxd.com/film/sick-2022/,2.5,0
Catherine Called Birdy,2022,https://letterboxd.com/film/catherine-called-birdy/,4.0,1
Wendell & Wild,2022,https://letterboxd.com/film/wendell-wild/,4.5,1
The Good Nurse,2022,https://letterboxd.com/film/the-good-nurse/,3.5,1
The Menu,2022,https://letterboxd.com/film/the-menu-2022/,3.0,0
Glass Onion,2022,https://letterboxd.com/film/glass-onion/,2.5,0
The Fabelmans,2022,https://letterboxd.com/film/the-fabelmans/,4.5,1
Causeway,2022,https://letterboxd.com/film/causeway/,4.0,1
See How They Run,2022,https://letterboxd.com/film/see-how-they-run-2022/,4.0,1
The Woman King,2022,https://letterboxd.com/film/the-woman-king/,4.0,1
Weird: The Al Yankovic Story,2022,https://letterboxd.com/film/weird-the-al-yankovic-story-2022/,3.5,1
The Son,2022,https://letterboxd.com/film/the-son-2022/,1.0,0
Don't Worry Darling,2022,https://letterboxd.com/film/dont-worry-darling/,2.5,1
The Banshees of Inisherin,2022,https://letterboxd.com/film/the-banshees-of-inisherin/,4.5,1
The Whale,2022,https://letterboxd.com/film/the-whale-2022/,1.5,0
Pearl,2022,https://letterboxd.com/film/pearl-2022/,4.5,1
Bones and All,2022,https://letterboxd.com/film/bones-and-all/,5.0,1
Women Talking,2022,https://letterboxd.com/film/women-talking/,4.0,1
TÁR,2022,https://letterboxd.com/film/tar-2022/,4.0,1
Terrifier 2,2022,https://letterboxd.com/film/terrifier-2/,1.5,0
Barbarian,2022,https://letterboxd.com/film/barbarian-2022/,2.5,1
She-Hulk: Attorney at Law,2022,https://letterboxd.com/film/she-hulk-attorney-at-law/,0.5,0
Look Both Ways,2022,https://letterboxd.com/film/look-both-ways-2022/,3.0,1
Fall,2022,https://letterboxd.com/film/fall-2022/,3.0,1
Luck,2022,https://letterboxd.com/film/luck-2022/,0.5,0
Not Okay,2022,https://letterboxd.com/film/not-okay/,4.0,1
Purple Hearts,2022,https://letterboxd.com/film/purple-hearts-2022/,1.0,0
Orphan: First Kill,2022,https://letterboxd.com/film/orphan-first-kill/,4.0,1
Skinamarink,2022,https://letterboxd.com/film/skinamarink/,3.5,1
Nope,2022,https://letterboxd.com/film/nope/,5.0,1
Where the Crawdads Sing,2022,https://letterboxd.com/film/where-the-crawdads-sing/,3.5,1
Black Bird,2022,https://letterboxd.com/film/black-bird/,4.0,1
Girl in the Picture,2022,https://letterboxd.com/film/girl-in-the-picture/,4.0,1
Minions: The Rise of Gru,2022,https://letterboxd.com/film/minions-the-rise-of-gru/,2.0,0
Spiderhead,2022,https://letterboxd.com/film/spiderhead/,2.5,0
Keep Sweet: Pray and Obey,2022,https://letterboxd.com/film/keep-sweet-pray-and-obey-2022/,3.5,1
Lightyear,2022,https://letterboxd.com/film/lightyear-2022/,3.5,1
Fire Island,2022,https://letterboxd.com/film/fire-island-2022/,4.0,1
Obi-Wan Kenobi,2022,https://letterboxd.com/film/obi-wan-kenobi/,2.0,0
The Bob's Burgers Movie,2022,https://letterboxd.com/film/the-bobs-burgers-movie/,3.5,1
Elvis,2022,https://letterboxd.com/film/elvis-2022/,4.0,1
Moonage Daydream,2022,https://letterboxd.com/film/moonage-daydream/,3.5,1
Decision to Leave,2022,https://letterboxd.com/film/decision-to-leave/,4.5,1
Crimes of the Future,2022,https://letterboxd.com/film/crimes-of-the-future-2022/,1.0,0
Aftersun,2022,https://letterboxd.com/film/aftersun/,5.0,1
Jackass 4.5,2022,https://letterboxd.com/film/jackass-45/,4.0,1
Corsage,2022,https://letterboxd.com/film/corsage/,4.0,1
Chip 'n Dale: Rescue Rangers,2022,https://letterboxd.com/film/chip-n-dale-rescue-rangers/,3.5,1
Firestarter,2022,https://letterboxd.com/film/firestarter-1/,1.0,0
Our Father,2022,https://letterboxd.com/film/our-father-2022/,3.0,1
Top Gun: Maverick,2022,https://letterboxd.com/film/top-gun-maverick/,4.5,1
Doctor Strange in the Multiverse of Madness,2022,https://letterboxd.com/film/doctor-strange-in-the-multiverse-of-madness/,1.5,0
Under the Banner of Heaven,2022,https://letterboxd.com/film/under-the-banner-of-heaven/,4.0,1
Marmaduke,2022,https://letterboxd.com/film/marmaduke-2022/,0.5,0
When Billie Met Lisa,2022,https://letterboxd.com/film/when-billie-met-lisa/,1.0,0
Moon Knight,2022,https://letterboxd.com/film/moon-knight-2022/,1.0,0
Sonic the Hedgehog 2,2022,https://letterboxd.com/film/sonic-the-hedgehog-2/,3.5,1
The Northman,2022,https://letterboxd.com/film/the-northman/,4.0,1
The Bubble,2022,https://letterboxd.com/film/the-bubble-2022/,1.0,0
RRR,2022,https://letterboxd.com/film/rrr/,5.0,1
Morbius,2022,https://letterboxd.com/film/morbius/,1.0,1
Deep Water,2022,https://letterboxd.com/film/deep-water-2022/,3.0,1
Ambulance,2022,https://letterboxd.com/film/ambulance-2022/,4.5,1
Bodies Bodies Bodies,2022,https://letterboxd.com/film/bodies-bodies-bodies/,4.0,1
X,2022,https://letterboxd.com/film/x-2022/,3.5,1
The Unbearable Weight of Massive Talent,2022,https://letterboxd.com/film/the-unbearable-weight-of-massive-talent/,3.5,1
Everything Everywhere All at Once,2022,https://letterboxd.com/film/everything-everywhere-all-at-once/,2.5,0
Windfall,2022,https://letterboxd.com/film/windfall/,2.5,0
Turning Red,2022,https://letterboxd.com/film/turning-red/,3.0,1
Texas Chainsaw Massacre,2022,https://letterboxd.com/film/texas-chainsaw-massacre/,1.0,0
Dog,2022,https://letterboxd.com/film/dog-2022/,3.5,1
The Outwaters,2022,https://letterboxd.com/film/the-outwaters/,1.0,0
I Want You Back,2022,https://letterboxd.com/film/i-want-you-back/,3.0,1
Death on the Nile,2022,https://letterboxd.com/film/death-on-the-nile-2022/,1.5,0
Jackass Forever,2022,https://letterboxd.com/film/jackass-forever/,4.5,1
Am I OK?,2022,https://letterboxd.com/film/am-i-ok/,3.5,1
Cha Cha Real Smooth,2022,https://letterboxd.com/film/cha-cha-real-smooth/,4.5,1
Watcher,2022,https://letterboxd.com/film/watcher/,3.5,1
Fire of Love,2022,https://letterboxd.com/film/fire-of-love-2022/,4.5,1
Fresh,2022,https://letterboxd.com/film/fresh-2022/,2.5,1
The House,2022,https://letterboxd.com/film/the-house-2022-1/,3.0,1
Scream,2022,https://letterboxd.com/film/scream-2022/,3.0,1
Jujutsu Kaisen 0,2021,https://letterboxd.com/film/jujutsu-kaisen-0/,4.0,1
The Matrix Resurrections,2021,https://letterboxd.com/film/the-matrix-resurrections/,3.0,1
Spider-Man: No Way Home,2021,https://letterboxd.com/film/spider-man-no-way-home/,1.5,0
Don't Look Up,2021,https://letterboxd.com/film/dont-look-up-2021/,0.5,0
Nightmare Alley,2021,https://letterboxd.com/film/nightmare-alley-2021/,3.5,1
West Side Story,2021,https://letterboxd.com/film/west-side-story-2021/,4.0,1
Licorice Pizza,2021,https://letterboxd.com/film/licorice-pizza/,2.5,0
All Too Well: The Short Film,2021,https://letterboxd.com/film/all-too-well-the-short-film/,5.0,1
House of Gucci,2021,https://letterboxd.com/film/house-of-gucci/,3.0,1
Hypnotic,2021,https://letterboxd.com/film/hypnotic-2021/,1.5,0
Antlers,2021,https://letterboxd.com/film/antlers/,2.0,0
No Time to Die,2021,https://letterboxd.com/film/no-time-to-die-2021/,4.0,1
,,https://letterboxd.com/film/the-black-phone/,3.5,1
,,https://letterboxd.com/film/the-tragedy-of-macbeth/,3.5,1
,,https://letterboxd.com/film/venom-let-there-be-carnage/,3.5,1
,,https://letterboxd.com/film/the-forgiven-2022-1/,1.5,1
,,https://letterboxd.com/film/the-guilty-2021/,1.0,0
,,https://letterboxd.com/film/halloween-kills/,1.5,0
,,https://letterboxd.com/film/last-night-in-soho/,2.0,1
,,https://letterboxd.com/film/spencer-2021/,5.0,1
,,https://letterboxd.com/film/the-lost-daughter-2021/,4.5,1
,,https://letterboxd.com/film/dune-2021/,5.0,1
,,https://letterboxd.com/film/the-card-counter/,3.5,1
,,https://letterboxd.com/film/the-power-of-the-dog/,5.0,1
,,https://letterboxd.com/film/cmon-cmon/,5.0,1
,,https://letterboxd.com/film/malignant-2021/,5.0,1
,,https://letterboxd.com/film/candyman-2021/,2.0,0
,,https://letterboxd.com/film/mad-god/,4.0,1
,,https://letterboxd.com/film/free-guy/,2.0,0
,,https://letterboxd.com/film/the-suicide-squad/,2.0,0
,,https://letterboxd.com/film/old-2021/,2.5,1
