title,year,url,user_rating,user_like
Tras bambalinas,2026,https://letterboxd.com/film/tras-bambalinas/,5.0,1
Michael,2026,https://letterboxd.com/film/michael-2026/,4.0,1
Lee Cronin's The Mummy,2026,https://letterboxd.com/film/lee-cronins-the-mummy/,4.0,1
The Super Mario Galaxy Movie,2026,https://letterboxd.com/film/the-super-mario-galaxy-movie/,3.0,0
Hannah Montana 20th Anniversary Special,2026,https://letterboxd.com/film/hannah-montana-20th-anniversary-special/,4.0,1
The Drama,2026,https://letterboxd.com/film/the-drama/,4.5,1
Pizza Movie,2026,https://letterboxd.com/film/pizza-movie-2026/,1.5,0
Ready or Not 2: Here I Come,2026,https://letterboxd.com/film/ready-or-not-2-here-i-come/,4.0,1
Reminders of Him,2026,https://letterboxd.com/film/reminders-of-him/,0.5,0
Project Hail Mary,2026,https://letterboxd.com/film/project-hail-mary/,5.0,1
Harry Styles. One Night in Manchester.,2026,https://letterboxd.com/film/harry-styles-one-night-in-manchester/,4.5,1
Peaky Blinders: The Immortal Man,2026,https://letterboxd.com/film/peaky-blinders-the-immortal-man/,3.5,1
The Bride!,2026,https://letterboxd.com/film/the-bride-2026/,2.5,0
Scream 7,2026,https://letterboxd.com/film/scream-7/,1.5,0
Hoppers,2026,https://letterboxd.com/film/hoppers/,5.0,1
How to Make a Killing,2026,https://letterboxd.com/film/how-to-make-a-killing-2026/,3.5,1
¿Quieres Ser Mi Novia?,2026,https://letterboxd.com/film/quieres-ser-mi-novia/,0.5,0
GOAT,2026,https://letterboxd.com/film/goat-2026/,4.0,1
The Strangers: Chapter 3,2026,https://letterboxd.com/film/the-strangers-chapter-3/,0.5,0
The Muppet Show,2026,https://letterboxd.com/film/the-muppet-show/,5.0,1
Iron Lung,2026,https://letterboxd.com/film/iron-lung/,1.5,0
Wuthering Heights,2026,https://letterboxd.com/film/wuthering-heights-2026/,3.5,1
The Moment,2026,https://letterboxd.com/film/the-moment-2026/,4.5,1
Send Help,2026,https://letterboxd.com/film/send-help/,4.0,1
Return to Silent Hill,2026,https://letterboxd.com/film/return-to-silent-hill/,0.5,0
28 Years Later: The Bone Temple,2026,https://letterboxd.com/film/28-years-later-the-bone-temple/,5.0,1
People We Meet on Vacation,2026,https://letterboxd.com/film/people-we-meet-on-vacation/,3.5,1
Stranger Things 5: The Finale,2025,https://letterboxd.com/film/stranger-things-5-the-finale/,4.0,1
Five Nights at Freddy's 2,2025,https://letterboxd.com/film/five-nights-at-freddys-2/,4.0,1
The Housemaid,2025,https://letterboxd.com/film/the-housemaid-2025/,2.0,0
Avatar: Fire and Ash,2025,https://letterboxd.com/film/avatar-fire-and-ash/,2.5,0
Zootopia 2,2025,https://letterboxd.com/film/zootopia-2/,5.0,1
Keeper,2025,https://letterboxd.com/film/keeper-2025/,1.5,0
Wicked: For Good,2025,https://letterboxd.com/film/wicked-for-good/,4.0,1
The Running Man,2025,https://letterboxd.com/film/the-running-man-2025/,4.0,1
Now You See Me: Now You Don't,2025,https://letterboxd.com/film/now-you-see-me-now-you-dont-2025/,3.5,1
Predator: Badlands,2025,https://letterboxd.com/film/predator-badlands/,4.0,1
Song Sung Blue,2025,https://letterboxd.com/film/song-sung-blue-2025/,2.0,0
