title,year,url,user_rating,user_like
The Drama,2026,https://letterboxd.com/film/the-drama/,4.0,1
Send Help,2026,https://letterboxd.com/film/send-help/,2.5,0
28 Years Later: The Bone Temple,2026,https://letterboxd.com/film/28-years-later-the-bone-temple/,3.5,1
Avatar: Fire and Ash,2025,https://letterboxd.com/film/avatar-fire-and-ash/,3.0,1
Marty Supreme,2025,https://letterboxd.com/film/marty-supreme/,4.0,1
Primate,2025,https://letterboxd.com/film/primate-2025/,2.0,0
One Battle After Another,2025,https://letterboxd.com/film/one-battle-after-another/,4.0,1
Bad Apples,2025,https://letterboxd.com/film/bad-apples-2025/,4.0,1
Wake Up Dead Man,2025,https://letterboxd.com/film/wake-up-dead-man/,3.0,1
Steve,2025,https://letterboxd.com/film/steve-2025/,3.0,0
The Smashing Machine,2025,https://letterboxd.com/film/the-smashing-machine-2025/,3.0,1
Frankenstein,2025,https://letterboxd.com/film/frankenstein-2025/,2.5,0
Hamnet,2025,https://letterboxd.com/film/hamnet/,2.0,0
After the Hunt,2025,https://letterboxd.com/film/after-the-hunt-2025/,3.5,1
No Other Choice,2025,https://letterboxd.com/film/no-other-choice-2025/,4.0,1
Rose of Nevada,2025,https://letterboxd.com/film/rose-of-nevada/,4.5,1
Bugonia,2025,https://letterboxd.com/film/bugonia/,3.5,1
Jay Kelly,2025,https://letterboxd.com/film/jay-kelly/,3.5,1
Weapons,2025,https://letterboxd.com/film/weapons-2025/,3.0,1
The Naked Gun,2025,https://letterboxd.com/film/the-naked-gun/,3.0,1
M3GAN 2.0,2025,https://letterboxd.com/film/m3gan-20/,2.5,1
28 Years Later,2025,https://letterboxd.com/film/28-years-later/,3.5,1
Titan: The OceanGate Submersible Disaster,2025,https://letterboxd.com/film/titan-the-oceangate-submersible-disaster/,2.5,0
The Mastermind,2025,https://letterboxd.com/film/the-mastermind-2025/,4.0,1
Fear Street: Prom Queen,2025,https://letterboxd.com/film/fear-street-prom-queen/,1.5,0
Sentimental Value,2025,https://letterboxd.com/film/sentimental-value-2025/,4.0,1
The History of Sound,2025,https://letterboxd.com/film/the-history-of-sound/,2.5,0
Connemara,2025,https://letterboxd.com/film/connemara/,1.0,0
Romería,2025,https://letterboxd.com/film/romeria/,3.0,0
Eleanor the Great,2025,https://letterboxd.com/film/eleanor-the-great/,2.5,0
It Was Just an Accident,2025,https://letterboxd.com/film/it-was-just-an-accident/,4.0,1
Splitsville,2025,https://letterboxd.com/film/splitsville/,1.5,0
Alpha,2025,https://letterboxd.com/film/alpha-2025/,4.0,1
The Phoenician Scheme,2025,https://letterboxd.com/film/the-phoenician-scheme/,3.5,1
Pillion,2025,https://letterboxd.com/film/pillion-2025/,4.0,1
Die My Love,2025,https://letterboxd.com/film/die-my-love/,4.0,1
Eddington,2025,https://letterboxd.com/film/eddington/,2.5,0
Bring Her Back,2025,https://letterboxd.com/film/bring-her-back/,4.0,1
Final Destination Bloodlines,2025,https://letterboxd.com/film/final-destination-bloodlines/,3.5,1
Mission: Impossible – The Final Reckoning,2025,https://letterboxd.com/film/mission-impossible-the-final-reckoning/,3.0,1
Sinners,2025,https://letterboxd.com/film/sinners-2025/,3.5,1
A Minecraft Movie,2025,https://letterboxd.com/film/a-minecraft-movie/,1.0,0
Nirvanna the Band the Show the Movie,2025,https://letterboxd.com/film/nirvanna-the-band-the-show-the-movie/,3.5,1
Mickey 17,2025,https://letterboxd.com/film/mickey-17/,3.0,1
The Monkey,2025,https://letterboxd.com/film/the-monkey-2025/,1.0,0
Bridget Jones: Mad About the Boy,2025,https://letterboxd.com/film/bridget-jones-mad-about-the-boy/,3.5,1
Lurker,2025,https://letterboxd.com/film/lurker-2025/,3.5,1
"Sorry, Baby",2025,https://letterboxd.com/film/sorry-baby-2025/,4.0,1
Train Dreams,2025,https://letterboxd.com/film/train-dreams/,4.0,1
If I Had Legs I'd Kick You,2025,https://letterboxd.com/film/if-i-had-legs-id-kick-you/,4.0,1
A Complete Unknown,2024,https://letterboxd.com/film/a-complete-unknown/,3.5,1
Sonic the Hedgehog 3,2024,https://letterboxd.com/film/sonic-the-hedgehog-3/,3.0,0
Hot Frosty,2024,https://letterboxd.com/film/hot-frosty/,1.5,1
Nosferatu,2024,https://letterboxd.com/film/nosferatu-2024/,3.0,1
Wallace & Gromit: Vengeance Most Fowl,2024,https://letterboxd.com/film/wallace-gromit-vengeance-most-fowl/,4.0,1
Wicked,2024,https://letterboxd.com/film/wicked-2024/,3.0,0
Smile 2,2024,https://letterboxd.com/film/smile-2-2024/,3.0,1
Terrifier 3,2024,https://letterboxd.com/film/terrifier-3/,2.0,0
Bring Them Down,2024,https://letterboxd.com/film/bring-them-down/,3.5,1
Hard Truths,2024,https://letterboxd.com/film/hard-truths-2024/,4.0,1
We Live in Time,2024,https://letterboxd.com/film/we-live-in-time/,3.0,0
Joker: Folie à Deux,2024,https://letterboxd.com/film/joker-folie-a-deux/,2.0,0
Queer,2024,https://letterboxd.com/film/queer-2024/,4.0,1
The Room Next Door,2024,https://letterboxd.com/film/the-room-next-door-2024/,4.0,1
Saturday Night,2024,https://letterboxd.com/film/saturday-night-2024/,2.5,0
Better Man,2024,https://letterboxd.com/film/better-man-2024/,4.0,1
Conclave,2024,https://letterboxd.com/film/conclave/,3.5,0
Nickel Boys,2024,https://letterboxd.com/film/nickel-boys/,4.0,1
The Crow,2024,https://letterboxd.com/film/the-crow-2024/,1.0,0
Alien: Romulus,2024,https://letterboxd.com/film/alien-romulus/,2.5,0
Deadpool & Wolverine,2024,https://letterboxd.com/film/deadpool-wolverine/,2.0,0
Trap,2024,https://letterboxd.com/film/trap-2024/,3.5,1
Twisters,2024,https://letterboxd.com/film/twisters/,3.0,1
Longlegs,2024,https://letterboxd.com/film/longlegs/,3.0,1
MaXXXine,2024,https://letterboxd.com/film/maxxxine/,2.0,0
Flow,2024,https://letterboxd.com/film/flow-2024/,3.5,1
Anora,2024,https://letterboxd.com/film/anora/,3.5,1
The Apprentice,2024,https://letterboxd.com/film/the-apprentice-2024/,3.5,1
The Substance,2024,https://letterboxd.com/film/the-substance/,3.5,1
The Surfer,2024,https://letterboxd.com/film/the-surfer-2024/,3.5,1
Kinds of Kindness,2024,https://letterboxd.com/film/kinds-of-kindness/,3.5,1
Bird,2024,https://letterboxd.com/film/bird-2024/,3.0,1
Megalopolis,2024,https://letterboxd.com/film/megalopolis-2024/,2.0,1
Furiosa: A Mad Max Saga,2024,https://letterboxd.com/film/furiosa-a-mad-max-saga/,4.0,1
Scoop,2024,https://letterboxd.com/film/scoop-2024/,2.0,0
Challengers,2024,https://letterboxd.com/film/challengers/,4.0,1
Godzilla × Kong: The New Empire,2024,https://letterboxd.com/film/godzilla-kong-the-new-empire/,2.0,0
The Idea of You,2024,https://letterboxd.com/film/the-idea-of-you-2024/,2.5,0
Irish Wish,2024,https://letterboxd.com/film/irish-wish/,1.5,1
Brandy Hellville & the Cult of Fast Fashion,2024,https://letterboxd.com/film/brandy-hellville-the-cult-of-fast-fashion/,1.5,0
Ren Faire,2024,https://letterboxd.com/film/ren-faire/,4.0,1
Small Things Like These,2024,https://letterboxd.com/film/small-things-like-these/,3.5,1
Crossing,2024,https://letterboxd.com/film/crossing-2024/,3.5,1
Madame Web,2024,https://letterboxd.com/film/madame-web/,1.0,0
Dune: Part Two,2024,https://letterboxd.com/film/dune-part-two/,4.0,1
A Real Pain,2024,https://letterboxd.com/film/a-real-pain/,3.5,1
Love Lies Bleeding,2024,https://letterboxd.com/film/love-lies-bleeding-2024/,4.0,1
Kneecap,2024,https://letterboxd.com/film/kneecap/,4.0,1
Wonka,2023,https://letterboxd.com/film/wonka/,3.0,1
Merchant Ivory,2023,https://letterboxd.com/film/merchant-ivory/,2.5,0
The Iron Claw,2023,https://letterboxd.com/film/the-iron-claw-2023/,3.5,1
The Hunger Games: The Ballad of Songbirds & Snakes,2023,https://letterboxd.com/film/the-hunger-games-the-ballad-of-songbirds-snakes/,3.0,1
Thanksgiving,2023,https://letterboxd.com/film/thanksgiving-2023/,3.0,1
Five Nights at Freddy's,2023,https://letterboxd.com/film/five-nights-at-freddys/,2.0,0
Chicken Run: Dawn of the Nugget,2023,https://letterboxd.com/film/chicken-run-dawn-of-the-nugget/,2.5,0
The Exorcist: Believer,2023,https://letterboxd.com/film/the-exorcist-believer/,1.5,0
Saw X,2023,https://letterboxd.com/film/saw-x/,3.5,1
No One Will Save You,2023,https://letterboxd.com/film/no-one-will-save-you/,2.0,0
A Haunting in Venice,2023,https://letterboxd.com/film/a-haunting-in-venice/,2.5,0
American Fiction,2023,https://letterboxd.com/film/american-fiction/,2.5,0
Hit Man,2023,https://letterboxd.com/film/hit-man-2023/,3.0,1
Priscilla,2023,https://letterboxd.com/film/priscilla/,3.5,1
The Killer,2023,https://letterboxd.com/film/the-killer-2023/,3.5,1
Maestro,2023,https://letterboxd.com/film/maestro-2023/,3.0,1
Poor Things,2023,https://letterboxd.com/film/poor-things-2023/,4.0,1
All of Us Strangers,2023,https://letterboxd.com/film/all-of-us-strangers/,3.5,1
NYAD,2023,https://letterboxd.com/film/nyad/,2.0,0
The Royal Hotel,2023,https://letterboxd.com/film/the-royal-hotel/,3.0,1
The Wonderful Story of Henry Sugar,2023,https://letterboxd.com/film/the-wonderful-story-of-henry-sugar/,2.5,0
The Holdovers,2023,https://letterboxd.com/film/the-holdovers/,4.5,1
Saltburn,2023,https://letterboxd.com/film/saltburn/,3.0,0
Ferrari,2023,https://letterboxd.com/film/ferrari-2023/,2.5,0
The Bikeriders,2023,https://letterboxd.com/film/the-bikeriders/,3.5,1
El Conde,2023,https://letterboxd.com/film/el-conde/,2.5,0
Retribution,2023,https://letterboxd.com/film/retribution-2023/,1.5,1
Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,https://letterboxd.com/film/teenage-mutant-ninja-turtles-mutant-mayhem/,3.5,1
Gran Turismo,2023,https://letterboxd.com/film/gran-turismo/,2.5,0
The Boy and the Heron,2023,https://letterboxd.com/film/the-boy-and-the-heron/,3.5,1
Oppenheimer,2023,https://letterboxd.com/film/oppenheimer-2023/,4.5,1
Barbie,2023,https://letterboxd.com/film/barbie/,3.5,0
Insidious: The Red Door,2023,https://letterboxd.com/film/insidious-the-red-door/,2.5,0
Paradise,2023,https://letterboxd.com/film/paradise-2023-1/,2.5,0
Mission: Impossible – Dead Reckoning,2023,https://letterboxd.com/film/mission-impossible-dead-reckoning/,3.5,1
Black Mirror: Beyond the Sea,2023,https://letterboxd.com/film/black-mirror-beyond-the-sea/,3.0,0
Black Mirror: Demon 79,2023,https://letterboxd.com/film/black-mirror-demon-79/,3.5,0
Black Mirror: Mazey Day,2023,https://letterboxd.com/film/black-mirror-mazey-day/,1.5,0
Black Mirror: Loch Henry,2023,https://letterboxd.com/film/black-mirror-loch-henry/,3.0,0
Black Mirror: Joan Is Awful,2023,https://letterboxd.com/film/black-mirror-joan-is-awful/,2.0,0
They Cloned Tyrone,2023,https://letterboxd.com/film/they-cloned-tyrone/,3.5,0
The Flash,2023,https://letterboxd.com/film/the-flash/,1.5,0
Meg 2: The Trench,2023,https://letterboxd.com/film/meg-2-the-trench/,1.0,0
Spider-Man: Across the Spider-Verse,2023,https://letterboxd.com/film/spider-man-across-the-spider-verse/,3.0,1
La Chimera,2023,https://letterboxd.com/film/la-chimera/,4.0,1
Perfect Days,2023,https://letterboxd.com/film/perfect-days-2023/,4.0,1
In Our Day,2023,https://letterboxd.com/film/in-our-day/,3.0,0
Cobweb,2023,https://letterboxd.com/film/cobweb-2023-1/,3.5,1
The Taste of Things,2023,https://letterboxd.com/film/the-taste-of-things/,4.5,1
The Boogeyman,2023,https://letterboxd.com/film/the-boogeyman/,2.5,1
Asteroid City,2023,https://letterboxd.com/film/asteroid-city/,3.5,1
Kidnapped,2023,https://letterboxd.com/film/kidnapped-2023/,2.5,0
Kubi,2023,https://letterboxd.com/film/kubi/,3.0,1
Fallen Leaves,2023,https://letterboxd.com/film/fallen-leaves-2023/,4.0,1
