title,year,url,user_rating,user_like
"You, Me & Tuscany",2026,https://letterboxd.com/film/you-me-tuscany/,3.5,1
The Super Mario Galaxy Movie,2026,https://letterboxd.com/film/the-super-mario-galaxy-movie/,3.5,1
The Drama,2026,https://letterboxd.com/film/the-drama/,4.0,1
Forbidden Fruits,2026,https://letterboxd.com/film/forbidden-fruits-2026/,3.5,1
Pizza Movie,2026,https://letterboxd.com/film/pizza-movie-2026/,3.0,1
Ready or Not 2: Here I Come,2026,https://letterboxd.com/film/ready-or-not-2-here-i-come/,4.0,1
Project Hail Mary,2026,https://letterboxd.com/film/project-hail-mary/,4.0,1
The Bride!,2026,https://letterboxd.com/film/the-bride-2026/,2.0,0
The Muppet Show,2026,https://letterboxd.com/film/the-muppet-show/,4.0,1
Wuthering Heights,2026,https://letterboxd.com/film/wuthering-heights-2026/,1.0,0
The Moment,2026,https://letterboxd.com/film/the-moment-2026/,3.5,1
Send Help,2026,https://letterboxd.com/film/send-help/,3.5,1
The Pout-Pout Fish,2026,https://letterboxd.com/film/the-pout-pout-fish/,1.5,0
Five Nights at Freddy's 2,2025,https://letterboxd.com/film/five-nights-at-freddys-2/,2.5,0
Zootopia 2,2025,https://letterboxd.com/film/zootopia-2/,4.0,1
Wicked: For Good,2025,https://letterboxd.com/film/wicked-for-good/,3.0,1
The Running Man,2025,https://letterboxd.com/film/the-running-man-2025/,3.5,1
Is This Thing On?,2025,https://letterboxd.com/film/is-this-thing-on-2025/,3.5,1
Marty Supreme,2025,https://letterboxd.com/film/marty-supreme/,4.0,1
Caleb Hearon: Model Comedian,2025,https://letterboxd.com/film/caleb-hearon-model-comedian/,4.0,1
One Battle After Another,2025,https://letterboxd.com/film/one-battle-after-another/,4.0,1
Wake Up Dead Man,2025,https://letterboxd.com/film/wake-up-dead-man/,3.5,1
100 Nights of Hero,2025,https://letterboxd.com/film/100-nights-of-hero/,3.0,0
Rental Family,2025,https://letterboxd.com/film/rental-family-2025/,4.5,1
Frankenstein,2025,https://letterboxd.com/film/frankenstein-2025/,4.5,1
Hamnet,2025,https://letterboxd.com/film/hamnet/,3.5,1
Bugonia,2025,https://letterboxd.com/film/bugonia/,4.0,1
Caught Stealing,2025,https://letterboxd.com/film/caught-stealing/,3.0,0
Weapons,2025,https://letterboxd.com/film/weapons-2025/,3.5,1
The Bad Guys 2,2025,https://letterboxd.com/film/the-bad-guys-2/,3.5,1
KPop Demon Hunters,2025,https://letterboxd.com/film/kpop-demon-hunters/,3.0,0
Superman,2025,https://letterboxd.com/film/superman-2025/,4.5,1
Honey Don't!,2025,https://letterboxd.com/film/honey-dont/,3.0,1
Pillion,2025,https://letterboxd.com/film/pillion-2025/,3.5,1
The Phoenician Scheme,2025,https://letterboxd.com/film/the-phoenician-scheme/,2.0,0
Die My Love,2025,https://letterboxd.com/film/die-my-love/,2.0,0
Until Dawn,2025,https://letterboxd.com/film/until-dawn-2025/,3.0,0
Thunderbolts*,2025,https://letterboxd.com/film/thunderbolts/,3.5,0
Sinners,2025,https://letterboxd.com/film/sinners-2025/,4.5,1
A Minecraft Movie,2025,https://letterboxd.com/film/a-minecraft-movie/,2.0,1
Sneaks,2025,https://letterboxd.com/film/sneaks/,0.5,0
Novocaine,2025,https://letterboxd.com/film/novocaine-2025/,3.0,0
Death of a Unicorn,2025,https://letterboxd.com/film/death-of-a-unicorn/,3.5,0
Mickey 17,2025,https://letterboxd.com/film/mickey-17/,3.5,0
The Monkey,2025,https://letterboxd.com/film/the-monkey-2025/,3.5,1
Love Hurts,2025,https://letterboxd.com/film/love-hurts-2025/,3.0,0
Kinda Pregnant,2025,https://letterboxd.com/film/kinda-pregnant/,2.0,0
"Sorry, Baby",2025,https://letterboxd.com/film/sorry-baby-2025/,4.5,1
The Legend of Ochi,2025,https://letterboxd.com/film/the-legend-of-ochi/,4.0,1
Companion,2025,https://letterboxd.com/film/companion-2025/,3.5,1
COLORFUL STAGE! The Movie: A Miku Who Can't Sing,2025,https://letterboxd.com/film/colorful-stage-the-movie-a-miku-who-cant/,3.5,0
Dog Man,2025,https://letterboxd.com/film/dog-man/,3.0,1
One of Them Days,2025,https://letterboxd.com/film/one-of-them-days/,3.5,1
A Complete Unknown,2024,https://letterboxd.com/film/a-complete-unknown/,3.5,0
Sonic the Hedgehog 3,2024,https://letterboxd.com/film/sonic-the-hedgehog-3/,1.0,0
Nosferatu,2024,https://letterboxd.com/film/nosferatu-2024/,4.0,1
Paddington in Peru,2024,https://letterboxd.com/film/paddington-in-peru/,4.0,1
Wicked,2024,https://letterboxd.com/film/wicked-2024/,3.5,1
Smile 2,2024,https://letterboxd.com/film/smile-2-2024/,3.5,1
Friendship,2024,https://letterboxd.com/film/friendship-2024/,3.5,1
Heretic,2024,https://letterboxd.com/film/heretic-2024/,3.5,0
The Wild Robot,2024,https://letterboxd.com/film/the-wild-robot/,4.5,1
Nightbitch,2024,https://letterboxd.com/film/nightbitch/,2.0,0
Joker: Folie à Deux,2024,https://letterboxd.com/film/joker-folie-a-deux/,2.5,0
Saturday Night,2024,https://letterboxd.com/film/saturday-night-2024/,3.5,0
Babygirl,2024,https://letterboxd.com/film/babygirl-2024/,1.5,0
Conclave,2024,https://letterboxd.com/film/conclave/,4.0,0
Piece By Piece,2024,https://letterboxd.com/film/piece-by-piece-2024/,3.0,1
Beetlejuice Beetlejuice,2024,https://letterboxd.com/film/beetlejuice-beetlejuice/,1.5,0
Alien: Romulus,2024,https://letterboxd.com/film/alien-romulus/,4.0,1
It Ends with Us,2024,https://letterboxd.com/film/it-ends-with-us/,1.5,0
Deadpool & Wolverine,2024,https://letterboxd.com/film/deadpool-wolverine/,3.5,1
Trap,2024,https://letterboxd.com/film/trap-2024/,2.5,0
Twisters,2024,https://letterboxd.com/film/twisters/,5.0,1
Longlegs,2024,https://letterboxd.com/film/longlegs/,3.5,1
MaXXXine,2024,https://letterboxd.com/film/maxxxine/,3.5,1
Despicable Me 4,2024,https://letterboxd.com/film/despicable-me-4/,3.0,1
The Day the Earth Blew Up: A Looney Tunes Movie,2024,https://letterboxd.com/film/the-day-the-earth-blew-up-a-looney-tunes-movie/,3.0,1
Inside Out 2,2024,https://letterboxd.com/film/inside-out-2-2024/,3.0,0
Flow,2024,https://letterboxd.com/film/flow-2024/,4.0,1
Anora,2024,https://letterboxd.com/film/anora/,4.5,1
The Apprentice,2024,https://letterboxd.com/film/the-apprentice-2024/,3.5,0
The Substance,2024,https://letterboxd.com/film/the-substance/,4.0,1
Emilia Pérez,2024,https://letterboxd.com/film/emilia-perez/,1.5,0
Kinds of Kindness,2024,https://letterboxd.com/film/kinds-of-kindness/,3.5,1
Megalopolis,2024,https://letterboxd.com/film/megalopolis-2024/,1.0,0
IF,2024,https://letterboxd.com/film/if-2024/,2.5,0
Furiosa: A Mad Max Saga,2024,https://letterboxd.com/film/furiosa-a-mad-max-saga/,3.5,1
The Garfield Movie,2024,https://letterboxd.com/film/the-garfield-movie/,1.5,0
Turtles All the Way Down,2024,https://letterboxd.com/film/turtles-all-the-way-down/,3.5,1
Challengers,2024,https://letterboxd.com/film/challengers/,3.5,1
The Idea of You,2024,https://letterboxd.com/film/the-idea-of-you-2024/,2.5,0
Civil War,2024,https://letterboxd.com/film/civil-war-2024/,3.5,1
Irish Wish,2024,https://letterboxd.com/film/irish-wish/,2.0,0
The Fall Guy,2024,https://letterboxd.com/film/the-fall-guy-2024/,4.0,1
