title,year,url,user_rating,user_like
Michael,2026,https://letterboxd.com/film/michael-2026/,2.5,0
Lee Cronin's The Mummy,2026,https://letterboxd.com/film/lee-cronins-the-mummy/,3.0,0
The Drama,2026,https://letterboxd.com/film/the-drama/,3.5,1
Hokum,2026,https://letterboxd.com/film/hokum/,3.0,0
Pizza Movie,2026,https://letterboxd.com/film/pizza-movie-2026/,2.5,0
Ready or Not 2: Here I Come,2026,https://letterboxd.com/film/ready-or-not-2-here-i-come/,2.5,0
Project Hail Mary,2026,https://letterboxd.com/film/project-hail-mary/,3.5,1
Reminders of Him,2026,https://letterboxd.com/film/reminders-of-him/,2.0,0
The Bride!,2026,https://letterboxd.com/film/the-bride-2026/,2.5,0
Hoppers,2026,https://letterboxd.com/film/hoppers/,4.0,1
How to Make a Killing,2026,https://letterboxd.com/film/how-to-make-a-killing-2026/,3.0,0
War Machine,2026,https://letterboxd.com/film/war-machine-2026/,2.0,0
Crime 101,2026,https://letterboxd.com/film/crime-101/,3.5,0
Wuthering Heights,2026,https://letterboxd.com/film/wuthering-heights-2026/,2.5,0
Shelter,2026,https://letterboxd.com/film/shelter-2026/,2.0,0
The Moment,2026,https://letterboxd.com/film/the-moment-2026/,3.5,0
Josephine,2026,https://letterboxd.com/film/josephine-2026/,3.5,0
"Ha-Chan, Shake Your Booty!",2026,https://letterboxd.com/film/ha-chan-shake-your-booty/,2.5,0
Send Help,2026,https://letterboxd.com/film/send-help/,3.5,0
Mercy,2026,https://letterboxd.com/film/mercy-2026/,1.0,0
The Rip,2026,https://letterboxd.com/film/the-rip-2026/,3.5,0
28 Years Later: The Bone Temple,2026,https://letterboxd.com/film/28-years-later-the-bone-temple/,4.0,1
People We Meet on Vacation,2026,https://letterboxd.com/film/people-we-meet-on-vacation/,4.0,1
Anaconda,2025,https://letterboxd.com/film/anaconda-2025/,2.0,0
Five Nights at Freddy's 2,2025,https://letterboxd.com/film/five-nights-at-freddys-2/,1.0,0
The Housemaid,2025,https://letterboxd.com/film/the-housemaid-2025/,2.5,0
Avatar: Fire and Ash,2025,https://letterboxd.com/film/avatar-fire-and-ash/,3.5,0
Zootopia 2,2025,https://letterboxd.com/film/zootopia-2/,4.0,1
In Your Dreams,2025,https://letterboxd.com/film/in-your-dreams-2025/,2.5,0
Wicked: For Good,2025,https://letterboxd.com/film/wicked-for-good/,2.5,0
The Running Man,2025,https://letterboxd.com/film/the-running-man-2025/,2.5,0
Now You See Me: Now You Don't,2025,https://letterboxd.com/film/now-you-see-me-now-you-dont-2025/,3.0,0
Predator: Badlands,2025,https://letterboxd.com/film/predator-badlands/,3.5,0
Song Sung Blue,2025,https://letterboxd.com/film/song-sung-blue-2025/,1.5,0
Regretting You,2025,https://letterboxd.com/film/regretting-you/,2.5,0
Is This Thing On?,2025,https://letterboxd.com/film/is-this-thing-on-2025/,3.5,0
Marty Supreme,2025,https://letterboxd.com/film/marty-supreme/,4.5,1
TRON: Ares,2025,https://letterboxd.com/film/tron-ares/,1.5,0
"Good Luck, Have Fun, Don't Die",2025,https://letterboxd.com/film/good-luck-have-fun-dont-die/,2.5,0
Black Phone 2,2025,https://letterboxd.com/film/black-phone-2/,2.5,0
Primate,2025,https://letterboxd.com/film/primate-2025/,3.0,0
HIM,2025,https://letterboxd.com/film/him-2025/,2.5,0
A Big Bold Beautiful Journey,2025,https://letterboxd.com/film/a-big-bold-beautiful-journey/,1.5,0
One Battle After Another,2025,https://letterboxd.com/film/one-battle-after-another/,5.0,1
The Long Walk,2025,https://letterboxd.com/film/the-long-walk-2025/,3.5,0
I Swear,2025,https://letterboxd.com/film/i-swear/,3.5,0
Eternity,2025,https://letterboxd.com/film/eternity-2025-1/,3.0,0
Nuremberg,2025,https://letterboxd.com/film/nuremberg-2025/,2.5,0
Hedda,2025,https://letterboxd.com/film/hedda-2025/,3.0,0
The Christophers,2025,https://letterboxd.com/film/the-christophers/,2.0,0
Obsession,2025,https://letterboxd.com/film/obsession-2025-2/,4.0,1
Roofman,2025,https://letterboxd.com/film/roofman/,3.0,0
Rental Family,2025,https://letterboxd.com/film/rental-family-2025/,3.0,0
Sacrifice,2025,https://letterboxd.com/film/sacrifice-2025/,3.0,0
Wake Up Dead Man,2025,https://letterboxd.com/film/wake-up-dead-man/,3.5,0
Christy,2025,https://letterboxd.com/film/christy-2025-1/,1.5,0
The Lost Bus,2025,https://letterboxd.com/film/the-lost-bus/,2.0,0
The Voice of Hind Rajab,2025,https://letterboxd.com/film/the-voice-of-hind-rajab/,4.0,1
A House of Dynamite,2025,https://letterboxd.com/film/a-house-of-dynamite/,3.0,0
Dead Man's Wire,2025,https://letterboxd.com/film/dead-mans-wire/,3.5,0
The Smashing Machine,2025,https://letterboxd.com/film/the-smashing-machine-2025/,3.0,0
The Testament of Ann Lee,2025,https://letterboxd.com/film/the-testament-of-ann-lee/,4.0,1
Frankenstein,2025,https://letterboxd.com/film/frankenstein-2025/,3.5,0
H Is for Hawk,2025,https://letterboxd.com/film/h-is-for-hawk/,1.5,0
Springsteen: Deliver Me from Nowhere,2025,https://letterboxd.com/film/springsteen-deliver-me-from-nowhere/,2.5,0
After the Hunt,2025,https://letterboxd.com/film/after-the-hunt-2025/,2.5,0
No Other Choice,2025,https://letterboxd.com/film/no-other-choice-2025/,4.5,1
Hamnet,2025,https://letterboxd.com/film/hamnet/,5.0,1
Ballad of a Small Player,2025,https://letterboxd.com/film/ballad-of-a-small-player/,3.0,0
Jay Kelly,2025,https://letterboxd.com/film/jay-kelly/,3.5,0
Bugonia,2025,https://letterboxd.com/film/bugonia/,3.5,0
Megadoc,2025,https://letterboxd.com/film/megadoc/,3.5,0
The Roses,2025,https://letterboxd.com/film/the-roses-2025/,4.0,1
Caught Stealing,2025,https://letterboxd.com/film/caught-stealing/,3.0,0
Freakier Friday,2025,https://letterboxd.com/film/freakier-friday/,2.5,0
My Oxford Year,2025,https://letterboxd.com/film/my-oxford-year/,2.0,0
Weapons,2025,https://letterboxd.com/film/weapons-2025/,4.5,1
War of the Worlds,2025,https://letterboxd.com/film/war-of-the-worlds-2025/,0.5,0
undertone,2025,https://letterboxd.com/film/undertone-2025/,4.0,1
The Bad Guys 2,2025,https://letterboxd.com/film/the-bad-guys-2/,3.0,0
The Naked Gun,2025,https://letterboxd.com/film/the-naked-gun/,3.5,0
