title,year,url,user_rating,user_like
One Battle After Another,2025,https://letterboxd.com/film/one-battle-after-another/,4.5,1
Caught Stealing,2025,https://letterboxd.com/film/caught-stealing/,4.0,1
Happy Gilmore 2,2025,https://letterboxd.com/film/happy-gilmore-2/,3.0,1
The Fantastic 4: First Steps,2025,https://letterboxd.com/film/the-fantastic-4-first-steps/,3.5,1
Superman,2025,https://letterboxd.com/film/superman-2025/,4.0,1
Lilo & Stitch,2025,https://letterboxd.com/film/lilo-stitch-2025/,2.5,0
Bring Her Back,2025,https://letterboxd.com/film/bring-her-back/,3.5,1
Mission: Impossible – The Final Reckoning,2025,https://letterboxd.com/film/mission-impossible-the-final-reckoning/,4.0,1
Thunderbolts*,2025,https://letterboxd.com/film/thunderbolts/,4.0,1
Sinners,2025,https://letterboxd.com/film/sinners-2025/,4.5,1
A Minecraft Movie,2025,https://letterboxd.com/film/a-minecraft-movie/,2.5,1
Snow White,2025,https://letterboxd.com/film/snow-white-2025/,1.0,0
Mickey 17,2025,https://letterboxd.com/film/mickey-17/,4.0,1
Captain America: Brave New World,2025,https://letterboxd.com/film/captain-america-brave-new-world/,2.5,0
A Complete Unknown,2024,https://letterboxd.com/film/a-complete-unknown/,3.5,1
Sonic the Hedgehog 3,2024,https://letterboxd.com/film/sonic-the-hedgehog-3/,3.0,1
Nosferatu,2024,https://letterboxd.com/film/nosferatu-2024/,4.5,1
Wallace & Gromit: Vengeance Most Fowl,2024,https://letterboxd.com/film/wallace-gromit-vengeance-most-fowl/,4.0,1
Wicked,2024,https://letterboxd.com/film/wicked-2024/,3.5,1
Mr. Crocket,2024,https://letterboxd.com/film/mr-crocket-2024/,2.5,1
Heretic,2024,https://letterboxd.com/film/heretic-2024/,3.0,1
Joker: Folie à Deux,2024,https://letterboxd.com/film/joker-folie-a-deux/,2.0,1
Conclave,2024,https://letterboxd.com/film/conclave/,4.0,1
Beetlejuice Beetlejuice,2024,https://letterboxd.com/film/beetlejuice-beetlejuice/,3.0,1
Rebel Ridge,2024,https://letterboxd.com/film/rebel-ridge/,3.5,1
Deadpool & Wolverine,2024,https://letterboxd.com/film/deadpool-wolverine/,3.5,1
Longlegs,2024,https://letterboxd.com/film/longlegs/,4.0,1
Twisters,2024,https://letterboxd.com/film/twisters/,3.0,1
Memoir of a Snail,2024,https://letterboxd.com/film/memoir-of-a-snail/,4.0,1
Inside Out 2,2024,https://letterboxd.com/film/inside-out-2-2024/,3.0,1
The Substance,2024,https://letterboxd.com/film/the-substance/,3.5,1
