title,year,url,user_rating,user_like
Avatar: Fire and Ash,2025,https://letterboxd.com/film/avatar-fire-and-ash/,5.0,1
Is This Thing On?,2025,https://letterboxd.com/film/is-this-thing-on-2025/,4.5,1
Marty Supreme,2025,https://letterboxd.com/film/marty-supreme/,5.0,1
Sundays,2025,https://letterboxd.com/film/sundays-2025/,5.0,1
One Battle After Another,2025,https://letterboxd.com/film/one-battle-after-another/,5.0,1
The Voice of Hind Rajab,2025,https://letterboxd.com/film/the-voice-of-hind-rajab/,5.0,0
The Testament of Ann Lee,2025,https://letterboxd.com/film/the-testament-of-ann-lee/,4.5,1
Rose of Nevada,2025,https://letterboxd.com/film/rose-of-nevada/,4.5,1
No Other Choice,2025,https://letterboxd.com/film/no-other-choice-2025/,5.0,1
Jay Kelly,2025,https://letterboxd.com/film/jay-kelly/,5.0,1
Weapons,2025,https://letterboxd.com/film/weapons-2025/,5.0,1
Superman,2025,https://letterboxd.com/film/superman-2025/,4.5,1
The Mastermind,2025,https://letterboxd.com/film/the-mastermind-2025/,5.0,1
Sentimental Value,2025,https://letterboxd.com/film/sentimental-value-2025/,5.0,1
It Was Just an Accident,2025,https://letterboxd.com/film/it-was-just-an-accident/,5.0,1
Splitsville,2025,https://letterboxd.com/film/splitsville/,4.5,1
The Secret Agent,2025,https://letterboxd.com/film/the-secret-agent-2025/,4.5,1
The Phoenician Scheme,2025,https://letterboxd.com/film/the-phoenician-scheme/,4.5,1
Miroirs No. 3,2025,https://letterboxd.com/film/miroirs-no-3/,5.0,1
Nouvelle Vague,2025,https://letterboxd.com/film/nouvelle-vague-2025/,4.5,1
Urchin,2025,https://letterboxd.com/film/urchin-2025/,4.5,1
Die My Love,2025,https://letterboxd.com/film/die-my-love/,4.5,1
Sirāt,2025,https://letterboxd.com/film/sirat-2025/,0.5,0
Mission: Impossible – The Final Reckoning,2025,https://letterboxd.com/film/mission-impossible-the-final-reckoning/,5.0,1
Dying for Sex,2025,https://letterboxd.com/film/dying-for-sex/,5.0,1
Nirvanna the Band the Show the Movie,2025,https://letterboxd.com/film/nirvanna-the-band-the-show-the-movie/,5.0,1
Black Bag,2025,https://letterboxd.com/film/black-bag-2025/,4.5,1
The Baltimorons,2025,https://letterboxd.com/film/the-baltimorons/,4.5,1
"Sorry, Baby",2025,https://letterboxd.com/film/sorry-baby-2025/,5.0,1
Atropia,2025,https://letterboxd.com/film/atropia/,5.0,1
Nosferatu,2024,https://letterboxd.com/film/nosferatu-2024/,4.5,1
Hard Truths,2024,https://letterboxd.com/film/hard-truths-2024/,4.5,1
The Exiles,2024,https://letterboxd.com/film/the-exiles-2024/,5.0,1
Pavements,2024,https://letterboxd.com/film/pavements/,4.5,1
Queer,2024,https://letterboxd.com/film/queer-2024/,5.0,1
I'm Still Here,2024,https://letterboxd.com/film/im-still-here-2024/,4.5,1
The Brutalist,2024,https://letterboxd.com/film/the-brutalist/,5.0,1
Babygirl,2024,https://letterboxd.com/film/babygirl-2024/,5.0,1
Trap,2024,https://letterboxd.com/film/trap-2024/,5.0,1
MaXXXine,2024,https://letterboxd.com/film/maxxxine/,0.5,0
Anora,2024,https://letterboxd.com/film/anora/,5.0,1
The Shrouds,2024,https://letterboxd.com/film/the-shrouds/,5.0,1
Kinds of Kindness,2024,https://letterboxd.com/film/kinds-of-kindness/,4.5,1
Challengers,2024,https://letterboxd.com/film/challengers/,5.0,1
Dune: Part Two,2024,https://letterboxd.com/film/dune-part-two/,5.0,1
Love Lies Bleeding,2024,https://letterboxd.com/film/love-lies-bleeding-2024/,4.5,1
Between the Temples,2024,https://letterboxd.com/film/between-the-temples/,4.5,1
I Saw the TV Glow,2024,https://letterboxd.com/film/i-saw-the-tv-glow/,4.5,1
The Iron Claw,2023,https://letterboxd.com/film/the-iron-claw-2023/,5.0,1
Alemania,2023,https://letterboxd.com/film/alemania-2023/,5.0,1
The Nun II,2023,https://letterboxd.com/film/the-nun-ii/,0.5,0
Hit Man,2023,https://letterboxd.com/film/hit-man-2023/,5.0,1
Evil Does Not Exist,2023,https://letterboxd.com/film/evil-does-not-exist/,5.0,1
Priscilla,2023,https://letterboxd.com/film/priscilla/,5.0,1
The Beast,2023,https://letterboxd.com/film/the-beast-2023-1/,5.0,1
AGGRO DR1FT,2023,https://letterboxd.com/film/aggro-dr1ft/,5.0,1
Poor Things,2023,https://letterboxd.com/film/poor-things-2023/,5.0,1
Saltburn,2023,https://letterboxd.com/film/saltburn/,0.5,0
Oppenheimer,2023,https://letterboxd.com/film/oppenheimer-2023/,5.0,1
Mission: Impossible – Dead Reckoning,2023,https://letterboxd.com/film/mission-impossible-dead-reckoning/,5.0,1
La Chimera,2023,https://letterboxd.com/film/la-chimera/,5.0,1
Perfect Days,2023,https://letterboxd.com/film/perfect-days-2023/,5.0,1
Fallen Leaves,2023,https://letterboxd.com/film/fallen-leaves-2023/,5.0,1
Asteroid City,2023,https://letterboxd.com/film/asteroid-city/,5.0,1
Anatomy of a Fall,2023,https://letterboxd.com/film/anatomy-of-a-fall/,5.0,1
May December,2023,https://letterboxd.com/film/may-december/,5.0,1
Killers of the Flower Moon,2023,https://letterboxd.com/film/killers-of-the-flower-moon/,5.0,1
The Zone of Interest,2023,https://letterboxd.com/film/the-zone-of-interest/,5.0,1
The Sweet East,2023,https://letterboxd.com/film/the-sweet-east/,4.5,1
Beau Is Afraid,2023,https://letterboxd.com/film/beau-is-afraid/,0.5,0
