title,year,url,user_rating,user_like
The Drama,2026,https://letterboxd.com/film/the-drama/,4.0,1
I Love Boosters,2026,https://letterboxd.com/film/i-love-boosters/,4.5,1
Project Hail Mary,2026,https://letterboxd.com/film/project-hail-mary/,4.0,1
Buddy,2026,https://letterboxd.com/film/buddy-2026/,3.5,1
The Woman in Cabin 10,2025,https://letterboxd.com/film/the-woman-in-cabin-10/,2.0,0
Marty Supreme,2025,https://letterboxd.com/film/marty-supreme/,4.5,1
Chainsaw Man – The Movie: Reze Arc,2025,https://letterboxd.com/film/chainsaw-man-the-movie-reze-arc/,4.0,1
The Long Walk,2025,https://letterboxd.com/film/the-long-walk-2025/,3.0,0
One Battle After Another,2025,https://letterboxd.com/film/one-battle-after-another/,5.0,1
Wake Up Dead Man,2025,https://letterboxd.com/film/wake-up-dead-man/,4.5,1
Erupcja,2025,https://letterboxd.com/film/erupcja/,4.0,1
The Conjuring: Last Rites,2025,https://letterboxd.com/film/the-conjuring-last-rites/,3.0,0
Hamnet,2025,https://letterboxd.com/film/hamnet/,4.5,1
Bugonia,2025,https://letterboxd.com/film/bugonia/,4.5,1
Weapons,2025,https://letterboxd.com/film/weapons-2025/,4.0,1
Superman,2025,https://letterboxd.com/film/superman-2025/,4.0,1
"Our Hero, Balthazar",2025,https://letterboxd.com/film/our-hero-balthazar/,3.0,0
Honey Don't!,2025,https://letterboxd.com/film/honey-dont/,2.5,1
Sentimental Value,2025,https://letterboxd.com/film/sentimental-value-2025/,5.0,1
Alpha,2025,https://letterboxd.com/film/alpha-2025/,3.0,1
Die My Love,2025,https://letterboxd.com/film/die-my-love/,4.0,1
Eddington,2025,https://letterboxd.com/film/eddington/,3.0,0
Bring Her Back,2025,https://letterboxd.com/film/bring-her-back/,3.0,0
Sinners,2025,https://letterboxd.com/film/sinners-2025/,5.0,1
Death of a Unicorn,2025,https://letterboxd.com/film/death-of-a-unicorn/,2.5,1
"Sorry, Baby",2025,https://letterboxd.com/film/sorry-baby-2025/,5.0,1
Train Dreams,2025,https://letterboxd.com/film/train-dreams/,3.5,0
Twinless,2025,https://letterboxd.com/film/twinless/,4.0,1
Paddington in Peru,2024,https://letterboxd.com/film/paddington-in-peru/,3.0,1
Lost & Found in Cleveland,2024,https://letterboxd.com/film/lost-found-in-cleveland/,2.5,0
The Life of Chuck,2024,https://letterboxd.com/film/the-life-of-chuck/,3.0,1
The Last Showgirl,2024,https://letterboxd.com/film/the-last-showgirl/,3.0,1
The Brutalist,2024,https://letterboxd.com/film/the-brutalist/,4.0,1
Saturday Night,2024,https://letterboxd.com/film/saturday-night-2024/,3.0,1
Nickel Boys,2024,https://letterboxd.com/film/nickel-boys/,4.5,1
Conclave,2024,https://letterboxd.com/film/conclave/,4.0,1
My Hero Academia: You're Next,2024,https://letterboxd.com/film/my-hero-academia-youre-next/,3.0,1
Shelby Oaks,2024,https://letterboxd.com/film/shelby-oaks/,3.0,0
Longlegs,2024,https://letterboxd.com/film/longlegs/,3.5,1
Flow,2024,https://letterboxd.com/film/flow-2024/,4.5,1
Anora,2024,https://letterboxd.com/film/anora/,4.0,1
The Substance,2024,https://letterboxd.com/film/the-substance/,4.0,1
Challengers,2024,https://letterboxd.com/film/challengers/,4.0,1
Civil War,2024,https://letterboxd.com/film/civil-war-2024/,4.5,1
Y2K,2024,https://letterboxd.com/film/y2k-2024/,2.5,1
Dune: Part Two,2024,https://letterboxd.com/film/dune-part-two/,4.5,1
A Real Pain,2024,https://letterboxd.com/film/a-real-pain/,3.0,1
Dìdi (弟弟),2024,https://letterboxd.com/film/didi-2024/,3.5,1
Little Death,2024,https://letterboxd.com/film/little-death-2024/,2.5,0
Between the Temples,2024,https://letterboxd.com/film/between-the-temples/,3.0,1
I Saw the TV Glow,2024,https://letterboxd.com/film/i-saw-the-tv-glow/,4.0,1
Your Monster,2024,https://letterboxd.com/film/your-monster-2024/,4.0,1
Thelma,2024,https://letterboxd.com/film/thelma-2024/,4.0,1
The Hunger Games: The Ballad of Songbirds & Snakes,2023,https://letterboxd.com/film/the-hunger-games-the-ballad-of-songbirds-snakes/,3.0,1
Taylor Swift: The Eras Tour,2023,https://letterboxd.com/film/taylor-swift-the-eras-tour/,5.0,1
