title,year,url,user_rating,user_like
The Drama,2026,https://letterboxd.com/film/the-drama/,4.0,1
Project Hail Mary,2026,https://letterboxd.com/film/project-hail-mary/,5.0,1
The Rip,2026,https://letterboxd.com/film/the-rip-2026/,2.0,0
Five Nights at Freddy's 2,2025,https://letterboxd.com/film/five-nights-at-freddys-2/,3.0,0
The Running Man,2025,https://letterboxd.com/film/the-running-man-2025/,3.5,0
Marty Supreme,2025,https://letterboxd.com/film/marty-supreme/,4.5,1
One Battle After Another,2025,https://letterboxd.com/film/one-battle-after-another/,5.0,1
The Long Walk,2025,https://letterboxd.com/film/the-long-walk-2025/,2.0,0
Wake Up Dead Man,2025,https://letterboxd.com/film/wake-up-dead-man/,3.0,0
Frankenstein,2025,https://letterboxd.com/film/frankenstein-2025/,4.0,1
No Other Choice,2025,https://letterboxd.com/film/no-other-choice-2025/,3.5,1
Weapons,2025,https://letterboxd.com/film/weapons-2025/,3.0,0
The Fantastic 4: First Steps,2025,https://letterboxd.com/film/the-fantastic-4-first-steps/,3.0,0
Superman,2025,https://letterboxd.com/film/superman-2025/,2.5,0
28 Years Later,2025,https://letterboxd.com/film/28-years-later/,2.5,0
F1,2025,https://letterboxd.com/film/f1/,2.0,0
Ballerina,2025,https://letterboxd.com/film/ballerina-2025/,4.0,1
Sentimental Value,2025,https://letterboxd.com/film/sentimental-value-2025/,4.5,1
Die My Love,2025,https://letterboxd.com/film/die-my-love/,3.0,0
Mission: Impossible – The Final Reckoning,2025,https://letterboxd.com/film/mission-impossible-the-final-reckoning/,4.0,1
Louis Theroux: The Settlers,2025,https://letterboxd.com/film/louis-theroux-the-settlers/,5.0,1
Sinners,2025,https://letterboxd.com/film/sinners-2025/,4.0,1
Mickey 17,2025,https://letterboxd.com/film/mickey-17/,3.5,1
Together,2025,https://letterboxd.com/film/together-2025/,3.5,0
Companion,2025,https://letterboxd.com/film/companion-2025/,3.5,0
Nosferatu,2024,https://letterboxd.com/film/nosferatu-2024/,5.0,1
Wallace & Gromit: Vengeance Most Fowl,2024,https://letterboxd.com/film/wallace-gromit-vengeance-most-fowl/,5.0,1
Gladiator II,2024,https://letterboxd.com/film/gladiator-ii/,3.5,1
Wicked,2024,https://letterboxd.com/film/wicked-2024/,2.0,0
Smile 2,2024,https://letterboxd.com/film/smile-2-2024/,2.5,0
The Last Showgirl,2024,https://letterboxd.com/film/the-last-showgirl/,3.0,0
Babygirl,2024,https://letterboxd.com/film/babygirl-2024/,3.0,1
Better Man,2024,https://letterboxd.com/film/better-man-2024/,3.5,1
Conclave,2024,https://letterboxd.com/film/conclave/,4.0,1
Beetlejuice Beetlejuice,2024,https://letterboxd.com/film/beetlejuice-beetlejuice/,3.5,1
Alien: Romulus,2024,https://letterboxd.com/film/alien-romulus/,3.0,0
Trap,2024,https://letterboxd.com/film/trap-2024/,4.0,1
Twisters,2024,https://letterboxd.com/film/twisters/,3.0,0
Longlegs,2024,https://letterboxd.com/film/longlegs/,3.0,0
A Quiet Place: Day One,2024,https://letterboxd.com/film/a-quiet-place-day-one/,4.0,1
MaXXXine,2024,https://letterboxd.com/film/maxxxine/,2.0,0
Anora,2024,https://letterboxd.com/film/anora/,4.0,1
The Substance,2024,https://letterboxd.com/film/the-substance/,4.5,1
Challengers,2024,https://letterboxd.com/film/challengers/,5.0,1
Godzilla × Kong: The New Empire,2024,https://letterboxd.com/film/godzilla-kong-the-new-empire/,1.5,0
Dune: Part Two,2024,https://letterboxd.com/film/dune-part-two/,4.0,0
Lisa Frankenstein,2024,https://letterboxd.com/film/lisa-frankenstein/,4.0,1
A Real Pain,2024,https://letterboxd.com/film/a-real-pain/,5.0,1
Love Lies Bleeding,2024,https://letterboxd.com/film/love-lies-bleeding-2024/,4.5,1
Presence,2024,https://letterboxd.com/film/presence-2024/,3.0,0
Kneecap,2024,https://letterboxd.com/film/kneecap/,5.0,1
I Saw the TV Glow,2024,https://letterboxd.com/film/i-saw-the-tv-glow/,5.0,1
Wonka,2023,https://letterboxd.com/film/wonka/,2.5,0
Godzilla Minus One,2023,https://letterboxd.com/film/godzilla-minus-one/,4.5,1
Five Nights at Freddy's,2023,https://letterboxd.com/film/five-nights-at-freddys/,3.0,0
The Nun II,2023,https://letterboxd.com/film/the-nun-ii/,2.0,0
Hit Man,2023,https://letterboxd.com/film/hit-man-2023/,3.0,0
Poor Things,2023,https://letterboxd.com/film/poor-things-2023/,4.0,0
The Holdovers,2023,https://letterboxd.com/film/the-holdovers/,5.0,1
Saltburn,2023,https://letterboxd.com/film/saltburn/,3.5,1
The Bikeriders,2023,https://letterboxd.com/film/the-bikeriders/,3.5,1
Oppenheimer,2023,https://letterboxd.com/film/oppenheimer-2023/,4.0,1
Barbie,2023,https://letterboxd.com/film/barbie/,5.0,1
Mission: Impossible – Dead Reckoning,2023,https://letterboxd.com/film/mission-impossible-dead-reckoning/,4.0,1
La Chimera,2023,https://letterboxd.com/film/la-chimera/,4.0,0
Anatomy of a Fall,2023,https://letterboxd.com/film/anatomy-of-a-fall/,4.0,0
Guardians of the Galaxy Vol. 3,2023,https://letterboxd.com/film/guardians-of-the-galaxy-vol-3/,4.5,1
Evil Dead Rise,2023,https://letterboxd.com/film/evil-dead-rise/,4.0,1
Bottoms,2023,https://letterboxd.com/film/bottoms/,5.0,1
Scream VI,2023,https://letterboxd.com/film/scream-vi/,5.0,1
John Wick: Chapter 4,2023,https://letterboxd.com/film/john-wick-chapter-4/,4.0,1
M3GAN,2022,https://letterboxd.com/film/m3gan/,2.0,0
Letters to Santa 5,2022,https://letterboxd.com/film/letters-to-santa-5/,2.5,0
Black Panther: Wakanda Forever,2022,https://letterboxd.com/film/black-panther-wakanda-forever/,3.0,0
Halloween Ends,2022,https://letterboxd.com/film/halloween-ends/,1.0,0
Smile,2022,https://letterboxd.com/film/smile-2022/,2.0,0
Do Revenge,2022,https://letterboxd.com/film/do-revenge/,3.5,1
The Menu,2022,https://letterboxd.com/film/the-menu-2022/,3.0,0
Glass Onion,2022,https://letterboxd.com/film/glass-onion/,3.5,1
Pearl,2022,https://letterboxd.com/film/pearl-2022/,3.5,1
Athena,2022,https://letterboxd.com/film/athena-2022-1/,3.5,0
Barbarian,2022,https://letterboxd.com/film/barbarian-2022/,3.0,0
Bullet Train,2022,https://letterboxd.com/film/bullet-train/,4.0,1
Nope,2022,https://letterboxd.com/film/nope/,4.5,1
Minions: The Rise of Gru,2022,https://letterboxd.com/film/minions-the-rise-of-gru/,3.0,0
Aftersun,2022,https://letterboxd.com/film/aftersun/,4.5,1
Top Gun: Maverick,2022,https://letterboxd.com/film/top-gun-maverick/,5.0,1
Doctor Strange in the Multiverse of Madness,2022,https://letterboxd.com/film/doctor-strange-in-the-multiverse-of-madness/,4.0,0
Bodies Bodies Bodies,2022,https://letterboxd.com/film/bodies-bodies-bodies/,3.0,0
X,2022,https://letterboxd.com/film/x-2022/,4.0,1
Everything Everywhere All at Once,2022,https://letterboxd.com/film/everything-everywhere-all-at-once/,4.5,1
The Batman,2022,https://letterboxd.com/film/the-batman/,4.5,1
Fresh,2022,https://letterboxd.com/film/fresh-2022/,4.0,1
Scream,2022,https://letterboxd.com/film/scream-2022/,4.5,1
West Side Story,2021,https://letterboxd.com/film/west-side-story-2021/,4.5,1
No Time to Die,2021,https://letterboxd.com/film/no-time-to-die-2021/,3.0,0
The Black Phone,2021,https://letterboxd.com/film/the-black-phone/,2.5,0
Halloween Kills,2021,https://letterboxd.com/film/halloween-kills/,2.5,0
Dune,2021,https://letterboxd.com/film/dune-2021/,4.0,1
Malignant,2021,https://letterboxd.com/film/malignant-2021/,4.0,1
Candyman,2021,https://letterboxd.com/film/candyman-2021/,2.0,0
Free Guy,2021,https://letterboxd.com/film/free-guy/,2.5,0
Fear Street: 1994,2021,https://letterboxd.com/film/fear-street-1994/,1.5,0
Godzilla vs. Kong,2021,https://letterboxd.com/film/godzilla-vs-kong/,1.5,0
The Prom,2020,https://letterboxd.com/film/the-prom-2020/,2.5,0
Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,2020,https://letterboxd.com/film/borat-subsequent-moviefilm-delivery-of-prodigious/,3.0,0
Freaky,2020,https://letterboxd.com/film/freaky/,3.5,1
The Devil All the Time,2020,https://letterboxd.com/film/the-devil-all-the-time/,3.0,0
Host,2020,https://letterboxd.com/film/host-2020/,3.5,1
Eurovision Song Contest: The Story of Fire Saga,2020,https://letterboxd.com/film/eurovision-song-contest-the-story-of-fire-saga/,2.0,0
The Hunt,2020,https://letterboxd.com/film/the-hunt-2020/,1.5,0
A Quiet Place Part II,2020,https://letterboxd.com/film/a-quiet-place-part-ii/,4.5,1
Emma.,2020,https://letterboxd.com/film/emma-2020/,5.0,1
Palm Springs,2020,https://letterboxd.com/film/palm-springs-2020/,4.0,1
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,https://letterboxd.com/film/birds-of-prey-and-the-fantabulous-emancipation-of-one-harley-quinn/,4.5,1
Cats,2019,https://letterboxd.com/film/cats-2019/,1.0,0
Star Wars: The Rise of Skywalker,2019,https://letterboxd.com/film/star-wars-the-rise-of-skywalker/,2.0,0
Little Women,2019,https://letterboxd.com/film/little-women-2019/,5.0,1
1917,2019,https://letterboxd.com/film/1917/,3.0,0
Doctor Sleep,2019,https://letterboxd.com/film/doctor-sleep/,4.0,1
El Camino: A Breaking Bad Movie,2019,https://letterboxd.com/film/el-camino-a-breaking-bad-movie/,3.0,0
Zombieland: Double Tap,2019,https://letterboxd.com/film/zombieland-double-tap/,3.0,0
The Irishman,2019,https://letterboxd.com/film/the-irishman-2019/,4.0,1
Knives Out,2019,https://letterboxd.com/film/knives-out-2019/,4.0,1
Sound of Metal,2019,https://letterboxd.com/film/sound-of-metal/,4.0,1
Hustlers,2019,https://letterboxd.com/film/hustlers-2019/,4.5,1
Rocks,2019,https://letterboxd.com/film/rocks-2019/,4.5,1
Joker,2019,https://letterboxd.com/film/joker-2019/,1.0,0
Uncut Gems,2019,https://letterboxd.com/film/uncut-gems/,4.0,1
Marriage Story,2019,https://letterboxd.com/film/marriage-story-2019/,4.5,1
It Chapter Two,2019,https://letterboxd.com/film/it-chapter-two/,3.5,1
Ready or Not,2019,https://letterboxd.com/film/ready-or-not-2019/,4.0,1
The Lion King,2019,https://letterboxd.com/film/the-lion-king-2019/,2.0,0
Spider-Man: Far From Home,2019,https://letterboxd.com/film/spider-man-far-from-home/,4.0,1
Child's Play,2019,https://letterboxd.com/film/childs-play-2019/,4.0,1
Midsommar,2019,https://letterboxd.com/film/midsommar/,4.0,1
Toy Story 4,2019,https://letterboxd.com/film/toy-story-4/,4.0,1
Once Upon a Time... in Hollywood,2019,https://letterboxd.com/film/once-upon-a-time-in-hollywood/,4.0,1
Parasite,2019,https://letterboxd.com/film/parasite-2019/,5.0,1
The Lighthouse,2019,https://letterboxd.com/film/the-lighthouse-2019/,4.0,1
Portrait of a Lady on Fire,2019,https://letterboxd.com/film/portrait-of-a-lady-on-fire/,4.5,1
Rocketman,2019,https://letterboxd.com/film/rocketman-2019/,3.0,0
John Wick: Chapter 3 – Parabellum,2019,https://letterboxd.com/film/john-wick-chapter-3-parabellum/,4.5,1
Aladdin,2019,https://letterboxd.com/film/aladdin-2019/,2.5,0
Yesterday,2019,https://letterboxd.com/film/yesterday-2019/,2.0,0
Avengers: Endgame,2019,https://letterboxd.com/film/avengers-endgame/,3.5,1
The Dirt,2019,https://letterboxd.com/film/the-dirt/,3.0,0
Booksmart,2019,https://letterboxd.com/film/booksmart/,5.0,1
Us,2019,https://letterboxd.com/film/us-2019/,3.5,0
Captain Marvel,2019,https://letterboxd.com/film/captain-marvel/,3.5,1
Selah and the Spades,2019,https://letterboxd.com/film/selah-and-the-spades/,2.5,0
Velvet Buzzsaw,2019,https://letterboxd.com/film/velvet-buzzsaw/,2.0,0
The Last Black Man in San Francisco,2019,https://letterboxd.com/film/the-last-black-man-in-san-francisco/,4.5,1
Black Mirror: Bandersnatch,2018,https://letterboxd.com/film/black-mirror-bandersnatch/,4.0,0
Spider-Man: Into the Spider-Verse,2018,https://letterboxd.com/film/spider-man-into-the-spider-verse/,5.0,1
Aquaman,2018,https://letterboxd.com/film/aquaman-2018/,2.0,0
Bird Box,2018,https://letterboxd.com/film/bird-box/,3.0,0
Bohemian Rhapsody,2018,https://letterboxd.com/film/bohemian-rhapsody/,2.0,0
Venom,2018,https://letterboxd.com/film/venom-2018/,4.0,1
Green Book,2018,https://letterboxd.com/film/green-book/,3.0,0
Halloween,2018,https://letterboxd.com/film/halloween-2018/,3.5,1
Beautiful Boy,2018,https://letterboxd.com/film/beautiful-boy-2018/,2.5,0
The Nun,2018,https://letterboxd.com/film/the-nun-2018/,1.5,0
A Star Is Born,2018,https://letterboxd.com/film/a-star-is-born-2018/,4.0,0
The Favourite,2018,https://letterboxd.com/film/the-favourite/,5.0,1
Roma,2018,https://letterboxd.com/film/roma-2018/,5.0,1
First Man,2018,https://letterboxd.com/film/first-man/,4.0,1
To All the Boys I've Loved Before,2018,https://letterboxd.com/film/to-all-the-boys-ive-loved-before/,4.0,1
Crazy Rich Asians,2018,https://letterboxd.com/film/crazy-rich-asians/,3.5,0
Mission: Impossible – Fallout,2018,https://letterboxd.com/film/mission-impossible-fallout/,4.0,1
Mamma Mia! Here We Go Again,2018,https://letterboxd.com/film/mamma-mia-here-we-go-again/,5.0,1
Ant-Man and the Wasp,2018,https://letterboxd.com/film/ant-man-and-the-wasp/,3.5,1
Incredibles 2,2018,https://letterboxd.com/film/incredibles-2/,3.0,0
Deadpool 2,2018,https://letterboxd.com/film/deadpool-2/,2.5,0
BlacKkKlansman,2018,https://letterboxd.com/film/blackkklansman/,4.5,1
Climax,2018,https://letterboxd.com/film/climax-2018/,4.5,1
Shoplifters,2018,https://letterboxd.com/film/shoplifters/,4.5,1
Cold War,2018,https://letterboxd.com/film/cold-war-2018/,4.5,1
