title,year,url,user_rating,user_like
Priscilla,2023,https://letterboxd.com/film/priscilla/,5.0,0
Spider-Man: Across the Spider-Verse,2023,https://letterboxd.com/film/spider-man-across-the-spider-verse/,5.0,1
John Mulaney: Baby J,2023,https://letterboxd.com/film/john-mulaney-baby-j/,2.0,0
Guardians of the Galaxy Vol. 3,2023,https://letterboxd.com/film/guardians-of-the-galaxy-vol-3/,5.0,1
Evil Dead Rise,2023,https://letterboxd.com/film/evil-dead-rise/,5.0,1
Swarm,2023,https://letterboxd.com/film/swarm-2023-1/,4.0,1
Tetris,2023,https://letterboxd.com/film/tetris/,3.5,1
Shazam! Fury of the Gods,2023,https://letterboxd.com/film/shazam-fury-of-the-gods/,2.0,0
Dungeons & Dragons: Honor Among Thieves,2023,https://letterboxd.com/film/dungeons-dragons-honor-among-thieves/,4.0,1
John Wick: Chapter 4,2023,https://letterboxd.com/film/john-wick-chapter-4/,5.0,1
Scream VI,2023,https://letterboxd.com/film/scream-vi/,5.0,1
Luther: The Fallen Sun,2023,https://letterboxd.com/film/luther-the-fallen-sun/,3.0,1
Cocaine Bear,2023,https://letterboxd.com/film/cocaine-bear/,1.0,0
Creed III,2023,https://letterboxd.com/film/creed-iii/,4.0,1
Magic Mike's Last Dance,2023,https://letterboxd.com/film/magic-mikes-last-dance/,3.0,1
Knock at the Cabin,2023,https://letterboxd.com/film/knock-at-the-cabin/,5.0,1
Rye Lane,2023,https://letterboxd.com/film/rye-lane/,5.0,1
Infinity Pool,2023,https://letterboxd.com/film/infinity-pool/,4.0,1
Missing,2023,https://letterboxd.com/film/missing-2023/,3.0,0
Babylon,2022,https://letterboxd.com/film/babylon-2022/,5.0,1
M3GAN,2022,https://letterboxd.com/film/m3gan/,3.0,1
Avatar: The Way of Water,2022,https://letterboxd.com/film/avatar-the-way-of-water/,4.0,1
Violent Night,2022,https://letterboxd.com/film/violent-night/,1.0,0
Puss in Boots: The Last Wish,2022,https://letterboxd.com/film/puss-in-boots-the-last-wish/,4.0,1
The Guardians of the Galaxy Holiday Special,2022,https://letterboxd.com/film/the-guardians-of-the-galaxy-holiday-special/,3.0,1
Strange World,2022,https://letterboxd.com/film/strange-world-2022/,3.0,1
Suzume,2022,https://letterboxd.com/film/suzume/,5.0,1
Spirited,2022,https://letterboxd.com/film/spirited/,1.5,0
Black Panther: Wakanda Forever,2022,https://letterboxd.com/film/black-panther-wakanda-forever/,2.0,0
Guillermo del Toro's Pinocchio,2022,https://letterboxd.com/film/guillermo-del-toros-pinocchio/,5.0,1
Black Adam,2022,https://letterboxd.com/film/black-adam/,1.0,0
Halloween Ends,2022,https://letterboxd.com/film/halloween-ends/,4.0,1
Roald Dahl's Matilda the Musical,2022,https://letterboxd.com/film/roald-dahls-matilda-the-musical/,3.0,1
Hellraiser,2022,https://letterboxd.com/film/hellraiser-2022/,3.0,1
Werewolf by Night,2022,https://letterboxd.com/film/werewolf-by-night/,1.5,0
Smile,2022,https://letterboxd.com/film/smile-2022/,2.0,0
"Confess, Fletch",2022,https://letterboxd.com/film/confess-fletch/,3.5,1
V/H/S/99,2022,https://letterboxd.com/film/v-h-s-99/,3.0,1
Do Revenge,2022,https://letterboxd.com/film/do-revenge/,1.0,0
Sick,2022,https://letterboxd.com/film/sick-2022/,3.5,1
How to Blow Up a Pipeline,2022,https://letterboxd.com/film/how-to-blow-up-a-pipeline/,5.0,1
Glass Onion,2022,https://letterboxd.com/film/glass-onion/,4.0,1
The Fabelmans,2022,https://letterboxd.com/film/the-fabelmans/,5.0,1
The Menu,2022,https://letterboxd.com/film/the-menu-2022/,4.0,1
See How They Run,2022,https://letterboxd.com/film/see-how-they-run-2022/,4.0,1
The Woman King,2022,https://letterboxd.com/film/the-woman-king/,4.0,1
Ticket to Paradise,2022,https://letterboxd.com/film/ticket-to-paradise-2022/,3.5,1
Bros,2022,https://letterboxd.com/film/bros/,2.0,0
Blonde,2022,https://letterboxd.com/film/blonde-2022/,1.0,0
The Banshees of Inisherin,2022,https://letterboxd.com/film/the-banshees-of-inisherin/,5.0,1
Don't Worry Darling,2022,https://letterboxd.com/film/dont-worry-darling/,1.5,0
Pearl,2022,https://letterboxd.com/film/pearl-2022/,4.0,1
Bones and All,2022,https://letterboxd.com/film/bones-and-all/,5.0,1
TÁR,2022,https://letterboxd.com/film/tar-2022/,4.0,1
Barbarian,2022,https://letterboxd.com/film/barbarian-2022/,4.0,1
The Invitation,2022,https://letterboxd.com/film/the-invitation-2022-1/,3.0,1
Beast,2022,https://letterboxd.com/film/beast-2022-1/,3.0,1
Prey,2022,https://letterboxd.com/film/prey-2022/,4.0,1
Not Okay,2022,https://letterboxd.com/film/not-okay/,2.0,0
Orphan: First Kill,2022,https://letterboxd.com/film/orphan-first-kill/,3.0,1
Skinamarink,2022,https://letterboxd.com/film/skinamarink/,4.0,1
Nope,2022,https://letterboxd.com/film/nope/,5.0,1
Bullet Train,2022,https://letterboxd.com/film/bullet-train/,1.0,0
The Gray Man,2022,https://letterboxd.com/film/the-gray-man-2022/,1.5,0
Minions: The Rise of Gru,2022,https://letterboxd.com/film/minions-the-rise-of-gru/,2.0,0
Thor: Love and Thunder,2022,https://letterboxd.com/film/thor-love-and-thunder/,0.5,0
The Princess,2022,https://letterboxd.com/film/the-princess-2022-1/,3.0,1
Spiderhead,2022,https://letterboxd.com/film/spiderhead/,2.0,0
Ms. Marvel,2022,https://letterboxd.com/film/ms-marvel/,2.0,0
Lightyear,2022,https://letterboxd.com/film/lightyear-2022/,1.5,0
The Bob's Burgers Movie,2022,https://letterboxd.com/film/the-bobs-burgers-movie/,3.5,1
Elvis,2022,https://letterboxd.com/film/elvis-2022/,4.0,1
Decision to Leave,2022,https://letterboxd.com/film/decision-to-leave/,5.0,1
Moonage Daydream,2022,https://letterboxd.com/film/moonage-daydream/,5.0,1
Jurassic World Dominion,2022,https://letterboxd.com/film/jurassic-world-dominion/,1.0,0
Crimes of the Future,2022,https://letterboxd.com/film/crimes-of-the-future-2022/,3.5,1
Aftersun,2022,https://letterboxd.com/film/aftersun/,5.0,1
Three Thousand Years of Longing,2022,https://letterboxd.com/film/three-thousand-years-of-longing/,4.0,1
Jackass 4.5,2022,https://letterboxd.com/film/jackass-45/,4.0,1
Men,2022,https://letterboxd.com/film/men-2022/,1.0,0
EO,2022,https://letterboxd.com/film/eo/,4.0,1
Top Gun: Maverick,2022,https://letterboxd.com/film/top-gun-maverick/,4.0,1
