title,year,url,user_rating,user_like
Pizza Movie,2026,https://letterboxd.com/film/pizza-movie-2026/,1.5,0
Project Hail Mary,2026,https://letterboxd.com/film/project-hail-mary/,3.5,0
The Bride!,2026,https://letterboxd.com/film/the-bride-2026/,2.5,0
Hoppers,2026,https://letterboxd.com/film/hoppers/,3.5,0
How to Make a Killing,2026,https://letterboxd.com/film/how-to-make-a-killing-2026/,2.5,0
War Machine,2026,https://letterboxd.com/film/war-machine-2026/,2.0,0
Wuthering Heights,2026,https://letterboxd.com/film/wuthering-heights-2026/,2.0,0
Send Help,2026,https://letterboxd.com/film/send-help/,4.0,0
Mercy,2026,https://letterboxd.com/film/mercy-2026/,1.0,0
The Rip,2026,https://letterboxd.com/film/the-rip-2026/,3.0,0
28 Years Later: The Bone Temple,2026,https://letterboxd.com/film/28-years-later-the-bone-temple/,3.5,0
Avatar: Fire and Ash,2025,https://letterboxd.com/film/avatar-fire-and-ash/,4.0,0
The Running Man,2025,https://letterboxd.com/film/the-running-man-2025/,2.5,0
Marty Supreme,2025,https://letterboxd.com/film/marty-supreme/,4.5,0
Anemone,2025,https://letterboxd.com/film/anemone-2025/,3.0,0
"Good Luck, Have Fun, Don't Die",2025,https://letterboxd.com/film/good-luck-have-fun-dont-die/,3.5,0
Primate,2025,https://letterboxd.com/film/primate-2025/,2.5,0
HIM,2025,https://letterboxd.com/film/him-2025/,2.0,0
The Strangers: Chapter 2,2025,https://letterboxd.com/film/the-strangers-chapter-2/,1.0,0
One Battle After Another,2025,https://letterboxd.com/film/one-battle-after-another/,5.0,0
I Swear,2025,https://letterboxd.com/film/i-swear/,3.5,0
Wake Up Dead Man,2025,https://letterboxd.com/film/wake-up-dead-man/,4.0,0
Heel,2025,https://letterboxd.com/film/the-good-boy-2025/,3.5,0
A House of Dynamite,2025,https://letterboxd.com/film/a-house-of-dynamite/,2.0,0
The Conjuring: Last Rites,2025,https://letterboxd.com/film/the-conjuring-last-rites/,3.0,0
Frankenstein,2025,https://letterboxd.com/film/frankenstein-2025/,3.0,0
Hamnet,2025,https://letterboxd.com/film/hamnet/,3.0,0
Ballad of a Small Player,2025,https://letterboxd.com/film/ballad-of-a-small-player/,2.0,0
Jay Kelly,2025,https://letterboxd.com/film/jay-kelly/,4.0,0
Bugonia,2025,https://letterboxd.com/film/bugonia/,4.0,0
Weapons,2025,https://letterboxd.com/film/weapons-2025/,4.5,0
War of the Worlds,2025,https://letterboxd.com/film/war-of-the-worlds-2025/,1.0,0
The Naked Gun,2025,https://letterboxd.com/film/the-naked-gun/,3.5,0
Happy Gilmore 2,2025,https://letterboxd.com/film/happy-gilmore-2/,1.5,0
The Fantastic 4: First Steps,2025,https://letterboxd.com/film/the-fantastic-4-first-steps/,3.0,0
Superman,2025,https://letterboxd.com/film/superman-2025/,3.0,0
28 Years Later,2025,https://letterboxd.com/film/28-years-later/,4.5,0
Jurassic World Rebirth,2025,https://letterboxd.com/film/jurassic-world-rebirth/,2.0,0
Echo Valley,2025,https://letterboxd.com/film/echo-valley/,3.0,0
Deep Cover,2025,https://letterboxd.com/film/deep-cover-2025/,3.0,0
The Mastermind,2025,https://letterboxd.com/film/the-mastermind-2025/,4.0,0
Ballerina,2025,https://letterboxd.com/film/ballerina-2025/,3.0,0
Sentimental Value,2025,https://letterboxd.com/film/sentimental-value-2025/,5.0,0
It Was Just an Accident,2025,https://letterboxd.com/film/it-was-just-an-accident/,4.0,0
Alpha,2025,https://letterboxd.com/film/alpha-2025/,3.5,0
Highest 2 Lowest,2025,https://letterboxd.com/film/highest-2-lowest/,3.0,0
The Phoenician Scheme,2025,https://letterboxd.com/film/the-phoenician-scheme/,3.0,0
Eddington,2025,https://letterboxd.com/film/eddington/,4.0,0
Bring Her Back,2025,https://letterboxd.com/film/bring-her-back/,2.5,0
Final Destination Bloodlines,2025,https://letterboxd.com/film/final-destination-bloodlines/,3.5,0
Mission: Impossible – The Final Reckoning,2025,https://letterboxd.com/film/mission-impossible-the-final-reckoning/,3.5,0
Sinners,2025,https://letterboxd.com/film/sinners-2025/,4.5,0
A Minecraft Movie,2025,https://letterboxd.com/film/a-minecraft-movie/,1.5,0
The Woman in the Yard,2025,https://letterboxd.com/film/the-woman-in-the-yard/,3.5,0
A Working Man,2025,https://letterboxd.com/film/a-working-man/,1.5,0
Black Bag,2025,https://letterboxd.com/film/black-bag-2025/,3.5,0
The Surrender,2025,https://letterboxd.com/film/the-surrender-2025/,2.5,0
Holland,2025,https://letterboxd.com/film/holland-2025/,1.5,0
Death of a Unicorn,2025,https://letterboxd.com/film/death-of-a-unicorn/,1.5,0
It Ends,2025,https://letterboxd.com/film/it-ends/,3.0,0
Marching Powder,2025,https://letterboxd.com/film/marching-powder/,1.0,0
In the Lost Lands,2025,https://letterboxd.com/film/in-the-lost-lands/,3.5,0
The Electric State,2025,https://letterboxd.com/film/the-electric-state/,0.5,0
Mickey 17,2025,https://letterboxd.com/film/mickey-17/,4.0,0
The Monkey,2025,https://letterboxd.com/film/the-monkey-2025/,1.0,0
Lurker,2025,https://letterboxd.com/film/lurker-2025/,3.5,0
"Sorry, Baby",2025,https://letterboxd.com/film/sorry-baby-2025/,4.0,0
Train Dreams,2025,https://letterboxd.com/film/train-dreams/,4.5,0
The Ballad of Wallis Island,2025,https://letterboxd.com/film/the-ballad-of-wallis-island/,4.0,0
The Ugly Stepsister,2025,https://letterboxd.com/film/the-ugly-stepsister/,3.5,0
A Complete Unknown,2024,https://letterboxd.com/film/a-complete-unknown/,3.5,0
The Lord of the Rings: The War of the Rohirrim,2024,https://letterboxd.com/film/the-lord-of-the-rings-the-war-of-the-rohirrim/,2.0,0
Nosferatu,2024,https://letterboxd.com/film/nosferatu-2024/,4.5,0
Wallace & Gromit: Vengeance Most Fowl,2024,https://letterboxd.com/film/wallace-gromit-vengeance-most-fowl/,4.0,0
Juror #2,2024,https://letterboxd.com/film/juror-2/,4.0,0
Here,2024,https://letterboxd.com/film/here-2024/,3.5,0
Gladiator II,2024,https://letterboxd.com/film/gladiator-ii/,3.5,0
Wicked,2024,https://letterboxd.com/film/wicked-2024/,3.0,0
Smile 2,2024,https://letterboxd.com/film/smile-2-2024/,2.5,0
Caddo Lake,2024,https://letterboxd.com/film/caddo-lake/,3.0,0
The Platform 2,2024,https://letterboxd.com/film/the-platform-2/,3.0,0
Daddy's Head,2024,https://letterboxd.com/film/daddys-head/,3.0,0
MadS,2024,https://letterboxd.com/film/mads/,3.5,0
Terrifier 3,2024,https://letterboxd.com/film/terrifier-3/,1.5,0
Bring Them Down,2024,https://letterboxd.com/film/bring-them-down/,3.5,0
Heretic,2024,https://letterboxd.com/film/heretic-2024/,3.0,0
Nightbitch,2024,https://letterboxd.com/film/nightbitch/,1.5,0
We Live in Time,2024,https://letterboxd.com/film/we-live-in-time/,2.5,0
Hard Truths,2024,https://letterboxd.com/film/hard-truths-2024/,5.0,1
Speak No Evil,2024,https://letterboxd.com/film/speak-no-evil-2024/,2.5,0
Joker: Folie à Deux,2024,https://letterboxd.com/film/joker-folie-a-deux/,1.5,0
Queer,2024,https://letterboxd.com/film/queer-2024/,4.5,0
The Room Next Door,2024,https://letterboxd.com/film/the-room-next-door-2024/,2.5,0
I'm Still Here,2024,https://letterboxd.com/film/im-still-here-2024/,4.0,0
The Brutalist,2024,https://letterboxd.com/film/the-brutalist/,3.5,0
The End,2024,https://letterboxd.com/film/the-end-2024/,4.5,0
Saturday Night,2024,https://letterboxd.com/film/saturday-night-2024/,2.0,0
Conclave,2024,https://letterboxd.com/film/conclave/,3.5,0
Babygirl,2024,https://letterboxd.com/film/babygirl-2024/,3.5,0
Nickel Boys,2024,https://letterboxd.com/film/nickel-boys/,4.0,0
Beetlejuice Beetlejuice,2024,https://letterboxd.com/film/beetlejuice-beetlejuice/,2.5,0
Rebel Ridge,2024,https://letterboxd.com/film/rebel-ridge/,3.0,0
Alien: Romulus,2024,https://letterboxd.com/film/alien-romulus/,2.5,0
Blink Twice,2024,https://letterboxd.com/film/blink-twice/,2.0,0
Shelby Oaks,2024,https://letterboxd.com/film/shelby-oaks/,2.5,0
Trap,2024,https://letterboxd.com/film/trap-2024/,4.0,0
Twisters,2024,https://letterboxd.com/film/twisters/,3.5,0
Longlegs,2024,https://letterboxd.com/film/longlegs/,4.0,0
A Quiet Place: Day One,2024,https://letterboxd.com/film/a-quiet-place-day-one/,3.0,0
MaXXXine,2024,https://letterboxd.com/film/maxxxine/,1.5,0
Inside Out 2,2024,https://letterboxd.com/film/inside-out-2-2024/,3.0,0
Anora,2024,https://letterboxd.com/film/anora/,4.0,0
The Substance,2024,https://letterboxd.com/film/the-substance/,4.0,0
Emilia Pérez,2024,https://letterboxd.com/film/emilia-perez/,1.0,0
"Oh, Canada",2024,https://letterboxd.com/film/oh-canada/,3.5,0
Kinds of Kindness,2024,https://letterboxd.com/film/kinds-of-kindness/,3.5,0
Bird,2024,https://letterboxd.com/film/bird-2024/,4.0,0
Megalopolis,2024,https://letterboxd.com/film/megalopolis-2024/,3.5,0
The Strangers: Chapter 1,2024,https://letterboxd.com/film/the-strangers-chapter-1/,1.5,0
Furiosa: A Mad Max Saga,2024,https://letterboxd.com/film/furiosa-a-mad-max-saga/,5.0,0
Kingdom of the Planet of the Apes,2024,https://letterboxd.com/film/kingdom-of-the-planet-of-the-apes/,4.0,0
Abigail,2024,https://letterboxd.com/film/abigail-2024/,2.5,0
Rebel Moon – Part Two: The Scargiver,2024,https://letterboxd.com/film/rebel-moon-part-two-the-scargiver/,1.5,0
Challengers,2024,https://letterboxd.com/film/challengers/,4.5,0
The First Omen,2024,https://letterboxd.com/film/the-first-omen/,4.0,0
Civil War,2024,https://letterboxd.com/film/civil-war-2024/,2.5,0
The Fall Guy,2024,https://letterboxd.com/film/the-fall-guy-2024/,2.0,0
Immaculate,2024,https://letterboxd.com/film/immaculate-2024/,2.5,0
Monkey Man,2024,https://letterboxd.com/film/monkey-man/,4.0,0
Oddity,2024,https://letterboxd.com/film/oddity-2024/,4.0,0
Road House,2024,https://letterboxd.com/film/road-house-2024/,2.5,0
Drive-Away Dolls,2024,https://letterboxd.com/film/drive-away-dolls/,2.5,0
Ricky Stanicky,2024,https://letterboxd.com/film/ricky-stanicky/,1.0,0
Spaceman,2024,https://letterboxd.com/film/spaceman-2024/,1.5,0
Small Things Like These,2024,https://letterboxd.com/film/small-things-like-these/,2.5,0
Madame Web,2024,https://letterboxd.com/film/madame-web/,1.5,0
Dune: Part Two,2024,https://letterboxd.com/film/dune-part-two/,5.0,0
Badland Hunters,2024,https://letterboxd.com/film/badland-hunters/,2.5,0
In a Violent Nature,2024,https://letterboxd.com/film/in-a-violent-nature/,2.5,0
A Real Pain,2024,https://letterboxd.com/film/a-real-pain/,3.5,0
Love Lies Bleeding,2024,https://letterboxd.com/film/love-lies-bleeding-2024/,3.5,0
Presence,2024,https://letterboxd.com/film/presence-2024/,3.0,0
It's What's Inside,2024,https://letterboxd.com/film/its-whats-inside/,2.0,0
Sasquatch Sunset,2024,https://letterboxd.com/film/sasquatch-sunset/,3.0,0
I Saw the TV Glow,2024,https://letterboxd.com/film/i-saw-the-tv-glow/,4.5,0
Kneecap,2024,https://letterboxd.com/film/kneecap/,4.0,0
The Beekeeper,2024,https://letterboxd.com/film/the-beekeeper-2024/,2.5,0
Night Swim,2024,https://letterboxd.com/film/night-swim-2024/,1.0,0
Rebel Moon – Part One: A Child of Fire,2023,https://letterboxd.com/film/rebel-moon-part-one-a-child-of-fire/,2.0,0
Wonka,2023,https://letterboxd.com/film/wonka/,4.5,0
Napoleon,2023,https://letterboxd.com/film/napoleon-2023/,3.0,0
The Iron Claw,2023,https://letterboxd.com/film/the-iron-claw-2023/,4.0,0
The Marvels,2023,https://letterboxd.com/film/the-marvels/,2.0,0
