title,year,url,user_rating,user_like
"You, Me & Tuscany",2026,https://letterboxd.com/film/you-me-tuscany/,3.5,1
Lee Cronin's The Mummy,2026,https://letterboxd.com/film/lee-cronins-the-mummy/,2.0,0
Faces of Death,2026,https://letterboxd.com/film/faces-of-death-2026/,3.0,1
The Drama,2026,https://letterboxd.com/film/the-drama/,4.0,1
Ready or Not 2: Here I Come,2026,https://letterboxd.com/film/ready-or-not-2-here-i-come/,2.5,0
Project Hail Mary,2026,https://letterboxd.com/film/project-hail-mary/,5.0,1
The Bride!,2026,https://letterboxd.com/film/the-bride-2026/,1.0,0
Scream 7,2026,https://letterboxd.com/film/scream-7/,3.0,1
How to Make a Killing,2026,https://letterboxd.com/film/how-to-make-a-killing-2026/,2.0,0
The Strangers: Chapter 3,2026,https://letterboxd.com/film/the-strangers-chapter-3/,0.5,0
Wuthering Heights,2026,https://letterboxd.com/film/wuthering-heights-2026/,3.5,0
The Moment,2026,https://letterboxd.com/film/the-moment-2026/,4.0,1
Send Help,2026,https://letterboxd.com/film/send-help/,4.0,1
28 Years Later: The Bone Temple,2026,https://letterboxd.com/film/28-years-later-the-bone-temple/,4.0,1
People We Meet on Vacation,2026,https://letterboxd.com/film/people-we-meet-on-vacation/,3.0,0
Five Nights at Freddy's 2,2025,https://letterboxd.com/film/five-nights-at-freddys-2/,1.0,0
The Housemaid,2025,https://letterboxd.com/film/the-housemaid-2025/,2.5,0
Avatar: Fire and Ash,2025,https://letterboxd.com/film/avatar-fire-and-ash/,2.0,0
Wicked: For Good,2025,https://letterboxd.com/film/wicked-for-good/,3.0,0
The Running Man,2025,https://letterboxd.com/film/the-running-man-2025/,3.0,0
The SpongeBob Movie: Search for SquarePants,2025,https://letterboxd.com/film/the-spongebob-movie-search-for-squarepants/,2.5,1
Our Fault,2025,https://letterboxd.com/film/our-fault/,1.0,0
Marty Supreme,2025,https://letterboxd.com/film/marty-supreme/,4.5,1
Dolly,2025,https://letterboxd.com/film/dolly-2025/,2.5,0
Black Phone 2,2025,https://letterboxd.com/film/black-phone-2/,2.0,0
Primate,2025,https://letterboxd.com/film/primate-2025/,2.0,0
HIM,2025,https://letterboxd.com/film/him-2025/,1.0,0
The Strangers: Chapter 2,2025,https://letterboxd.com/film/the-strangers-chapter-2/,2.0,0
One Battle After Another,2025,https://letterboxd.com/film/one-battle-after-another/,5.0,1
The Long Walk,2025,https://letterboxd.com/film/the-long-walk-2025/,3.0,0
Eternity,2025,https://letterboxd.com/film/eternity-2025-1/,3.5,0
Wake Up Dead Man,2025,https://letterboxd.com/film/wake-up-dead-man/,2.5,0
Obsession,2025,https://letterboxd.com/film/obsession-2025-2/,4.5,1
Rental Family,2025,https://letterboxd.com/film/rental-family-2025/,3.5,0
Sacrifice,2025,https://letterboxd.com/film/sacrifice-2025/,3.0,0
Roofman,2025,https://letterboxd.com/film/roofman/,3.0,0
Mile End Kicks,2025,https://letterboxd.com/film/mile-end-kicks/,3.0,1
Erupcja,2025,https://letterboxd.com/film/erupcja/,4.0,1
Dead Man's Wire,2025,https://letterboxd.com/film/dead-mans-wire/,4.0,1
The Conjuring: Last Rites,2025,https://letterboxd.com/film/the-conjuring-last-rites/,2.0,0
The Smashing Machine,2025,https://letterboxd.com/film/the-smashing-machine-2025/,3.0,0
The Testament of Ann Lee,2025,https://letterboxd.com/film/the-testament-of-ann-lee/,4.5,1
Frankenstein,2025,https://letterboxd.com/film/frankenstein-2025/,3.0,0
Springsteen: Deliver Me from Nowhere,2025,https://letterboxd.com/film/springsteen-deliver-me-from-nowhere/,3.0,0
After the Hunt,2025,https://letterboxd.com/film/after-the-hunt-2025/,3.5,0
No Other Choice,2025,https://letterboxd.com/film/no-other-choice-2025/,4.0,0
Hamnet,2025,https://letterboxd.com/film/hamnet/,5.0,1
Jay Kelly,2025,https://letterboxd.com/film/jay-kelly/,2.5,0
Bugonia,2025,https://letterboxd.com/film/bugonia/,3.5,0
The Roses,2025,https://letterboxd.com/film/the-roses-2025/,2.0,0
Caught Stealing,2025,https://letterboxd.com/film/caught-stealing/,3.0,0
Freakier Friday,2025,https://letterboxd.com/film/freakier-friday/,3.5,1
Weapons,2025,https://letterboxd.com/film/weapons-2025/,4.0,0
The Naked Gun,2025,https://letterboxd.com/film/the-naked-gun/,3.0,0
The Fantastic 4: First Steps,2025,https://letterboxd.com/film/the-fantastic-4-first-steps/,3.0,0
I Know What You Did Last Summer,2025,https://letterboxd.com/film/i-know-what-you-did-last-summer-2025/,3.0,0
M3GAN 2.0,2025,https://letterboxd.com/film/m3gan-20/,2.5,0
Superman,2025,https://letterboxd.com/film/superman-2025/,3.5,1
KPop Demon Hunters,2025,https://letterboxd.com/film/kpop-demon-hunters/,3.5,0
28 Years Later,2025,https://letterboxd.com/film/28-years-later/,3.5,0
Jurassic World Rebirth,2025,https://letterboxd.com/film/jurassic-world-rebirth/,2.5,0
F1,2025,https://letterboxd.com/film/f1/,3.5,0
Materialists,2025,https://letterboxd.com/film/materialists/,5.0,1
How to Train Your Dragon,2025,https://letterboxd.com/film/how-to-train-your-dragon-2025/,3.5,0
Honey Don't!,2025,https://letterboxd.com/film/honey-dont/,2.0,0
The History of Sound,2025,https://letterboxd.com/film/the-history-of-sound/,2.0,0
Sentimental Value,2025,https://letterboxd.com/film/sentimental-value-2025/,5.0,1
It Was Just an Accident,2025,https://letterboxd.com/film/it-was-just-an-accident/,4.0,1
Pillion,2025,https://letterboxd.com/film/pillion-2025/,4.0,1
The Secret Agent,2025,https://letterboxd.com/film/the-secret-agent-2025/,3.5,1
The Phoenician Scheme,2025,https://letterboxd.com/film/the-phoenician-scheme/,3.5,1
Die My Love,2025,https://letterboxd.com/film/die-my-love/,3.0,0
Urchin,2025,https://letterboxd.com/film/urchin-2025/,3.5,0
Eddington,2025,https://letterboxd.com/film/eddington/,3.0,0
Bring Her Back,2025,https://letterboxd.com/film/bring-her-back/,4.0,0
Hurry Up Tomorrow,2025,https://letterboxd.com/film/hurry-up-tomorrow/,1.0,0
Final Destination Bloodlines,2025,https://letterboxd.com/film/final-destination-bloodlines/,3.0,0
Mission: Impossible – The Final Reckoning,2025,https://letterboxd.com/film/mission-impossible-the-final-reckoning/,3.5,0
Until Dawn,2025,https://letterboxd.com/film/until-dawn-2025/,2.5,0
Thunderbolts*,2025,https://letterboxd.com/film/thunderbolts/,3.5,0
Sinners,2025,https://letterboxd.com/film/sinners-2025/,4.0,0
The Woman in the Yard,2025,https://letterboxd.com/film/the-woman-in-the-yard/,1.0,0
Warfare,2025,https://letterboxd.com/film/warfare/,2.5,0
Novocaine,2025,https://letterboxd.com/film/novocaine-2025/,3.0,0
Clown in a Cornfield,2025,https://letterboxd.com/film/clown-in-a-cornfield/,3.0,0
Nirvanna the Band the Show the Movie,2025,https://letterboxd.com/film/nirvanna-the-band-the-show-the-movie/,4.5,1
Black Bag,2025,https://letterboxd.com/film/black-bag-2025/,3.5,0
Drop,2025,https://letterboxd.com/film/drop-2025/,3.5,0
Good Boy,2025,https://letterboxd.com/film/good-boy-2025/,3.0,0
Death of a Unicorn,2025,https://letterboxd.com/film/death-of-a-unicorn/,2.0,0
Last Breath,2025,https://letterboxd.com/film/last-breath-2025/,2.5,0
