title,year,url,user_rating,user_like
The Super Mario Galaxy Movie,2026,https://letterboxd.com/film/the-super-mario-galaxy-movie/,2.0,0
Ready or Not 2: Here I Come,2026,https://letterboxd.com/film/ready-or-not-2-here-i-come/,3.5,1
Reminders of Him,2026,https://letterboxd.com/film/reminders-of-him/,2.0,0
Peaky Blinders: The Immortal Man,2026,https://letterboxd.com/film/peaky-blinders-the-immortal-man/,3.5,1
The Bride!,2026,https://letterboxd.com/film/the-bride-2026/,2.0,0
Scream 7,2026,https://letterboxd.com/film/scream-7/,2.0,0
How to Make a Killing,2026,https://letterboxd.com/film/how-to-make-a-killing-2026/,3.0,1
Wuthering Heights,2026,https://letterboxd.com/film/wuthering-heights-2026/,2.0,0
The Moment,2026,https://letterboxd.com/film/the-moment-2026/,3.0,1
Send Help,2026,https://letterboxd.com/film/send-help/,3.5,1
28 Years Later: The Bone Temple,2026,https://letterboxd.com/film/28-years-later-the-bone-temple/,4.0,1
The Rip,2026,https://letterboxd.com/film/the-rip-2026/,2.5,0
People We Meet on Vacation,2026,https://letterboxd.com/film/people-we-meet-on-vacation/,3.0,1
Ella McCay,2025,https://letterboxd.com/film/ella-mccay/,2.5,1
Fackham Hall,2025,https://letterboxd.com/film/fackham-hall/,3.0,1
The Housemaid,2025,https://letterboxd.com/film/the-housemaid-2025/,2.5,0
Avatar: Fire and Ash,2025,https://letterboxd.com/film/avatar-fire-and-ash/,3.0,1
Zootopia 2,2025,https://letterboxd.com/film/zootopia-2/,3.5,1
Wicked: For Good,2025,https://letterboxd.com/film/wicked-for-good/,3.0,1
The Running Man,2025,https://letterboxd.com/film/the-running-man-2025/,3.0,1
Now You See Me: Now You Don't,2025,https://letterboxd.com/film/now-you-see-me-now-you-dont-2025/,3.0,1
Song Sung Blue,2025,https://letterboxd.com/film/song-sung-blue-2025/,3.5,1
Regretting You,2025,https://letterboxd.com/film/regretting-you/,1.5,0
The Woman in Cabin 10,2025,https://letterboxd.com/film/the-woman-in-cabin-10/,2.5,0
Marty Supreme,2025,https://letterboxd.com/film/marty-supreme/,4.5,1
"Good Luck, Have Fun, Don't Die",2025,https://letterboxd.com/film/good-luck-have-fun-dont-die/,3.5,1
Black Phone 2,2025,https://letterboxd.com/film/black-phone-2/,3.0,1
