title,year,url,user_rating,user_like
Michael,2026,https://letterboxd.com/film/michael-2026/,2.5,0
The Super Mario Galaxy Movie,2026,https://letterboxd.com/film/the-super-mario-galaxy-movie/,2.5,0
The Drama,2026,https://letterboxd.com/film/the-drama/,3.5,0
Ready or Not 2: Here I Come,2026,https://letterboxd.com/film/ready-or-not-2-here-i-come/,3.5,0
Project Hail Mary,2026,https://letterboxd.com/film/project-hail-mary/,5.0,1
Peaky Blinders: The Immortal Man,2026,https://letterboxd.com/film/peaky-blinders-the-immortal-man/,1.5,0
Hoppers,2026,https://letterboxd.com/film/hoppers/,4.0,1
How to Make a Killing,2026,https://letterboxd.com/film/how-to-make-a-killing-2026/,3.0,0
GOAT,2026,https://letterboxd.com/film/goat-2026/,3.5,0
Wuthering Heights,2026,https://letterboxd.com/film/wuthering-heights-2026/,1.0,0
The Moment,2026,https://letterboxd.com/film/the-moment-2026/,4.0,1
Send Help,2026,https://letterboxd.com/film/send-help/,4.0,1
Mercy,2026,https://letterboxd.com/film/mercy-2026/,2.0,0
28 Years Later: The Bone Temple,2026,https://letterboxd.com/film/28-years-later-the-bone-temple/,4.0,0
People We Meet on Vacation,2026,https://letterboxd.com/film/people-we-meet-on-vacation/,3.5,1
Stranger Things 5: The Finale,2025,https://letterboxd.com/film/stranger-things-5-the-finale/,2.0,0
Anaconda,2025,https://letterboxd.com/film/anaconda-2025/,2.5,0
Merv,2025,https://letterboxd.com/film/merv-2025/,2.0,0
The Housemaid,2025,https://letterboxd.com/film/the-housemaid-2025/,3.0,0
Avatar: Fire and Ash,2025,https://letterboxd.com/film/avatar-fire-and-ash/,4.5,1
Zootopia 2,2025,https://letterboxd.com/film/zootopia-2/,3.5,0
Goodbye June,2025,https://letterboxd.com/film/goodbye-june/,3.0,0
All Her Fault,2025,https://letterboxd.com/film/all-her-fault/,4.5,1
Wicked: For Good,2025,https://letterboxd.com/film/wicked-for-good/,3.5,0
The Running Man,2025,https://letterboxd.com/film/the-running-man-2025/,3.0,0
The Son of a Thousand Men,2025,https://letterboxd.com/film/the-son-of-a-thousand-men/,4.5,1
Song Sung Blue,2025,https://letterboxd.com/film/song-sung-blue-2025/,3.5,0
Is This Thing On?,2025,https://letterboxd.com/film/is-this-thing-on-2025/,3.5,0
The Woman in Cabin 10,2025,https://letterboxd.com/film/the-woman-in-cabin-10/,3.0,0
Marty Supreme,2025,https://letterboxd.com/film/marty-supreme/,3.5,0
TRON: Ares,2025,https://letterboxd.com/film/tron-ares/,2.0,0
Black Phone 2,2025,https://letterboxd.com/film/black-phone-2/,3.5,0
LEGO Star Wars: Rebuild the Galaxy - Pieces of the Past,2025,https://letterboxd.com/film/lego-star-wars-rebuild-the-galaxy-pieces/,3.5,0
In-I In Motion,2025,https://letterboxd.com/film/in-i-in-motion/,3.0,0
A Big Bold Beautiful Journey,2025,https://letterboxd.com/film/a-big-bold-beautiful-journey/,2.5,0
The Long Walk,2025,https://letterboxd.com/film/the-long-walk-2025/,4.0,1
One Battle After Another,2025,https://letterboxd.com/film/one-battle-after-another/,5.0,1
Couture,2025,https://letterboxd.com/film/couture/,3.0,0
I Swear,2025,https://letterboxd.com/film/i-swear/,4.5,1
Eternity,2025,https://letterboxd.com/film/eternity-2025-1/,4.0,1
Hedda,2025,https://letterboxd.com/film/hedda-2025/,4.0,1
Rental Family,2025,https://letterboxd.com/film/rental-family-2025/,4.5,1
Wake Up Dead Man,2025,https://letterboxd.com/film/wake-up-dead-man/,4.5,1
Steve,2025,https://letterboxd.com/film/steve-2025/,4.5,1
Erupcja,2025,https://letterboxd.com/film/erupcja/,3.5,1
The Voice of Hind Rajab,2025,https://letterboxd.com/film/the-voice-of-hind-rajab/,5.0,1
Dead Man's Wire,2025,https://letterboxd.com/film/dead-mans-wire/,3.5,0
A House of Dynamite,2025,https://letterboxd.com/film/a-house-of-dynamite/,3.5,0
The Conjuring: Last Rites,2025,https://letterboxd.com/film/the-conjuring-last-rites/,3.5,0
The Testament of Ann Lee,2025,https://letterboxd.com/film/the-testament-of-ann-lee/,2.5,0
The Smashing Machine,2025,https://letterboxd.com/film/the-smashing-machine-2025/,3.0,0
Father Mother Sister Brother,2025,https://letterboxd.com/film/father-mother-sister-brother/,4.0,1
Frankenstein,2025,https://letterboxd.com/film/frankenstein-2025/,4.0,1
Springsteen: Deliver Me from Nowhere,2025,https://letterboxd.com/film/springsteen-deliver-me-from-nowhere/,3.0,0
No Other Choice,2025,https://letterboxd.com/film/no-other-choice-2025/,4.5,1
After the Hunt,2025,https://letterboxd.com/film/after-the-hunt-2025/,2.0,0
Hamnet,2025,https://letterboxd.com/film/hamnet/,4.5,1
Jay Kelly,2025,https://letterboxd.com/film/jay-kelly/,3.0,0
Bugonia,2025,https://letterboxd.com/film/bugonia/,3.0,0
The Thursday Murder Club,2025,https://letterboxd.com/film/the-thursday-murder-club/,3.0,0
The Roses,2025,https://letterboxd.com/film/the-roses-2025/,4.0,1
The Map That Leads to You,2025,https://letterboxd.com/film/the-map-that-leads-to-you/,2.0,0
Caught Stealing,2025,https://letterboxd.com/film/caught-stealing/,3.5,0
Freakier Friday,2025,https://letterboxd.com/film/freakier-friday/,3.5,1
Weapons,2025,https://letterboxd.com/film/weapons-2025/,4.0,0
The Naked Gun,2025,https://letterboxd.com/film/the-naked-gun/,2.5,0
The Fantastic 4: First Steps,2025,https://letterboxd.com/film/the-fantastic-4-first-steps/,4.0,1
I Know What You Did Last Summer,2025,https://letterboxd.com/film/i-know-what-you-did-last-summer-2025/,2.5,0
The Old Guard 2,2025,https://letterboxd.com/film/the-old-guard-2/,2.0,0
M3GAN 2.0,2025,https://letterboxd.com/film/m3gan-20/,2.0,0
Frozen: The Hit Broadway Musical,2025,https://letterboxd.com/film/frozen-the-hit-broadway-musical/,5.0,1
KPop Demon Hunters,2025,https://letterboxd.com/film/kpop-demon-hunters/,3.0,0
Superman,2025,https://letterboxd.com/film/superman-2025/,4.0,1
28 Years Later,2025,https://letterboxd.com/film/28-years-later/,4.0,1
Jurassic World Rebirth,2025,https://letterboxd.com/film/jurassic-world-rebirth/,2.5,0
F1,2025,https://letterboxd.com/film/f1/,3.5,0
Elio,2025,https://letterboxd.com/film/elio/,3.5,0
Materialists,2025,https://letterboxd.com/film/materialists/,3.5,1
How to Train Your Dragon,2025,https://letterboxd.com/film/how-to-train-your-dragon-2025/,4.5,1
Echo Valley,2025,https://letterboxd.com/film/echo-valley/,3.0,0
The Mastermind,2025,https://letterboxd.com/film/the-mastermind-2025/,3.0,0
Honey Don't!,2025,https://letterboxd.com/film/honey-dont/,1.0,0
Ballerina,2025,https://letterboxd.com/film/ballerina-2025/,3.5,0
Sirens,2025,https://letterboxd.com/film/sirens-2025/,3.5,0
Fear Street: Prom Queen,2025,https://letterboxd.com/film/fear-street-prom-queen/,1.0,0
The History of Sound,2025,https://letterboxd.com/film/the-history-of-sound/,3.0,0
Sentimental Value,2025,https://letterboxd.com/film/sentimental-value-2025/,5.0,1
Little Amélie or the Character of Rain,2025,https://letterboxd.com/film/little-amelie-or-the-character-of-rain/,4.0,0
It Was Just an Accident,2025,https://letterboxd.com/film/it-was-just-an-accident/,5.0,1
Eleanor the Great,2025,https://letterboxd.com/film/eleanor-the-great/,3.5,0
Splitsville,2025,https://letterboxd.com/film/splitsville/,3.5,0
Highest 2 Lowest,2025,https://letterboxd.com/film/highest-2-lowest/,3.0,0
Pillion,2025,https://letterboxd.com/film/pillion-2025/,3.0,0
The Richest Woman in the World,2025,https://letterboxd.com/film/the-richest-woman-in-the-world/,2.5,0
The Secret Agent,2025,https://letterboxd.com/film/the-secret-agent-2025/,4.0,0
The Phoenician Scheme,2025,https://letterboxd.com/film/the-phoenician-scheme/,3.0,0
Die My Love,2025,https://letterboxd.com/film/die-my-love/,2.0,0
Nouvelle Vague,2025,https://letterboxd.com/film/nouvelle-vague-2025/,4.0,1
Lilo & Stitch,2025,https://letterboxd.com/film/lilo-stitch-2025/,3.0,0
Arco,2025,https://letterboxd.com/film/arco/,4.0,1
The Chronology of Water,2025,https://letterboxd.com/film/the-chronology-of-water/,4.0,1
Eddington,2025,https://letterboxd.com/film/eddington/,3.0,0
Sirāt,2025,https://letterboxd.com/film/sirat-2025/,3.0,0
Bring Her Back,2025,https://letterboxd.com/film/bring-her-back/,4.5,1
Karate Kid: Legends,2025,https://letterboxd.com/film/karate-kid-legends/,3.0,0
Mission: Impossible – The Final Reckoning,2025,https://letterboxd.com/film/mission-impossible-the-final-reckoning/,4.0,1
Star Wars: Tales of the Underworld,2025,https://letterboxd.com/film/star-wars-tales-of-the-underworld-2025/,3.5,0
Latin Blood – The Ballad of Ney Matogrosso,2025,https://letterboxd.com/film/latin-blood-the-ballad-of-ney-matogrosso/,4.5,1
Thunderbolts*,2025,https://letterboxd.com/film/thunderbolts/,4.0,1
Sinners,2025,https://letterboxd.com/film/sinners-2025/,5.0,1
A Minecraft Movie,2025,https://letterboxd.com/film/a-minecraft-movie/,1.0,0
The Life List,2025,https://letterboxd.com/film/the-life-list/,3.0,0
Locked,2025,https://letterboxd.com/film/locked-2025/,3.0,1
Adolescence,2025,https://letterboxd.com/film/adolescence-2025/,3.5,0
Warfare,2025,https://letterboxd.com/film/warfare/,3.5,0
Borderline,2025,https://letterboxd.com/film/borderline-2025/,1.0,0
Vitória,2025,https://letterboxd.com/film/vitoria-2025/,3.5,1
Drop,2025,https://letterboxd.com/film/drop-2025/,3.5,1
Holland,2025,https://letterboxd.com/film/holland-2025/,2.5,0
Black Bag,2025,https://letterboxd.com/film/black-bag-2025/,4.5,1
The Threesome,2025,https://letterboxd.com/film/the-threesome/,3.5,0
Blue Moon,2025,https://letterboxd.com/film/blue-moon-2025/,3.0,0
The Blue Trail,2025,https://letterboxd.com/film/the-blue-trail/,4.5,1
Mickey 17,2025,https://letterboxd.com/film/mickey-17/,3.0,0
The Nature of Invisible Things,2025,https://letterboxd.com/film/the-nature-of-invisible-things/,4.0,1
