title,year,url,user_rating,user_like
The Devil Wears Prada 2,2026,https://letterboxd.com/film/the-devil-wears-prada-2/,3.0,0
Michael,2026,https://letterboxd.com/film/michael-2026/,3.0,0
Mother Mary,2026,https://letterboxd.com/film/mother-mary-2026/,3.0,0
The Super Mario Galaxy Movie,2026,https://letterboxd.com/film/the-super-mario-galaxy-movie/,2.5,0
The Drama,2026,https://letterboxd.com/film/the-drama/,4.0,0
Ready or Not 2: Here I Come,2026,https://letterboxd.com/film/ready-or-not-2-here-i-come/,2.5,0
Project Hail Mary,2026,https://letterboxd.com/film/project-hail-mary/,5.0,1
The Bride!,2026,https://letterboxd.com/film/the-bride-2026/,1.0,0
Scream 7,2026,https://letterboxd.com/film/scream-7/,2.5,0
Hoppers,2026,https://letterboxd.com/film/hoppers/,4.0,0
GOAT,2026,https://letterboxd.com/film/goat-2026/,3.5,0
Wuthering Heights,2026,https://letterboxd.com/film/wuthering-heights-2026/,1.5,0
Send Help,2026,https://letterboxd.com/film/send-help/,3.0,0
28 Years Later: The Bone Temple,2026,https://letterboxd.com/film/28-years-later-the-bone-temple/,3.5,0
Ella McCay,2025,https://letterboxd.com/film/ella-mccay/,3.0,0
Five Nights at Freddy's 2,2025,https://letterboxd.com/film/five-nights-at-freddys-2/,2.5,0
The Housemaid,2025,https://letterboxd.com/film/the-housemaid-2025/,3.0,0
Avatar: Fire and Ash,2025,https://letterboxd.com/film/avatar-fire-and-ash/,3.0,0
Zootopia 2,2025,https://letterboxd.com/film/zootopia-2/,4.5,0
Wicked: For Good,2025,https://letterboxd.com/film/wicked-for-good/,3.5,0
The Running Man,2025,https://letterboxd.com/film/the-running-man-2025/,4.0,0
Now You See Me: Now You Don't,2025,https://letterboxd.com/film/now-you-see-me-now-you-dont-2025/,3.5,0
Predator: Badlands,2025,https://letterboxd.com/film/predator-badlands/,4.0,0
The Twits,2025,https://letterboxd.com/film/the-twits/,2.0,0
Regretting You,2025,https://letterboxd.com/film/regretting-you/,2.0,0
Marty Supreme,2025,https://letterboxd.com/film/marty-supreme/,4.0,0
Black Phone 2,2025,https://letterboxd.com/film/black-phone-2/,3.5,0
HIM,2025,https://letterboxd.com/film/him-2025/,2.0,0
The Long Walk,2025,https://letterboxd.com/film/the-long-walk-2025/,3.0,0
One Battle After Another,2025,https://letterboxd.com/film/one-battle-after-another/,4.0,0
Eternity,2025,https://letterboxd.com/film/eternity-2025-1/,4.5,1
Wake Up Dead Man,2025,https://letterboxd.com/film/wake-up-dead-man/,5.0,1
Roofman,2025,https://letterboxd.com/film/roofman/,3.0,0
The Voice of Hind Rajab,2025,https://letterboxd.com/film/the-voice-of-hind-rajab/,4.5,0
The Conjuring: Last Rites,2025,https://letterboxd.com/film/the-conjuring-last-rites/,3.0,0
The Smashing Machine,2025,https://letterboxd.com/film/the-smashing-machine-2025/,3.5,0
Frankenstein,2025,https://letterboxd.com/film/frankenstein-2025/,4.0,0
Hamnet,2025,https://letterboxd.com/film/hamnet/,2.5,0
No Other Choice,2025,https://letterboxd.com/film/no-other-choice-2025/,2.5,0
Love Untangled,2025,https://letterboxd.com/film/love-untangled/,3.5,0
Bugonia,2025,https://letterboxd.com/film/bugonia/,4.0,0
The Thursday Murder Club,2025,https://letterboxd.com/film/the-thursday-murder-club/,2.5,0
The Roses,2025,https://letterboxd.com/film/the-roses-2025/,4.0,0
Eenie Meanie,2025,https://letterboxd.com/film/eenie-meanie/,3.0,0
Weapons,2025,https://letterboxd.com/film/weapons-2025/,4.5,0
The Bad Guys 2,2025,https://letterboxd.com/film/the-bad-guys-2/,3.5,0
The Naked Gun,2025,https://letterboxd.com/film/the-naked-gun/,2.0,0
Happy Gilmore 2,2025,https://letterboxd.com/film/happy-gilmore-2/,1.0,0
The Fantastic 4: First Steps,2025,https://letterboxd.com/film/the-fantastic-4-first-steps/,4.0,0
I Know What You Did Last Summer,2025,https://letterboxd.com/film/i-know-what-you-did-last-summer-2025/,2.0,0
Sore: A Wife from the Future,2025,https://letterboxd.com/film/sore-a-wife-from-the-future/,4.0,0
Smurfs,2025,https://letterboxd.com/film/smurfs/,1.5,0
Superman,2025,https://letterboxd.com/film/superman-2025/,4.5,1
KPop Demon Hunters,2025,https://letterboxd.com/film/kpop-demon-hunters/,4.0,0
28 Years Later,2025,https://letterboxd.com/film/28-years-later/,3.0,0
Jurassic World Rebirth,2025,https://letterboxd.com/film/jurassic-world-rebirth/,2.5,0
F1,2025,https://letterboxd.com/film/f1/,4.5,0
Fixed,2025,https://letterboxd.com/film/fixed-2025/,2.5,0
Elio,2025,https://letterboxd.com/film/elio/,3.0,0
Materialists,2025,https://letterboxd.com/film/materialists/,2.5,0
How to Train Your Dragon,2025,https://letterboxd.com/film/how-to-train-your-dragon-2025/,3.0,0
Predator: Killer of Killers,2025,https://letterboxd.com/film/predator-killer-of-killers/,4.0,0
Lost in Starlight,2025,https://letterboxd.com/film/lost-in-starlight/,4.0,0
Ballerina,2025,https://letterboxd.com/film/ballerina-2025/,2.5,0
Fear Street: Prom Queen,2025,https://letterboxd.com/film/fear-street-prom-queen/,2.0,0
