title,year,url,user_rating,user_like
Michael,2026,https://letterboxd.com/film/michael-2026/,3.5,0
Mother Mary,2026,https://letterboxd.com/film/mother-mary-2026/,4.0,0
Lee Cronin's The Mummy,2026,https://letterboxd.com/film/lee-cronins-the-mummy/,2.5,0
Faces of Death,2026,https://letterboxd.com/film/faces-of-death-2026/,2.0,0
They Will Kill You,2026,https://letterboxd.com/film/they-will-kill-you/,3.0,0
The Drama,2026,https://letterboxd.com/film/the-drama/,3.5,0
Forbidden Fruits,2026,https://letterboxd.com/film/forbidden-fruits-2026/,3.0,0
Hokum,2026,https://letterboxd.com/film/hokum/,3.0,0
Pretty Lethal,2026,https://letterboxd.com/film/pretty-lethal/,2.5,0
Pizza Movie,2026,https://letterboxd.com/film/pizza-movie-2026/,3.5,0
Ready or Not 2: Here I Come,2026,https://letterboxd.com/film/ready-or-not-2-here-i-come/,3.5,0
Project Hail Mary,2026,https://letterboxd.com/film/project-hail-mary/,4.5,0
The Bride!,2026,https://letterboxd.com/film/the-bride-2026/,3.5,0
Hoppers,2026,https://letterboxd.com/film/hoppers/,3.5,0
How to Make a Killing,2026,https://letterboxd.com/film/how-to-make-a-killing-2026/,3.0,0
Iron Lung,2026,https://letterboxd.com/film/iron-lung/,2.5,0
Josephine,2026,https://letterboxd.com/film/josephine-2026/,4.0,0
The Moment,2026,https://letterboxd.com/film/the-moment-2026/,3.0,0
I Want Your Sex,2026,https://letterboxd.com/film/i-want-your-sex/,3.0,0
Cold Storage,2026,https://letterboxd.com/film/cold-storage-2026/,3.0,0
Send Help,2026,https://letterboxd.com/film/send-help/,3.5,0
Mercy,2026,https://letterboxd.com/film/mercy-2026/,1.0,0
28 Years Later: The Bone Temple,2026,https://letterboxd.com/film/28-years-later-the-bone-temple/,4.0,0
People We Meet on Vacation,2026,https://letterboxd.com/film/people-we-meet-on-vacation/,3.0,0
Stranger Things 5: The Finale,2025,https://letterboxd.com/film/stranger-things-5-the-finale/,3.0,0
Ella McCay,2025,https://letterboxd.com/film/ella-mccay/,1.5,0
Five Nights at Freddy's 2,2025,https://letterboxd.com/film/five-nights-at-freddys-2/,1.0,0
The Housemaid,2025,https://letterboxd.com/film/the-housemaid-2025/,1.0,0
