title,year,url,user_rating,user_like
Project Hail Mary,2026,https://letterboxd.com/film/project-hail-mary/,4.0,1
Peaky Blinders: The Immortal Man,2026,https://letterboxd.com/film/peaky-blinders-the-immortal-man/,1.0,0
Wuthering Heights,2026,https://letterboxd.com/film/wuthering-heights-2026/,1.0,0
28 Years Later: The Bone Temple,2026,https://letterboxd.com/film/28-years-later-the-bone-temple/,2.5,0
Kapodistrias,2025,https://letterboxd.com/film/kapodistrias/,1.0,0
JUJUTSU KAISEN: Execution,2025,https://letterboxd.com/film/jujutsu-kaisen-execution/,4.0,1
Marty Supreme,2025,https://letterboxd.com/film/marty-supreme/,2.5,0
Chainsaw Man – The Movie: Reze Arc,2025,https://letterboxd.com/film/chainsaw-man-the-movie-reze-arc/,4.0,1
One Battle After Another,2025,https://letterboxd.com/film/one-battle-after-another/,4.0,1
Steve,2025,https://letterboxd.com/film/steve-2025/,3.5,1
The Conjuring: Last Rites,2025,https://letterboxd.com/film/the-conjuring-last-rites/,2.0,0
Frankenstein,2025,https://letterboxd.com/film/frankenstein-2025/,2.5,0
Hamnet,2025,https://letterboxd.com/film/hamnet/,4.5,1
No Other Choice,2025,https://letterboxd.com/film/no-other-choice-2025/,4.0,1
Bugonia,2025,https://letterboxd.com/film/bugonia/,4.0,1
Weapons,2025,https://letterboxd.com/film/weapons-2025/,3.0,1
Demon Slayer: Kimetsu no Yaiba Infinity Castle,2025,https://letterboxd.com/film/demon-slayer-kimetsu-no-yaiba-infinity-castle/,4.5,1
KPop Demon Hunters,2025,https://letterboxd.com/film/kpop-demon-hunters/,3.5,1
28 Years Later,2025,https://letterboxd.com/film/28-years-later/,4.0,1
DAN DA DAN: Evil Eye,2025,https://letterboxd.com/film/dan-da-dan-evil-eye/,4.0,1
Sentimental Value,2025,https://letterboxd.com/film/sentimental-value-2025/,3.5,1
It Was Just an Accident,2025,https://letterboxd.com/film/it-was-just-an-accident/,3.0,1
Pillion,2025,https://letterboxd.com/film/pillion-2025/,4.0,1
Bring Her Back,2025,https://letterboxd.com/film/bring-her-back/,4.0,1
Sinners,2025,https://letterboxd.com/film/sinners-2025/,4.5,1
Adolescence,2025,https://letterboxd.com/film/adolescence-2025/,5.0,1
Good Boy,2025,https://letterboxd.com/film/good-boy-2025/,2.5,0
Mickey 17,2025,https://letterboxd.com/film/mickey-17/,3.5,1
Our Little Secret,2024,https://letterboxd.com/film/our-little-secret/,2.5,1
Nosferatu,2024,https://letterboxd.com/film/nosferatu-2024/,4.5,1
Monsters: The Lyle and Erik Menendez Story,2024,https://letterboxd.com/film/monsters-2024/,0.5,0
