title,year,url,user_rating,user_like
They Will Kill You,2026,https://letterboxd.com/film/they-will-kill-you/,3.5,0
Ready or Not 2: Here I Come,2026,https://letterboxd.com/film/ready-or-not-2-here-i-come/,3.0,0
Project Hail Mary,2026,https://letterboxd.com/film/project-hail-mary/,4.0,1
The Bride!,2026,https://letterboxd.com/film/the-bride-2026/,1.5,0
How to Make a Killing,2026,https://letterboxd.com/film/how-to-make-a-killing-2026/,3.0,0
The Loved One,2026,https://letterboxd.com/film/the-loved-one-2026/,4.0,1
Wuthering Heights,2026,https://letterboxd.com/film/wuthering-heights-2026/,1.0,0
Send Help,2026,https://letterboxd.com/film/send-help/,3.0,0
The Rip,2026,https://letterboxd.com/film/the-rip-2026/,3.5,0
People We Meet on Vacation,2026,https://letterboxd.com/film/people-we-meet-on-vacation/,3.0,0
The Housemaid,2025,https://letterboxd.com/film/the-housemaid-2025/,3.5,1
Oh. What. Fun.,2025,https://letterboxd.com/film/oh-what-fun/,2.0,0
"Meet, Greet & Bye",2025,https://letterboxd.com/film/meet-greet-bye/,3.0,0
Now You See Me: Now You Don't,2025,https://letterboxd.com/film/now-you-see-me-now-you-dont-2025/,2.5,0
Is This Thing On?,2025,https://letterboxd.com/film/is-this-thing-on-2025/,4.0,1
Marty Supreme,2025,https://letterboxd.com/film/marty-supreme/,5.0,1
Monster: The Ed Gein Story,2025,https://letterboxd.com/film/monster-the-ed-gein-story/,2.0,0
The Wrong Paris,2025,https://letterboxd.com/film/the-wrong-paris/,1.5,0
One Battle After Another,2025,https://letterboxd.com/film/one-battle-after-another/,5.0,1
Eternity,2025,https://letterboxd.com/film/eternity-2025-1/,3.5,0
Wake Up Dead Man,2025,https://letterboxd.com/film/wake-up-dead-man/,4.5,1
No Other Choice,2025,https://letterboxd.com/film/no-other-choice-2025/,5.0,1
Hamnet,2025,https://letterboxd.com/film/hamnet/,4.0,1
The Map That Leads to You,2025,https://letterboxd.com/film/the-map-that-leads-to-you/,1.0,0
Weapons,2025,https://letterboxd.com/film/weapons-2025/,3.0,0
Lasting Moments,2025,https://letterboxd.com/film/lasting-moments/,1.0,0
War of the Worlds,2025,https://letterboxd.com/film/war-of-the-worlds-2025/,0.5,0
Happy Gilmore 2,2025,https://letterboxd.com/film/happy-gilmore-2/,1.0,0
I Know What You Did Last Summer,2025,https://letterboxd.com/film/i-know-what-you-did-last-summer-2025/,1.0,0
Superman,2025,https://letterboxd.com/film/superman-2025/,3.5,0
Materialists,2025,https://letterboxd.com/film/materialists/,3.0,1
Mike Birbiglia: The Good Life,2025,https://letterboxd.com/film/mike-birbiglia-the-good-life/,4.0,1
Honey Don't!,2025,https://letterboxd.com/film/honey-dont/,2.5,0
Final Destination Bloodlines,2025,https://letterboxd.com/film/final-destination-bloodlines/,2.5,0
Havoc,2025,https://letterboxd.com/film/havoc-2025/,2.0,0
Black Mirror: Common People,2025,https://letterboxd.com/film/black-mirror-common-people/,3.5,0
Black Mirror: Bête Noire,2025,https://letterboxd.com/film/black-mirror-bete-noire/,2.5,0
Sinners,2025,https://letterboxd.com/film/sinners-2025/,5.0,1
A Working Man,2025,https://letterboxd.com/film/a-working-man/,1.5,0
My Love Will Make You Disappear,2025,https://letterboxd.com/film/my-love-will-make-you-disappear/,3.0,0
Invasive 2: Getaway,2025,https://letterboxd.com/film/invasive-2-getaway/,2.0,0
Good American Family,2025,https://letterboxd.com/film/good-american-family/,2.0,0
