pseudo;has_like;followers;rated_movies;observations;R2;mean_error;hit_rate;hit_rate±05;hit_rate±1;hr_5;hr_10;hr_15;hr_20;hr_25;hr_30;hr_35;hr_40;hr_45;hr_50;std_diff;like_F1_99;like_F1_98;like_F1_97;like_F1_96;like_F1_95;like_F1_94;like_F1_93;like_F1_92;like_F1_91;like_F1_90;absolute_w;relative_w;like_w;corr_user_like;corr_year_user;corr_views;corr_likes;corr_fans;corr_avg_rating;corr_total_ratings;corr_duration_mins;corr_rating_std_dev;corr_rating_ratio;corr_like_view_ratio;corr_is_niche;corr_controversy;corr_rating_skew;corr_rating_0.5_count;corr_rating_1.0_count;corr_rating_1.5_count;corr_rating_2.0_count;corr_rating_2.5_count;corr_rating_3.0_count;corr_rating_3.5_count;corr_rating_4.0_count;corr_rating_4.5_count;corr_rating_5.0_count
schaffrillas;0;192551;1442;1299;0.4937;0.6024;27.55;49.57;82.44;10.0%;11.6%;19.4%;25.6%;20.7%;26.0%;44.9%;41.4%;12.3%;1.2%;0.3027;0;0;0;0;0;0;0;0;0;0;0.5608;0.5883;0.0;;-0.002;0.282;0.419;0.409;0.716;0.303;0.098;-0.552;0.21;0.618;-0.054;-0.257;-0.667;-0.224;-0.201;-0.241;-0.107;-0.069;0.133;0.272;0.36;0.395;0.33
kurstboy;1;245138;2237;2237;0.5749;0.5194;31.56;58.52;88.02;0.0%;10.0%;17.5%;26.3%;26.9%;27.0%;34.4%;44.8%;38.7%;4.9%;0.2562;0;0.002364066193853428;0.0035440047253396337;0.005899705014749263;0.011764705882352941;0.01642228739002933;0.01990632318501171;0.03143189755529685;0.04395604395604395;0.06189111747851003;0.5099;0.5651;0.2707;0.736;-0.228;0.085;0.235;0.322;0.733;0.111;0.094;-0.526;0.262;0.686;-0.037;-0.287;-0.716;-0.269;-0.277;-0.324;-0.236;-0.224;-0.061;0.062;0.183;0.259;0.205
jay;1;64705;313;312;0.5476;0.4634;33.65;65.71;89.74;0.0%;20.0%;50.0%;25.0%;22.2%;35.4%;54.4%;22.4%;0.0%;0.0%;0.1757;0;0;0.010362694300518137;0.04081632653061225;0.0606060606060606;0.11707317073170732;0.11650485436893204;0.125;0.16037735849056603;0.19444444444444448;0.476;0.5617;0.1102;0.703;0.143;0.207;0.355;0.431;0.773;0.216;0.245;-0.551;0.254;0.677;-0.063;-0.242;-0.762;-0.374;-0.353;-0.372;-0.231;-0.158;0.032;0.197;0.291;0.328;0.229
deathproof;1;132718;2600;2598;0.2735;0.6799;24.1;45.61;76.4;0.0%;0.0%;0.8%;11.0%;24.5%;32.0%;53.8%;18.7%;2.7%;0.0%;0.4883;0;0;0;0;0;0;0;0;0;0;0.5447;0.4715;0.5319;0.58;-0.089;0.174;0.281;0.334;0.549;0.201;0.099;-0.429;0.267;0.516;0.008;-0.138;-0.527;-0.16;-0.147;-0.179;-0.087;-0.06;0.073;0.166;0.23;0.261;0.229
demiadejuyigbe;1;152255;372;372;0.014;0.2218;64.78;98.39;99.46;N/A;N/A;N/A;N/A;N/A;0.0%;N/A;0.0%;94.4%;4.3%;0.2071;0.46351931330472107;0.6415094339622641;0.7301587301587302;0.7845117845117845;0.8124999999999999;0.841091492776886;0.8544303797468356;0.8616352201257862;0.8792569659442725;0.884437596302003;0.063;0.289;0.2035;0.164;-0.021;0.194;0.2;0.198;0.152;0.193;0.156;0.065;0.028;0.077;-0.319;0.172;-0.198;0.111;0.123;0.111;0.124;0.11;0.116;0.112;0.113;0.1;0.091
davidehrlich;1;208275;3255;3225;0.443;0.5501;29.58;53.83;85.36;0.0%;0.0%;4.7%;26.0%;26.8%;41.6%;48.2%;24.1%;5.9%;0.0%;0.3173;0;0;0;0;0.03636363636363636;0.0967741935483871;0.11594202898550725;0.10666666666666667;0.1;0.15384615384615385;0.7007;0.2143;0.3973;0.244;-0.283;0.141;0.238;0.306;0.628;0.143;0.133;-0.39;0.037;0.554;-0.035;-0.096;-0.653;-0.109;-0.108;-0.149;-0.077;-0.067;0.038;0.115;0.183;0.226;0.186
thejoshl;1;67001;5171;5142;0.4999;0.5489;30.88;54.05;85.67;N/A;0.4%;N/A;30.4%;N/A;31.8%;N/A;43.6%;N/A;0.2%;0.3085;0.001223615784643622;0.005491153142159854;0.006099420555047271;0.006707317073170732;0.007921998781230956;0.00974124809741248;0.010948905109489052;0.0121580547112462;0.017581085177326462;0.03898050974512743;0.3867;0.2834;0.9455;0.733;-0.381;0.056;0.182;0.264;0.644;0.062;0.058;-0.42;0.067;0.611;-0.063;-0.215;-0.615;-0.223;-0.245;-0.282;-0.213;-0.194;-0.063;0.034;0.12;0.177;0.134
ingridgoeswest;1;70279;2405;2379;0.4479;0.6729;25.09;47.33;78.39;12.8%;12.7%;7.5%;9.3%;9.6%;19.4%;51.3%;42.6%;18.6%;2.9%;0.4034;0;0;0.002157497303128371;0.006458557588805167;0.017130620985010708;0.019241047568145375;0.024520255863539446;0.030818278427205095;0.03395225464190982;0.040190375462718135;0.6533;0.6212;-0.2067;0.772;-0.173;0.252;0.375;0.395;0.677;0.251;0.083;-0.488;0.052;0.588;-0.049;-0.172;-0.623;-0.231;-0.187;-0.202;-0.083;-0.047;0.092;0.184;0.248;0.272;0.236
colonelmortimer;1;72001;5590;5567;0.3261;0.5411;30.41;55.45;85.2;0.0%;0.0%;0.0%;4.9%;36.8%;45.7%;39.5%;26.5%;0.0%;0.0%;0.3769;0;0;0;0;0.0016429353778751367;0.003827227993439037;0.006006006006006006;0.0070921985815602835;0.00872172254020169;0.011425462459194775;0.7731;0.1235;0.6845;0.723;-0.263;0.052;0.131;0.182;0.501;0.054;0.125;-0.284;0.022;0.489;-0.044;-0.105;-0.482;-0.123;-0.141;-0.175;-0.131;-0.121;-0.025;0.048;0.11;0.148;0.116
silentdawn;1;84596;5415;5291;0.291;0.6632;24.82;46.8;76.53;0.0%;0.0%;0.0%;1.9%;13.4%;30.1%;44.3%;38.9%;15.0%;1.1%;0.455;0.0004772130756382725;0.00855513307984791;0.013276434329065907;0.017494089834515367;0.02309686542540655;0.0258762644083745;0.028169014084507046;0.03139643861293346;0.03277153558052434;0.03412809724170173;-0.0683;0.9486;0.4672;0.769;-0.283;0.003;0.135;0.211;0.55;0.021;0.059;-0.358;0.196;0.54;-0.049;-0.237;-0.521;-0.214;-0.227;-0.262;-0.197;-0.178;-0.05;0.044;0.118;0.164;0.129
zoerosebryant;1;11372;5019;4928;0.6597;0.47;36.67;63.01;89.91;14.6%;15.3%;27.5%;33.7%;34.4%;42.0%;42.4%;47.7%;27.6%;20.5%;0.1999;0;0;0;0;0;0;0.0015111446921042692;0.0037735849056603774;0.0037735849056603774;0.007532956685499058;0.9261;0.1212;0.4594;0.759;-0.06;0.491;0.608;0.55;0.78;0.507;0.203;-0.593;0.256;0.68;-0.03;-0.076;-0.763;-0.104;-0.005;0.006;0.175;0.254;0.399;0.476;0.462;0.418;0.361
framesofnick;1;84322;1553;1548;0.5375;0.6253;27.58;51.23;82.04;20.3%;13.8%;20.3%;13.1%;31.5%;27.9%;40.1%;40.8%;31.5%;6.0%;0.3043;0;0;0;0;0;0;0;0;0;0;0.5366;0.6499;0.0286;0.176;-0.155;0.258;0.418;0.477;0.737;0.275;0.109;-0.518;0.176;0.677;-0.073;-0.238;-0.701;-0.307;-0.276;-0.315;-0.179;-0.134;0.089;0.248;0.34;0.375;0.31
aarnwlsn;1;44015;1453;1448;0.319;0.7078;21.2;41.23;75.62;0.0%;0.0%;2.9%;7.5%;14.3%;24.4%;39.9%;36.1%;14.7%;4.6%;0.482;0;0;0;0;0;0;0;0;0;0;0.0352;0.7356;0.9611;0.745;0.017;0.288;0.363;0.351;0.573;0.291;0.146;-0.377;0.133;0.479;-0.137;0.037;-0.525;-0.122;-0.034;-0.039;0.087;0.128;0.238;0.303;0.315;0.3;0.28
davidlsims;1;92345;5134;5046;0.5205;0.5844;29.15;52.34;82.84;0.0%;0.5%;10.1%;23.2%;24.0%;37.8%;43.6%;33.9%;21.4%;21.0%;0.3099;0;0;0;0;0;0;0;0;0;0;1.0152;0.331;0.5366;0.295;-0.396;0.091;0.226;0.325;0.671;0.105;0.094;-0.431;0.15;0.608;-0.013;-0.194;-0.641;-0.186;-0.201;-0.242;-0.169;-0.151;-0.014;0.09;0.169;0.215;0.164
suspirliam;1;42199;1104;1075;0.3507;0.5145;33.86;58.05;88.93;0.0%;0.0%;0.0%;0.0%;9.4%;21.4%;45.1%;49.1%;36.2%;13.2%;0.3452;0;0;0;0;0.007079646017699116;0.007067137809187278;0.010582010582010581;0.010582010582010581;0.014084507042253521;0.024475524475524476;0.1003;0.8797;-0.1155;0.682;0.044;0.266;0.35;0.39;0.565;0.271;0.224;-0.36;0.213;0.505;-0.104;0.033;-0.534;-0.095;-0.057;-0.077;0.02;0.057;0.168;0.248;0.284;0.289;0.242
superpulse;1;65019;3514;3496;0.5489;0.5244;31.12;55.75;86.61;2.0%;5.2%;21.8%;28.9%;29.1%;31.3%;45.4%;44.9%;0.0%;0.0%;0.2512;0;0;0;0;0.0026396832380114386;0.003518029903254178;0.006145741878841088;0.007020623080298377;0.007020623080298377;0.007020623080298377;0.514;0.3579;0.2312;0.787;-0.14;0.181;0.304;0.319;0.731;0.191;0.076;-0.516;0.158;0.63;-0.062;-0.171;-0.71;-0.187;-0.174;-0.201;-0.09;-0.046;0.109;0.215;0.265;0.279;0.225
jaragon23;1;121426;2077;2065;0.6964;0.4327;37.38;66.59;92.98;15.4%;14.0%;38.4%;34.2%;31.4%;28.0%;48.2%;55.3%;35.2%;0.6%;0.1793;0;0;0;0;0;0;0;0;0;0;0.544;0.5129;-0.0025;0.075;-0.306;0.329;0.482;0.528;0.817;0.33;0.096;-0.596;-0.067;0.731;0.002;-0.215;-0.78;-0.289;-0.259;-0.311;-0.154;-0.101;0.147;0.307;0.384;0.406;0.341
