title,year,url
A Single Man,2009,https://letterboxd.com/film/a-single-man/
Drugstore Cowboy,1989,https://letterboxd.com/film/drugstore-cowboy/
To Die For,1995,https://letterboxd.com/film/to-die-for/
Gerry,2002,https://letterboxd.com/film/gerry/
Tokyo Videos of Horror,2012,https://letterboxd.com/film/tokyo-videos-of-horror/
The Pelican Brief,1993,https://letterboxd.com/film/the-pelican-brief/
Eternity,2025,https://letterboxd.com/film/eternity-2025-1/
Green Snake,1993,https://letterboxd.com/film/green-snake/
In the Cut,2003,https://letterboxd.com/film/in-the-cut/
Crimes of Passion,1984,https://letterboxd.com/film/crimes-of-passion/
Cruising,1980,https://letterboxd.com/film/cruising/
The 4th Man,1983,https://letterboxd.com/film/the-4th-man/
Bone,1972,https://letterboxd.com/film/bone/
New Rose Hotel,1998,https://letterboxd.com/film/new-rose-hotel/
The Friends of Eddie Coyle,1973,https://letterboxd.com/film/the-friends-of-eddie-coyle/
Home from the Hill,1960,https://letterboxd.com/film/home-from-the-hill/
Out of the Past,1947,https://letterboxd.com/film/out-of-the-past/
Ponyboi,2024,https://letterboxd.com/film/ponyboi-2024/
Slanted,2025,https://letterboxd.com/film/slanted/
Beyond the Infinite Two Minutes,2020,https://letterboxd.com/film/beyond-the-infinite-two-minutes/
The Chaperones,,https://letterboxd.com/film/the-chaperones/
Disclosure Day,2026,https://letterboxd.com/film/disclosure-day/
The Way of the Wind,,https://letterboxd.com/film/the-way-of-the-wind/
Werwulf,2026,https://letterboxd.com/film/werwulf/
Cry to Heaven,,https://letterboxd.com/film/cry-to-heaven/
Wild Horse Nine,2026,https://letterboxd.com/film/wild-horse-nine/
The Man from Rome,2022,https://letterboxd.com/film/the-man-from-rome/
Body Double,1984,https://letterboxd.com/film/body-double/
The Absence of Milk in the Mouths of the Lost,2023,https://letterboxd.com/film/the-absence-of-milk-in-the-mouths-of-the-lost/
Buzzard,2014,https://letterboxd.com/film/buzzard/
"Nadia, Butterfly",2020,https://letterboxd.com/film/nadia-butterfly/
Caniba,2017,https://letterboxd.com/film/caniba/
The Crimson Kimono,1959,https://letterboxd.com/film/the-crimson-kimono/
